Destination ID,Attraction,Hotel Name,Location,Review (short),Rating (approx.),Price,Province
217,Rakha Dipsung,NO,NO,NO,NO,NO,1
217,Rakha Dipsung,NO,NO,NO,NO,NO,1
218,Sungdel,NO,NO,NO,NO,NO,1
218,Sungdel,NO,NO,NO,NO,NO,1
218,Sungdel,NO,NO,NO,NO,NO,1
219,Sitalpati,NO,NO,NO,NO,NO,1
219,Sitalpati,NO,NO,NO,NO,NO,1
219,Sitalpati,NO,NO,NO,NO,NO,1
220,Chiyabari,NO,NO,NO,NO,NO,1
220,Chiyabari,NO,NO,NO,NO,NO,1
220,Chiyabari,NO,NO,NO,NO,NO,1
221,Bagapati,NO,NO,NO,NO,NO,1
221,Bagapati,NO,NO,NO,NO,NO,1
221,Bagapati,NO,NO,NO,NO,NO,1
222,Inaruwa,SPOT ON 423 Hotel Zamzam & Restaurant,"Zamzam & Restaurant, Inrwa, Biratnagar, Inaruwa 56710",Affordable and simple,4.2,Low (~$10–20),1
222,Inaruwa,Phulbari Hotel & Restaurant,"J532+Q2J, Inaruwa 56710",Cozy mid-range rooms,4.1,Medium (~$35–60),1
222,Inaruwa,NO,NO,NO,NO,NO,1
223,Halesi Tole,NO,NO,NO,NO,NO,1
223,Halesi Tole,NO,NO,NO,NO,NO,1
223,Halesi Tole,NO,NO,NO,NO,NO,1
224,Badahara,NO,NO,NO,NO,NO,1
224,Badahara,NO,NO,NO,NO,NO,1
224,Badahara,NO,NO,NO,NO,NO,1
225,Barchhawa,NO,NO,NO,NO,NO,1
225,Barchhawa,NO,NO,NO,NO,NO,1
225,Barchhawa,NO,NO,NO,NO,NO,1
226,Madhesa,NO,NO,NO,NO,NO,1
226,Madhesa,NO,NO,NO,NO,NO,1
226,Madhesa,NO,NO,NO,NO,NO,1
227,Chandbela,NO,NO,NO,NO,NO,1
227,Chandbela,NO,NO,NO,NO,NO,1
227,Chandbela,NO,NO,NO,NO,NO,1
228,Gaighat,Kanchanjangha Guest House & Bhojanalaya,"Unnamed Road, Gaighat 56300",Affordable budget stay,4.1,Low (~$10–20),1
228,Gaighat,Hotel Kohabar & Resort Pvt. Ltd,Gaighat 56300,Comfortable mid-range rooms,4.2,Medium (~$35–60),1
228,Gaighat,Ratna Resort,Gaighat 56300,Luxury hillside resort,4,High (~$90+),1
229,Valaya Danda,Old Durbar Resort,"RM4V+Q2, Gaighat 56300","Simple, budget-friendly",4,Low (~$10–20),1
229,Valaya Danda,Hotel Kohabar & Resort Pvt. Ltd,Gaighat 56300,Cozy mid-range stay,4.1,Medium (~$35–60),1
229,Valaya Danda,Ratna Resort,Gaighat 56300,Luxury hillside resort,4,High (~$90+),1
230,Jalpachilaune,NO,NO,NO,NO,NO,1
230,Jalpachilaune,NO,NO,NO,NO,NO,1
230,Jalpachilaune,NO,NO,NO,NO,NO,1
231,Beldovan Waterfalls,NO,NO,NO,NO,NO,1
231,Beldovan Waterfalls,NO,NO,NO,NO,NO,1
231,Beldovan Waterfalls,NO,NO,NO,NO,NO,1
232,Murkuchi Bazar,NO,NO,NO,NO,NO,1
232,Murkuchi Bazar,NO,NO,NO,NO,NO,1
232,Murkuchi Bazar,NO,NO,NO,NO,NO,1
233,Triyuga Bridge,NO,NO,NO,NO,NO,1
233,Triyuga Bridge,NO,NO,NO,NO,NO,1
233,Triyuga Bridge,NO,NO,NO,NO,NO,1
234,Rauta,NO,NO,NO,NO,NO,1
234,Rauta,NO,NO,NO,NO,NO,1
234,Rauta,NO,NO,NO,NO,NO,1
235,Pipra,NO,NO,NO,NO,NO,1
235,Pipra,NO,NO,NO,NO,NO,1
235,Pipra,NO,NO,NO,NO,NO,1
236,Saptakoshi,NO,NO,NO,NO,NO,1
236,Saptakoshi,NO,NO,NO,NO,NO,1
236,Saptakoshi,NO,NO,NO,NO,NO,1
237,Odraha,NO,NO,NO,NO,NO,1
237,Odraha,NO,NO,NO,NO,NO,1
237,Odraha,NO,NO,NO,NO,NO,1
238,Sakhubani,NO,NO,NO,NO,NO,1
238,Sakhubani,NO,NO,NO,NO,NO,1
238,Sakhubani,NO,NO,NO,NO,NO,1
239,Laxminarayan Temple,NO,NO,NO,NO,NO,1
239,Laxminarayan Temple,NO,NO,NO,NO,NO,1
239,Laxminarayan Temple,NO,NO,NO,NO,NO,1
240,Fatepur,NO,NO,NO,NO,NO,1
240,Fatepur,NO,NO,NO,NO,NO,1
240,Fatepur,NO,NO,NO,NO,NO,1
241,Sirwani,NO,NO,NO,NO,NO,1
241,Sirwani,NO,NO,NO,NO,NO,1
241,Sirwani,NO,NO,NO,NO,NO,1
242,Sundarpur,NO,NO,NO,NO,NO,1
242,Sundarpur,NO,NO,NO,NO,NO,1
242,Sundarpur,NO,NO,NO,NO,NO,1
243,Bakdhauwa,NO,NO,NO,NO,NO,1
243,Bakdhauwa,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,4.1,Medium (~$35–60),1
243,Bakdhauwa,NO,NO,NO,NO,NO,1
244,Jandaul,NO,NO,NO,NO,NO,1
244,Jandaul,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Mid-range comfortable rooms,4,Medium (~$35–60),1
244,Jandaul,NO,NO,NO,NO,NO,1
245,Mohanpur,NO,NO,NO,NO,NO,1
245,Mohanpur,NO,NO,NO,NO,NO,1
245,Mohanpur,NO,NO,NO,NO,NO,1
246,Mahuli Waterfall,NO,NO,NO,NO,NO,1
246,Mahuli Waterfall,NO,NO,NO,NO,NO,1
246,Mahuli Waterfall,NO,NO,NO,NO,NO,1
247,Harna River,NO,NO,NO,NO,NO,1
247,Harna River,NO,NO,NO,NO,NO,1
247,Harna River,NO,NO,NO,NO,NO,1
248,Krishnasavaran (Marauti) Temple,NO,NO,NO,NO,NO,1
248,Krishnasavaran (Marauti) Temple,NO,NO,NO,NO,NO,1
248,Krishnasavaran (Marauti) Temple,NO,NO,NO,NO,NO,1
249,Terahauta,NO,NO,NO,NO,NO,1
249,Terahauta,NO,NO,NO,NO,NO,1
249,Terahauta,NO,NO,NO,NO,NO,1
250,Lohajara,NO,NO,NO,NO,NO,1
250,Lohajara,NO,NO,NO,NO,NO,1
250,Lohajara,NO,NO,NO,NO,NO,1
251,Bengari,NO,NO,NO,NO,NO,1
251,Bengari,NO,NO,NO,NO,NO,1
251,Bengari,NO,NO,NO,NO,NO,1
252,Theliya,NO,NO,NO,NO,NO,1
252,Theliya,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,3.7,Medium (~$35–60),1
252,Theliya,NO,NO,NO,NO,NO,1
253,Dhodhanpur,NO,NO,NO,NO,NO,1
253,Dhodhanpur,NO,NO,NO,NO,NO,1
253,Dhodhanpur,NO,NO,NO,NO,NO,1
254,Kamalpur,NO,NO,NO,NO,NO,1
254,Kamalpur,NO,NO,NO,NO,NO,1
254,Kamalpur,NO,NO,NO,NO,NO,1
255,Nargho,NO,NO,NO,NO,NO,1
255,Nargho,NO,NO,NO,NO,NO,1
255,Nargho,NO,NO,NO,NO,NO,1
256,Fakira,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),2
256,Fakira,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
256,Fakira,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4,High (~$90+),2
257,Birpur Barahi,Mithila Hotel and party palace,Kanchanrup 56400,Simple budget-friendly stay,4.2,Low (~$10–20),2
257,Birpur Barahi,Shambhunath Hotel,"Rajbiraj Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
257,Birpur Barahi,NO,NO,NO,NO,NO,2
258,Inarwa,Hotel Ichchha,Siraha 44600,Affordable homestay,3.8,Low (~$10–20),2
258,Inarwa,Swagatam Hotel & Party palace,"Opposite of pashupati school, Lahan 56500",Comfortable mid-range stay,4,Medium (~$35–60),2
258,Inarwa,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4.1,High (~$90+),2
259,Gobargada,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget-friendly stay,3.9,Low (~$10–20),2
259,Gobargada,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
259,Gobargada,NO,NO,NO,NO,NO,2
260,Barsain,NO,NO,NO,NO,NO,2
260,Barsain,NO,NO,NO,NO,NO,2
260,Barsain,NO,NO,NO,NO,NO,2
261,Koiladi,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable stay,3.8,Low (~$10–20),2
261,Koiladi,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),2
261,Koiladi,NO,NO,NO,NO,NO,2
262,Deehibar Temple at Kusha,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly temple stay,4.1,Low (~$10–20),2
262,Deehibar Temple at Kusha,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4.2,Medium (~$35–60),2
262,Deehibar Temple at Kusha,NO,NO,NO,NO,NO,2
263,Dalwa Park,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4.1,Low (~$10–20),2
263,Dalwa Park,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
263,Dalwa Park,NO,NO,NO,NO,NO,2
264,Sakarpura,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable homestay,4.1,Low (~$10–20),2
264,Sakarpura,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
264,Sakarpura,NO,NO,NO,NO,NO,2
265,Bishahariya,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Budget-friendly stay,4,Low (~$10–20),2
265,Bishahariya,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
265,Bishahariya,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury resort with scenic views,4.2,High (~$90+),2
266,Deurimaruwa,NO,NO,NO,NO,NO,2
266,Deurimaruwa,NO,NO,NO,NO,NO,2
266,Deurimaruwa,NO,NO,NO,NO,NO,2
267,Farseth,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),2
267,Farseth,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
267,Farseth,NO,NO,NO,NO,NO,2
268,Deurimaruwa,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4,Low (~$10–20),2
268,Deurimaruwa,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,3.8,Medium (~$35–60),2
268,Deurimaruwa,NO,NO,NO,NO,NO,2
269,Rajbiraj,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable budget stay,4,Low (~$10–20),2
269,Rajbiraj,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),2
269,Rajbiraj,NO,NO,NO,NO,NO,2
270,Didhawa,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,3.8,Low (~$10–20),2
270,Didhawa,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),2
270,Didhawa,NO,NO,NO,NO,NO,2
271,Pakari,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4,Low (~$10–20),2
271,Pakari,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
271,Pakari,NO,NO,NO,NO,NO,2
272,Maleth,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Affordable stay,4.1,Low (~$10–20),2
272,Maleth,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,4,Medium (~$35–60),2
272,Maleth,NO,NO,NO,NO,NO,2
273,Basbiti,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),2
273,Basbiti,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),2
273,Basbiti,NO,NO,NO,NO,NO,2
274,Rayapur,NO,NO,NO,NO,NO,2
274,Rayapur,NO,NO,NO,NO,NO,2
274,Rayapur,NO,NO,NO,NO,NO,2
275,Hariharpur,NO,NO,NO,NO,NO,2
275,Hariharpur,NO,NO,NO,NO,NO,2
275,Hariharpur,NO,NO,NO,NO,NO,2
276,Prasabani,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Affordable budget stay,4,Low (~$10–20),2
276,Prasabani,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
276,Prasabani,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury hillside resort,3.8,High (~$90+),2
277,Bishahariya,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Simple budget stay,3.8,Low (~$10–20),2
277,Bishahariya,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
277,Bishahariya,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury resort with scenic views,4.3,High (~$90+),2
278,Deurimaruwa,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly homestay,3.8,Low (~$10–20),2
278,Deurimaruwa,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),2
278,Deurimaruwa,NO,NO,NO,NO,NO,2
279,Farseth,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable budget stay,4,Low (~$10–20),2
279,Farseth,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),2
279,Farseth,NO,NO,NO,NO,NO,2
280,Lahan,NO,NO,NO,NO,NO,2
280,Lahan,NO,NO,NO,NO,NO,2
280,Lahan,NO,NO,NO,NO,NO,2
281,Govindpur Taregana,NO,NO,NO,NO,NO,2
281,Govindpur Taregana,NO,NO,NO,NO,NO,2
281,Govindpur Taregana,NO,NO,NO,NO,NO,2
282,Chure Mai Mandir,NO,NO,NO,NO,NO,2
282,Chure Mai Mandir,NO,NO,NO,NO,NO,2
282,Chure Mai Mandir,NO,NO,NO,NO,NO,2
283,Hardiya,NO,NO,NO,NO,NO,2
283,Hardiya,NO,NO,NO,NO,NO,2
283,Hardiya,NO,NO,NO,NO,NO,2
284,Kushaha,NO,NO,NO,NO,NO,2
284,Kushaha,NO,NO,NO,NO,NO,2
284,Kushaha,NO,NO,NO,NO,NO,2
285,Pansera,NO,NO,NO,NO,NO,2
285,Pansera,NO,NO,NO,NO,NO,2
285,Pansera,NO,NO,NO,NO,NO,2
286,Khojpur,NO,NO,NO,NO,NO,2
286,Khojpur,NO,NO,NO,NO,NO,2
286,Khojpur,NO,NO,NO,NO,NO,2
287,Banarjhula,NO,NO,NO,NO,NO,2
287,Banarjhula,NO,NO,NO,NO,NO,2
287,Banarjhula,NO,NO,NO,NO,NO,2
288,Malhanama,NO,NO,NO,NO,NO,2
288,Malhanama,NO,NO,NO,NO,NO,2
288,Malhanama,NO,NO,NO,NO,NO,2
289,Haripur,NO,NO,NO,NO,NO,2
289,Haripur,NO,NO,NO,NO,NO,2
289,Haripur,NO,NO,NO,NO,NO,2
290,Tikuliya,NO,NO,NO,NO,NO,2
290,Tikuliya,NO,NO,NO,NO,NO,2
290,Tikuliya,NO,NO,NO,NO,NO,2
291,Sakhuwanankarkatti,NO,NO,NO,NO,NO,2
291,Sakhuwanankarkatti,NO,NO,NO,NO,NO,2
291,Sakhuwanankarkatti,NO,NO,NO,NO,NO,2
292,Itarhawa,NO,NO,NO,NO,NO,2
292,Itarhawa,NO,NO,NO,NO,NO,2
292,Itarhawa,NO,NO,NO,NO,NO,2
293,Nahara Rigoul,NO,NO,NO,NO,NO,2
293,Nahara Rigoul,NO,NO,NO,NO,NO,2
293,Nahara Rigoul,NO,NO,NO,NO,NO,2
294,Bhagwanpur,NO,NO,NO,NO,NO,2
294,Bhagwanpur,NO,NO,NO,NO,NO,2
294,Bhagwanpur,NO,NO,NO,NO,NO,2
295,Geruwaha,NO,NO,NO,NO,NO,2
295,Geruwaha,NO,NO,NO,NO,NO,2
295,Geruwaha,NO,NO,NO,NO,NO,2
296,Sothiyan,NO,NO,NO,NO,NO,2
296,Sothiyan,NO,NO,NO,NO,NO,2
296,Sothiyan,NO,NO,NO,NO,NO,2
297,Mauwahi,NO,NO,NO,NO,NO,2
297,Mauwahi,NO,NO,NO,NO,NO,2
297,Mauwahi,NO,NO,NO,NO,NO,2
298,Kachanari,NO,NO,NO,NO,NO,2
298,Kachanari,NO,NO,NO,NO,NO,2
298,Kachanari,NO,NO,NO,NO,NO,2
299,Navarajpur,NO,NO,NO,NO,NO,2
299,Navarajpur,NO,NO,NO,NO,NO,2
299,Navarajpur,NO,NO,NO,NO,NO,2
300,Majhaura,NO,NO,NO,NO,NO,2
300,Majhaura,NO,NO,NO,NO,NO,2
300,Majhaura,NO,NO,NO,NO,NO,2
301,Khoksi,NO,NO,NO,NO,NO,2
301,Khoksi,NO,NO,NO,NO,NO,2
301,Khoksi,NO,NO,NO,NO,NO,2
302,Janakinagar,NO,NO,NO,NO,NO,2
302,Janakinagar,NO,NO,NO,NO,NO,2
302,Janakinagar,NO,NO,NO,NO,NO,2
303,Bariyarpatti,NO,NO,NO,NO,NO,2
303,Bariyarpatti,NO,NO,NO,NO,NO,2
303,Bariyarpatti,NO,NO,NO,NO,NO,2
304,Tenuwapatti,NO,NO,NO,NO,NO,2
304,Tenuwapatti,NO,NO,NO,NO,NO,2
304,Tenuwapatti,NO,NO,NO,NO,NO,2
305,Gadha,NO,NO,NO,NO,NO,2
305,Gadha,NO,NO,NO,NO,NO,2
305,Gadha,NO,NO,NO,NO,NO,2
306,Aurahi,Roof Top Hotel,"VQVH+J4, Gaushala 45700",Budget-friendly stay,4.2,Low (~$10–20),2
306,Aurahi,NO,NO,NO,NO,NO,2
306,Aurahi,NO,NO,NO,NO,NO,2
307,Aurahi Minor Shrine,NO,NO,NO,NO,NO,2
307,Aurahi Minor Shrine,NO,NO,NO,NO,NO,2
307,Aurahi Minor Shrine,NO,NO,NO,NO,NO,2
308,Baba Haridwar Dham,NO,NO,NO,NO,NO,2
308,Baba Haridwar Dham,NO,NO,NO,NO,NO,2
308,Baba Haridwar Dham,NO,NO,NO,NO,NO,2
309,Baba Taal,NO,NO,NO,NO,NO,2
309,Baba Taal,NO,NO,NO,NO,NO,2
309,Baba Taal,NO,NO,NO,NO,NO,2
310,Barhathwa Heritage Street,NO,NO,NO,NO,NO,2
310,Barhathwa Heritage Street,NO,NO,NO,NO,NO,2
310,Barhathwa Heritage Street,NO,NO,NO,NO,NO,2
311,Bharat Lake,Gautam Hotel Chapur,Chandrapur 00977,Affordable stay,4.1,Low (~$10–20),2
311,Bharat Lake,Hotel Aarohi,"49F3+F84, Mahendra Hwy, Chandrapur 44515",Comfortable mid-range stay,3.8,Medium (~$35–60),2
311,Bharat Lake,NO,NO,NO,NO,NO,2
312,Birgunj Heritage Sites,Annapurna Hotel Nepal,"Ganesh Man Chowk, Birgunj 44300",Budget-friendly stay,3.7,Low (~$10–20),2
312,Birgunj Heritage Sites,Diyalo Lords Plaza,"2V6F+MFW, Adarsh Nagar,Opposite Rastriya Banijya Bank Building, Birgunj 44300",Comfortable mid-range rooms,4.1,Medium (~$35–60),2
312,Birgunj Heritage Sites,Hotel Everest,"2VCH+FMM, Link Rd, Birgunj 44300",Luxury hillside resort,4,High (~$90+),2
313,Chhath Ghat (Sunsari),NO,NO,NO,NO,NO,1
313,Chhath Ghat (Sunsari),NO,NO,NO,NO,NO,1
313,Chhath Ghat (Sunsari),NO,NO,NO,NO,NO,1
314,Chhinnamasta Riverbank Areas,NO,NO,NO,NO,NO,2
314,Chhinnamasta Riverbank Areas,NO,NO,NO,NO,NO,2
314,Chhinnamasta Riverbank Areas,NO,NO,NO,NO,NO,2
315,Chhinnamasta Temple,NO,NO,NO,NO,NO,2
315,Chhinnamasta Temple,NO,NO,NO,NO,NO,2
315,Chhinnamasta Temple,NO,NO,NO,NO,NO,2
316,Chhireshwor Temple,NO,NO,NO,NO,NO,2
316,Chhireshwor Temple,NO,NO,NO,NO,NO,2
316,Chhireshwor Temple,NO,NO,NO,NO,NO,2
317,Chitwan–Parsa Elephant Corridor,Jungle Safari Resort,"Sauraha, Ratnanagar 44200, Main Road Sauraha, Chitwan Nepal 44200",Budget-friendly stay,4.1,Low (~$10–20),3
317,Chitwan–Parsa Elephant Corridor,Gairibari Resort,Ratnanagar 44200,Comfortable mid-range rooms,4.2,Medium (~$35–60),3
317,Chitwan–Parsa Elephant Corridor,Travellers Jungle Camp,"Ra.Na.Pa-6, Ratnanagar 44200",Luxury wildlife resort,4,High (~$90+),3
318,Chure Hills (Eastern Belt),NO,NO,NO,NO,NO,2
318,Chure Hills (Eastern Belt),NO,NO,NO,NO,NO,2
318,Chure Hills (Eastern Belt),NO,NO,NO,NO,NO,2
319,Dhanushadham (Dhanusha),NO,NO,NO,NO,NO,2
319,Dhanushadham (Dhanusha),NO,NO,NO,NO,NO,2
319,Dhanushadham (Dhanusha),NO,NO,NO,NO,NO,2
320,Dhobi Tole (Janakpur),NO,NO,NO,NO,NO,2
320,Dhobi Tole (Janakpur),NO,NO,NO,NO,NO,2
320,Dhobi Tole (Janakpur),NO,NO,NO,NO,NO,2
321,Gadhi Mai Forest Area,NO,NO,NO,NO,NO,2
321,Gadhi Mai Forest Area,NO,NO,NO,NO,NO,2
321,Gadhi Mai Forest Area,NO,NO,NO,NO,NO,2
322,Gadhi Mai Temple (Bara),NO,NO,NO,NO,NO,2
322,Gadhi Mai Temple (Bara),NO,NO,NO,NO,NO,2
322,Gadhi Mai Temple (Bara),NO,NO,NO,NO,NO,2
323,Gadhimai Mela Ground,NO,NO,NO,NO,NO,2
323,Gadhimai Mela Ground,NO,NO,NO,NO,NO,2
323,Gadhimai Mela Ground,NO,NO,NO,NO,NO,2
324,Gamhariya Village,NO,NO,NO,NO,NO,2
324,Gamhariya Village,NO,NO,NO,NO,NO,2
324,Gamhariya Village,NO,NO,NO,NO,NO,2
325,Gaur,"Royal Indu Hotel, Family Restaurant and Bar","Near New Bus Park, Chandranigapur Highway, Gaur 44500",Simple budget stay,3.9,Low (~$10–20),2
325,Gaur,NO,NO,NO,NO,NO,2
325,Gaur,NO,NO,NO,NO,NO,2
326,Gaur (Rautahat) Heritage Sites,NO,NO,NO,NO,NO,2
326,Gaur (Rautahat) Heritage Sites,NO,NO,NO,NO,NO,2
326,Gaur (Rautahat) Heritage Sites,NO,NO,NO,NO,NO,2
327,Gaurighat Temple,NO,NO,NO,NO,NO,2
327,Gaurighat Temple,NO,NO,NO,NO,NO,2
327,Gaurighat Temple,NO,NO,NO,NO,NO,2
328,Hariharpur Village,NO,NO,NO,NO,NO,2
328,Hariharpur Village,NO,NO,NO,NO,NO,2
328,Hariharpur Village,NO,NO,NO,NO,NO,2
329,Jagdamba Temple,NO,NO,NO,NO,NO,2
329,Jagdamba Temple,NO,NO,NO,NO,NO,2
329,Jagdamba Temple,NO,NO,NO,NO,NO,2
330,Jaleshwar Dham,NO,NO,NO,NO,NO,2
330,Jaleshwar Dham,NO,NO,NO,NO,NO,2
330,Jaleshwar Dham,NO,NO,NO,NO,NO,2
331,Jaleshwor Mahadev Temple,NO,NO,NO,NO,NO,2
331,Jaleshwor Mahadev Temple,NO,NO,NO,NO,NO,2
331,Jaleshwor Mahadev Temple,NO,NO,NO,NO,NO,2
332,Janaki Temple Minor Complex,Hotel Mahendra,"VH46+72F Hotel Mahendra, Malangawa 45800",Budget-friendly stay,4,Low (~$10–20),2
332,Janaki Temple Minor Complex,NO,NO,NO,NO,NO,2
332,Janaki Temple Minor Complex,NO,NO,NO,NO,NO,2
333,Janakpur Dham,Hotel Mystic Mithila,"Shiva Chowk Station Road, Janakpur 45600",Budget-friendly stay,4,Low (~$10–20),2
333,Janakpur Dham,Hotel Welcome,"Shiv chowk, Janakpur 45600",Comfortable mid-range rooms,4.2,Medium (~$35–60),2
333,Janakpur Dham,Atithi Thakali Kitchen and hotel,Janakpur 45600,Luxury resort near temple,4.1,High (~$90+),2
334,Janakpur Ghats,NO,NO,NO,NO,NO,2
334,Janakpur Ghats,NO,NO,NO,NO,NO,2
334,Janakpur Ghats,NO,NO,NO,NO,NO,2
335,Kachorwa,Kundan Hotel,"V39W+P6G, Simraungadh 01",Budget-friendly stay,4,Low (~$10–20),2
335,Kachorwa,Nepal Madeira Hotel,"V39H+X2C, Piparpati Pachrauta 44400",Comfortable mid-range rooms,3.8,Medium (~$35–60),2
335,Kachorwa,NO,NO,NO,NO,NO,2
336,Kachorwa Tiny Ghat,NO,NO,NO,NO,NO,2
336,Kachorwa Tiny Ghat,NO,NO,NO,NO,NO,2
336,Kachorwa Tiny Ghat,NO,NO,NO,NO,NO,2
337,Kachorwa Village,NO,NO,NO,NO,NO,2
337,Kachorwa Village,NO,NO,NO,NO,NO,2
337,Kachorwa Village,NO,NO,NO,NO,NO,2
338,Kailashnath Mahadev Statue,NO,NO,NO,NO,NO,2
338,Kailashnath Mahadev Statue,NO,NO,NO,NO,NO,2
338,Kailashnath Mahadev Statue,NO,NO,NO,NO,NO,2
339,Kalyanpur Ghat,NO,NO,NO,NO,NO,1
339,Kalyanpur Ghat,NO,NO,NO,NO,NO,1
339,Kalyanpur Ghat,NO,NO,NO,NO,NO,1
340,Koshi Barrage,NO,NO,NO,NO,NO,1
340,Koshi Barrage,NO,NO,NO,NO,NO,1
340,Koshi Barrage,NO,NO,NO,NO,NO,1
341,Koshi Barrage Viewpoint,NO,NO,NO,NO,NO,1
341,Koshi Barrage Viewpoint,NO,NO,NO,NO,NO,1
341,Koshi Barrage Viewpoint,NO,NO,NO,NO,NO,1
342,Lahan / Shambhunath Temple,NO,NO,NO,NO,NO,2
342,Lahan / Shambhunath Temple,NO,NO,NO,NO,NO,2
342,Lahan / Shambhunath Temple,NO,NO,NO,NO,NO,2
343,Laukaha Border Market,NO,NO,NO,NO,NO,2
343,Laukaha Border Market,NO,NO,NO,NO,NO,2
