Destination ID,Destination ,District,Best Season,Tags,Main Category,Activities,Difficulty Level,Accessibility,Latitude,Longitude,Province
255,Nargho,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54318,86.74876,2
256,Fakira,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54518,86.75016,2
257,Birpur Barahi,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.75396,2
258,Inarwa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54768,86.75536,2
259,Gobargada,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54968,86.75676,2
260,Barsain,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55018,86.75816,2
261,Koiladi,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.55218,86.74796,2
262,Deehibar Temple at Kusha,Saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Photography, Pilgrimage",Easy,Accessible by road,26.55418,86.74936,2
263,Dalwa Park,Saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.53968,86.75076,2
264,Sakarpura,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54168,86.75216,2
265,Bishahariya,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54368,86.75596,2
266,Deurimaruwa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54418,86.75736,2
267,Farseth,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54618,86.75876,2
268,Deurimaruwa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54818,86.74616,2
269,Rajbiraj,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54868,86.74996,2
270,Didhawa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55068,86.75136,2
271,Pakari,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55268,86.75276,2
272,Maleth,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55318,86.75416,2
273,Basbiti,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54018,86.75796,2
274,Rayapur,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.65511,86.2081,2
275,Hariharpur,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54118,86.75876,2
276,Prasabani,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54318,86.74616,2
277,Bishahariya,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54518,86.74996,2
278,Deurimaruwa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.75136,2
279,Farseth,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54768,86.75276,2
280,Lahan,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.65661,86.2089,2
281,Govindpur Taregana,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.65711,86.2127,2
282,Chure Mai Mandir,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Photography, Pilgrimage",Easy,Mostly accessible by local roads,26.54918,86.75536,2
283,Hardiya,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55018,86.75736,2
284,Kushaha,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55218,86.75876,2
285,Pansera,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55418,86.74616,2
286,Khojpur,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.53968,86.74996,2
287,Banarjhula,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54168,86.75136,2
288,Malhanama,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54368,86.75276,2
289,Haripur,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.65861,86.2129,2
290,Tikuliya,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54468,86.75596,2
291,Sakhuwanankarkatti,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54668,86.75736,2
292,Itarhawa,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54718,86.75876,2
293,Nahara Rigoul,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54918,86.74616,2
294,Bhagwanpur,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66111,86.2167,2
295,Geruwaha,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55018,86.74936,2
296,Sothiyan,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55218,86.75076,2
297,Mauwahi,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55418,86.75216,2
298,Kachanari,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66211,86.2181,2
299,Navarajpur,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54218,86.75676,2
300,Majhaura,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54268,86.75816,2
301,Khoksi,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66561,86.2081,2
302,Janakinagar,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66611,86.2095,2
303,Bariyarpatti,Siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66811,86.2109,2
304,Tenuwapatti,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54518,86.74796,2
305,Gadha,Saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.74936,2
306,Aurahi,Aurahi,Oct–Feb,"Village, Culture",Village & Rural Tourism,"Village Walks, Homestay",Easy,Road accessible,26.75,86.95,2
307,Aurahi Minor Shrine,Aurahi,Oct–Mar,Temple; Local; Offbeat,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road Accessible,26.72,85.92,2
308,Baba Haridwar Dham,Saptari,Oct–Mar,Temple; Pilgrimage; Hindu; Cultural,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Tour,Easy,Road Accessible,26.619,86.71,2
309,Baba Taal,Saptari,Oct–Mar,Lake; Pilgrimage; Nature,Natural Attractions,Boating; Birdwatching; Photography,Easy,Road Accessible,26.6333,86.75,2
310,Barhathwa Heritage Street,Sarlahi,Oct–Mar,Historical; Heritage; Local Culture,Cultural & Religious Sites,Sightseeing; Photography; Local Exploration; Cultural Tour,Easy,Road Accessible,26.923,85.536,2
311,Bharat Lake,Sarlahi,All year,"Lake, Nature",Natural Attractions,"Boating, Picnicking",Easy,Road,27.0333,85.55,2
312,Birgunj Heritage Sites,Parsa,Oct–Mar,Historical; Heritage; Architecture; Cultural,Cultural & Religious Sites,Cultural Tour; Photography; Historical Exploration,Easy,Road Accessible,27,84.8667,2
313,Chhath Ghat (Sunsari),Sunsari,Oct–Nov,Religious; River; Festival; Cultural,Natural Attractions,Festival Celebration; Worship; Photography; Local Culture,Easy,Road Accessible,26.675,87.01,2
314,Chhinnamasta Riverbank Areas,Saptari,Oct–Mar,River; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Birdwatching; Picnic,Easy,Road Accessible,26.615,86.72,2
315,Chhinnamasta Temple,Saptari,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Festivals",Easy,Road Accessible,26.6098,86.7485,2
316,Chhireshwor Temple,Saptari,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Local Festival,Easy,Road Accessible,26.612,86.725,2
317,Chitwan–Parsa Elephant Corridor,Parsa,Nov–Feb,"Wildlife, Conservation",Wildlife & Conservation,"Eco-tourism, Wildlife Photography",Moderate,Road + Jungle Routes,27.36,84.69,2
318,Chure Hills (Eastern Belt),Sarlahi / Rautahat,Oct–Mar,"Nature, Hiking",Natural Attractions,"Short Hikes, Photography",Moderate,Road + Trekking,27.1,85,2
319,Dhanushadham (Dhanusha),Dhanusha,"Oct-Dec, Feb-Apr","Religious, Mythical",Cultural & Religious Sites,"Pilgrimage, Sightseeing",Easy,"Road, Easy",26.7383,85.9345,2
320,Dhobi Tole (Janakpur),Dhanusha,Oct–Dec,"Cultural, Historic",Cultural & Religious Sites,"Photography, Cultural Walks",Easy,Road accessible,26.7167,86.7333,2
321,Gadhi Mai Forest Area,Rautahat,Oct–Apr,"Nature, Eco-tourism",Natural Attractions,"Nature Walk, Bird Watching",Easy,Road Accessible,27.05,85.3167,2
322,Gadhi Mai Temple (Bara),Bara,"Jan-Mar, Oct-Dec","Religious, Fair",Cultural & Religious Sites,"Pilgrimage, Cultural Fair",Easy,"Road, Easy",27,85.0667,2
323,Gadhimai Mela Ground,Bara,Nov–Dec (every 5 yrs),"Cultural, Festival",Cultural & Religious Sites,"Festival Gathering, Cultural Tourism",Easy,Road Accessible,27.0836,85.0479,2
324,Gamhariya Village,Bara,Oct–Mar,Cultural Village; Local Life,Cultural & Religious Sites,Cultural Tour; Photography; Local Interaction; Traditional Food,Easy,Road Accessible,26.975,85.16,2
325,Gaur,Rautahat,Oct–Mar,"Historical, Cultural, City",Cultural & Religious Sites,"Sightseeing, Heritage Walks",Easy,Road Accessible,27,85.2,2
326,Gaur (Rautahat) Heritage Sites,Rautahat,Oct-Mar,"Historical, Cultural",Cultural & Religious Sites,"Heritage Walk, Photography",Easy,"Road, Easy",26.9,85.1833,2
327,Gaurighat Temple,Rautahat,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Cultural Experience; Photography,Easy,Road Accessible,26.8935,85.235,2
328,Hariharpur Village,Mahottari,Oct–Mar,Cultural Village; Local Life,Cultural & Religious Sites,Cultural Tour; Local Experience; Photography; Homestay,Easy,Road Accessible,26.89,85.905,2
329,Jagdamba Temple,Sarlahi,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Local Rituals",Easy,Road Accessible,26.9,85.55,2
330,Jaleshwar Dham,Mahottari,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Local Festivals",Easy,Road Accessible,26.65,85.8,2
331,Jaleshwor Mahadev Temple,Mahottari,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Experience,Easy,Road Accessible,26.874,85.912,2
332,Janaki Temple Minor Complex,Dhanusha,Oct–Nov,"Spiritual, Temple",Cultural & Religious Sites,"Temple Visit, Photography",Easy,Road accessible,26.73,85.921,2
333,Janakpur Dham,Dhanusha,Oct–Mar,"Religious,Cultural",Cultural & Religious Sites,"Pilgrimage, Sightseeing, Photography",Easy,Road + Train,26.7288,85.925,2
334,Janakpur Ghats,Dhanusha,Oct–Mar,River; Pilgrimage; Cultural,Natural Attractions,Sightseeing; Pilgrimage; Cultural Tour; Photography,Easy,Road Accessible,26.718,85.925,2
335,Kachorwa,Kachorwa,Oct–Feb,"Village, Culture",Village & Rural Tourism,"Village Walks, Homestay",Easy,Road accessible,26.733,86.917,2
336,Kachorwa Tiny Ghat,Kachorwa,Oct–Mar,River; Offbeat; Scenic,Natural Attractions,Photography; Picnic; Nature Walk,Easy,Road Accessible,26.725,85.91,2
337,Kachorwa Village,Dhanusha,Oct–Mar,Cultural Village; Local Life,Cultural & Religious Sites,Cultural Tour; Photography; Local Experience; Homestay,Easy,Road Accessible,26.72,85.91,2
338,Kailashnath Mahadev Statue,Bara,Oct–Mar,Statue; Religious; Pilgrimage; Hindu,Cultural & Religious Sites,Sightseeing; Pilgrimage; Photography; Cultural Experience,Easy,Road Accessible,26.973,85.15,2
339,Kalyanpur Ghat,Parsa,Oct–Mar,River; Nature; Photography,Natural Attractions,Sightseeing; River Walk; Photography; Birdwatching,Easy,Road Accessible,27.005,84.99,2
340,Koshi Barrage,Saptari,Oct–Mar,Nature; Engineering; River; Viewpoint,Natural Attractions,Photography; Sightseeing; Birdwatching; Picnic,Easy,Road Accessible,26.666,86.716,2
341,Koshi Barrage Viewpoint,Saptari,Oct–Mar,Viewpoint; Nature; Photography,Natural Attractions,Sightseeing; Birdwatching; Photography; Picnic,Easy,Road Accessible,26.667,86.716,2
342,Lahan / Shambhunath Temple,Siraha,Oct–Mar,Temple; Pilgrimage; Cultural,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Tour,Easy,Road Accessible,26.7175,86.5169,2
343,Laukaha Border Market,Siraha,All year,Market; Trade; Local Culture,Village & Rural Tourism,Shopping; Food Exploration; Photography; Cultural Observation,Easy,Road Accessible,26.638,86.9,2
344,Local Homestays & Village Experiences,Aurahi/Kachorwa/Hariharpur,Oct–Mar,Village; Cultural; Homestay,Cultural & Religious Sites,Cultural Tour; Homestay Experience; Local Food; Photography,Easy,Road Accessible,26.721,85.915,2
345,Local Seasonal Festivals (Remote Villages),Mahottari/Sarlahi,Oct–Nov,Cultural; Festival; Local,Cultural & Religious Sites,Festival Participation; Photography; Local Experience,Easy,Road Accessible,26.9,85.93,2
346,Madhesh Museum & Cultural Center,Janakpur,Oct–Mar,Museum; Cultural; Heritage,Cultural & Religious Sites,Museum Tour; Cultural Exploration; Photography; Local History,Easy,Road Accessible,26.716,85.917,2
347,Minor Ghats & River Confluences,Saptari/Dhanusha,Oct–Mar,River; Pilgrimage; Festival,Natural Attractions,Festival Participation; Photography; Birdwatching; Sightseeing,Easy,Road Accessible,26.618,86.715,2
348,Minor Heritage Sites,Sarlahi/Rautahat/Bara,Oct–Mar,Temple; Heritage; Historical,Cultural & Religious Sites,Sightseeing; Photography; Cultural Exploration; Worship,Easy,Road Accessible,26.925,85.54,2
349,Minor Village Temples (Sarlahi/Bara/Rautahat),Sarlahi/Bara/Rautahat,Oct–Mar,Temple; Local; Pilgrimage,Cultural & Religious Sites,Worship; Photography; Cultural Tour,Easy,Road Accessible,26.92,85.55,2
350,Mithila Art Sites,Dhanusha / Siraha,All Year,"Cultural, Art, Heritage",Cultural & Religious Sites,"Art Tours, Workshops, Cultural Exploration",Easy,Road Accessible,26.75,85.95,2
351,Mithila Cultural Park,Dhanusha,Oct–Mar,Cultural; Heritage; Art,Cultural & Religious Sites,Cultural Tour; Photography; Workshops; Local Experience,Easy,Road Accessible,26.722,85.92,2
352,Mithila Painting Workshop,Dhanusha,Oct–Mar,Cultural; Art; Workshop,Cultural & Religious Sites,Art Workshop; Photography; Cultural Tour; Local Experience,Easy,Road Accessible,26.723,85.922,2
353,Parsa National Park,Parsa,Oct–Mar,National Park; Wildlife; Safari; Nature,Natural Attractions,Wildlife Safari; Birdwatching; Nature Walks; Photography,Easy,Road Accessible,27.0556,84.9792,2
354,Pipara (Historical Site),Mahottari,Oct–Apr,"Historical, Archaeological",Village & Rural Tourism,"Sightseeing, Research, Photography",Easy,Road Accessible,26.7,85.85,2
355,Rajdevi Temple,Rautahat,Oct–Mar,Temple; Pilgrimage; Hindu; Local Culture,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Tour,Easy,Road Accessible,26.896,85.228,2
356,Ram Janaki Temple,Mahottari,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Cultural Tour; Photography,Easy,Road Accessible,26.893,85.89,2
357,Raxaul / Bhitthamore Border,Bara / India Border,All year,"Border, Trade",Urban & Modern Attractions,"Sightseeing, Trading",Easy,Road accessible,26.7667,85.1833,2
358,Raxaul Border / Bhitthamore Market,Mahottari,All year,Market; Trade; Cultural; Border,Cultural & Religious Sites,Shopping; Local Food; Cultural Observation; Photography,Easy,Road Accessible,26.5811,85.09,2
359,Sakhuwa Mahadev Temple,Saptari,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Festivals",Easy,Road Accessible,26.6,86.75,2
360,Salhesh Botanical Garden,Siraha,Oct-Mar,"Botanical, Nature",Natural Attractions,"Nature Walks, Photography",Easy,"Road, Easy",26.7167,86.2333,2
361,Sarlahi,Sarlahi,Oct–Feb,"Cultural, Temple",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,26.916,85.55,2
362,Sarlahi Minor Cultural Site,Sarlahi,Oct–Nov,"Culture, Heritage",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,26.931,85.537,2
363,Shivala Temple,Siraha,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Experience,Easy,Road Accessible,26.71,86.518,2
364,Shivala Temple (Dhanusha),Dhanusha,Sep–Nov,"Spiritual, Culture",Cultural & Religious Sites,"Temple Visits, Photography",Easy,Road accessible,26.7167,86.7333,2
365,Simraungadh,Bara,Oct–Mar,"Historical, Archaeological",Village & Rural Tourism,"Sightseeing, Heritage Walk",Easy,Road Accessible,27.1833,85.0833,2
366,Sirsia Bird Sanctuary,Rautahat,Nov–Feb,"Nature, Wildlife, Bird Sanctuary",Natural Attractions,"Birdwatching, Nature Walks, Photography",Easy,Road Accessible,27.0333,85.2333,2
367,Small Wetlands & Ponds (Saptari/Dhanusha),Saptari/Dhanusha,Oct–Mar,Nature; Wetland; Birdwatching,Natural Attractions,Sightseeing; Birdwatching; Photography,Easy,Road Accessible,26.62,86.71,2
368,Tharu Villages,Udayapur/Sunsari,Oct–Mar,Cultural Village; Tharu,Cultural & Religious Sites,Cultural Tours; Local Festivals; Photography,Easy,Road Accessible,26.7,86.9,2
369,Tilathi Ghat,Saptari,Oct–Mar,River; Nature; Photography,Natural Attractions,Sightseeing; Photography; River Walk; Birdwatching,Easy,Road Accessible,26.612,86.715,2
370,Tilathi–Koilabas Border Village,Saptari/Siraha,Oct–Mar,Border; River; Village,Natural Attractions,Sightseeing; Photography; Cultural Tour; Local Interaction,Easy,Road Accessible,26.635,86.91,2
371,Tulsipur Cultural Center,Mahottari,Oct–Mar,Cultural; Local Art; Heritage,Cultural & Religious Sites,Cultural Tour; Workshops; Photography; Local Experience,Easy,Road Accessible,26.895,85.91,2
372,Chhinnamasta Riverbank Areas,Saptari,Oct–Mar,River; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Birdwatching; Picnic,Easy,Road Accessible,26.615,86.72,2
373,Tulsipur Cultural Center,Mahottari,Oct–Mar,Cultural; Local Art; Heritage,Cultural & Religious Sites,Cultural Tour; Workshops; Photography; Local Experience,Easy,Road Accessible,26.895,85.91,2
374,Small Wetlands & Ponds (Saptari/Dhanusha),Saptari/Dhanusha,Oct–Mar,Nature; Wetland; Birdwatching,Natural Attractions,Sightseeing; Birdwatching; Photography,Easy,Road Accessible,26.62,86.71,2
375,Birgunj Heritage Sites,Parsa,Oct–Mar,Historical; Heritage; Architecture; Cultural,Cultural & Religious Sites,Cultural Tour; Photography; Historical Exploration,Easy,Road Accessible,27,84.8667,2
376,Dhobi Tole / Cultural Street,Janakpur,Oct–Mar,Cultural; Local Market; Food; Heritage,Cultural & Religious Sites,Food Exploration; Photography; Local Experience; Shopping,Easy,Road Accessible,26.709,85.9225,2
377,Madhesh Museum & Cultural Center,Janakpur,Oct–Mar,Museum; Cultural; Heritage,Cultural & Religious Sites,Museum Tour; Cultural Exploration; Photography; Local History,Easy,Road Accessible,26.716,85.917,2
378,Tharu Villages,Udayapur/Sunsari,Oct–Mar,Cultural Village; Tharu,Cultural & Religious Sites,Cultural Tours; Local Festivals; Photography,Easy,Road Accessible,26.7,86.9,2
379,Sakhuwa Mahadev Temple,Saptari,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Festivals",Easy,Road Accessible,26.6,86.75,2
380,Salhesh Fulbari,Siraha,Mar–May (Sal tree blossoms),"Nature, Cultural",Natural Attractions,"Nature Walk, Photography, Festivals",Easy,Road Accessible,26.66,86.2,2
381,Bharat Lake,Sarlahi,All year,"Lake, Nature",Natural Attractions,"Boating, Picnicking",Easy,Road,27.0333,85.55,2
382,Bariyarpur Historical Sites,Siraha,Oct–Mar,Historical; Heritage; Culture,Cultural & Religious Sites,Cultural Tour; Photography; Exploration,Easy,Road Accessible,26.711,86.517,2
383,Laukaha Border Market,Siraha,All year,Market; Trade; Local Culture,Village & Rural Tourism,Shopping; Food Exploration; Photography; Cultural Observation,Easy,Road Accessible,26.638,86.9,2
384,Kachorwa Tiny Ghat,Kachorwa,Oct–Mar,River; Offbeat; Scenic,Natural Attractions,Photography; Picnic; Nature Walk,Easy,Road Accessible,26.725,85.91,2
385,Gamhariya Village,Bara,Oct–Mar,Cultural Village; Local Life,Cultural & Religious Sites,Cultural Tour; Photography; Local Interaction; Traditional Food,Easy,Road Accessible,26.975,85.16,2
386,Kalyanpur Ghat,Parsa,Oct–Mar,River; Nature; Photography,Natural Attractions,Sightseeing; River Walk; Photography; Birdwatching,Easy,Road Accessible,27.005,84.99,2
387,Rajdevi Temple,Rautahat,Oct–Mar,Temple; Pilgrimage; Hindu; Local Culture,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Tour,Easy,Road Accessible,26.896,85.228,2
388,Tilathi Ghat,Saptari,Oct–Mar,River; Nature; Photography,Natural Attractions,Sightseeing; Photography; River Walk; Birdwatching,Easy,Road Accessible,26.612,86.715,2
389,Shivala Temple,Siraha,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Experience,Easy,Road Accessible,26.71,86.518,2
390,Chure Hills (Eastern Belt),Sarlahi / Rautahat,Oct–Mar,"Nature, Hiking",Natural Attractions,"Short Hikes, Photography",Moderate,Road + Trekking,27.1,85,2
391,Tilathi–Koilabas Border Village,Saptari/Siraha,Oct–Mar,Border; River; Village,Natural Attractions,Sightseeing; Photography; Cultural Tour; Local Interaction,Easy,Road Accessible,26.635,86.91,2
392,Simraungadh,Bara,Oct–Mar,"Historical, Archaeological",Village & Rural Tourism,"Sightseeing, Heritage Walk",Easy,Road Accessible,27.1833,85.0833,2
393,Sarlahi Minor Cultural Site,Sarlahi,Oct–Nov,"Culture, Heritage",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,26.931,85.537,2
394,Dhanushadham (Dhanusha),Dhanusha,"Oct-Dec, Feb-Apr","Religious, Mythical",Cultural & Religious Sites,"Pilgrimage, Sightseeing",Easy,"Road, Easy",26.7383,85.9345,2
395,Chinnamasta Bhagawati Temple,Saptari,Oct-Dec,"Religious, Pilgrimage",Cultural & Religious Sites,"Pilgrimage, Rituals",Easy,"Road, Easy",26.6667,86.75,2
396,Sarlahi,Sarlahi,Oct–Feb,"Cultural, Temple",Cultural & Religious Sites,"Sightseeing, Photography",Easy,Road accessible,26.916,85.55,2
397,Laukaha Border Market (Siraha),Siraha,All year,"Trade, Market",Urban & Modern Attractions,"Sightseeing, Shopping",Easy,Road accessible,26.6167,86.7333,2
398,Tulsipur Cultural Center (Mahottari),Mahottari,Oct–Dec,"Cultural, Art",Cultural & Religious Sites,"Cultural Tours, Photography",Easy,Road accessible,26.6167,86.7333,2
399,Sakhuwa Mahadev Temple (Sarlahi),Sarlahi,Sep–Nov,"Spiritual, Culture",Cultural & Religious Sites,"Temple Visits, Cultural Tours",Easy,Road accessible,26.9333,85.55,2
400,Birgunj Heritage Sites (Parsa),Parsa,Oct–Dec,"Historical, Cultural",Cultural & Religious Sites,"Heritage Walks, Photography",Easy,Road accessible,27,84.8667,2
401,Bardibas,Mahottari,All Year,Municipality,Urban & Modern Attractions,"Local Visit, Market",Easy,Road Access,26.9,85.9,2
402,Laxminiya,Mahottari,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.88,85.88,2
403,Belgachhi,Dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.85,85.87,2
404,Hathilet,Dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.84,85.86,2
405,Dhalkebar,Dhanusha,All Year,"Village, Temple",Cultural & Religious Sites,"Local Visit, Religious",Easy,Road Access,26.82,85.85,2
406,Batauwa,Dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.8,85.83,2
407,Bharatpur,Parsa,All Year,Town,Urban & Modern Attractions,"Market, Cultural Visit",Easy,Road Access,27,84.99,2
408,Fulakaha,Parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.98,84.97,2
409,Birgunj,Parsa,All Year,"City, Trade Hub",Urban & Modern Attractions,"Market, Trade, Cultural",Easy,Road Access,27,84.87,2
410,Motisar,Parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.95,84.9,2
