Name,District,Transportation
Bakdhauwa,Saptari,"Drive from Kathmandu to Itahari, then continue along the highway to Bakdhauwa."
Jandaul,Saptari,"From Kathmandu, drive to Udayapur, then continue locally to Jandaul."
Mohanpur,Saptari,Take a long-distance bus from Kathmandu to Sunsari District and reach Mohanpur by local transport.
Mahuli Waterfall,Saptari,"Travel from Kathmandu to Saptari District by road via the East-West Highway, then continue locally to reach Mahuli Waterfall near Kanchanrup."
Harna River,Saptari,"Drive from Kathmandu towards Saptari via the East-West Highway, then continue to the Harna River area near Rajbiraj."
Jandaul,Saptari,"From Kathmandu, travel by road to Saptari District through Lahan and then continue locally to Jandaul village."
Krishnasavaran (Marauti) Temple,Saptari,"Take a bus or private vehicle from Kathmandu to Lahan, then continue locally to Krishnasavaran to visit Marauti Temple."
Terahauta,Saptari,"Travel from Kathmandu to Rajbiraj by road or air, then continue locally to Terahauta village."
Lohajara,Saptari,"Drive from Kathmandu to Saptari via Lahan, then continue on local roads to Lohajara settlement."
Bengari,Saptari,"From Kathmandu, take the East-West Highway to Saptari District, then proceed locally to Bengari village."
Theliya,Saptari,Drive from Kathmandu to Rajbiraj and continue locally to Theliya near Kanchanpur area.
Dhodhanpur,Saptari,"Travel from Kathmandu to Lahan, then take local transportation to Dhodhanpur village."
Kamalpur,Saptari,"Take a bus from Kathmandu to Saptari District, then continue to Kamalpur through regional roads."
Nargho,Saptari,"From Kathmandu, travel to Rajbiraj by road or flight, then drive locally to Nargho area."
Fakira,Saptari,Drive from Kathmandu to Saptari via Itahari and continue to Fakira village near Hanumannagar.
Birpur Barahi,Saptari,Travel by road from Kathmandu to Saptari District and continue locally to Birpur Barahi Temple.
Inarwa,Saptari,"From Kathmandu, take a long-distance bus to Saptari District and reach Inarwa town near the Indian border."
Gobargada,Saptari,Drive from Kathmandu via Lahan and continue by local route to Gobargada village in Saptari.
Barsain,Saptari,"Travel by road from Kathmandu to Rajbiraj, then continue a short distance to Barsain village."
Koiladi,Saptari,"From Kathmandu, drive via Itahari to Rajbiraj and continue locally to Koiladi settlement."
Deehibar Temple at Kusha,Saptari,Take a road trip from Kathmandu to Saptari and visit Deehibar Temple located near Kusha village.
Dalwa Park,Saptari,"Drive from Kathmandu to Saptari District, then proceed locally to Dalwa Park recreation area."
Sakarpura,Saptari,"From Kathmandu, travel to Rajbiraj by highway or flight, then continue locally to Sakarpura village."
Bishahariya,Saptari,Take a road trip from Kathmandu to Saptari and continue to Bishahariya village area.
Deurimaruwa,Saptari,"From Kathmandu, drive to Saptari District via Lahan and continue to Deurimaruwa settlement."
Farseth,Saptari,"Travel from Kathmandu to Saptari by road, then head locally to Farseth near Kanchanpur."
Deurimaruwa,Saptari,"Again, reach Saptari via Lahan and continue locally to Deurimaruwa for route continuity."
Rajbiraj,Saptari,Take a direct flight from Kathmandu to Rajbiraj Airport or travel by road along the East-West Highway.
Didhawa,Saptari,"Drive from Kathmandu towards Rajbiraj, then continue by local transport to Didhawa."
Pakari,Saptari,"From Kathmandu, travel to Saptari by highway, then proceed to Pakari village."
Maleth,Saptari,"Take a bus from Kathmandu to Rajbiraj, then continue locally to Maleth area."
Basbiti,Saptari,Drive from Kathmandu to Saptari and continue by local roads to Basbiti.
Rayapur,Siraha,"From Kathmandu, travel to Lahan and then continue locally to Rayapur village."
Hariharpur,Saptari,Drive from Kathmandu to Saptari District through the East-West Highway and reach Hariharpur.
Prasabani,Saptari,"From Kathmandu, drive to Rajbiraj, then continue locally to Prasabani village."
Bishahariya,Saptari,Travel again from Kathmandu to Saptari and continue to Bishahariya for route linkage.
Deurimaruwa,Saptari,Reach Deurimaruwa again from Kathmandu for continuity in the travel circuit.
Farseth,Saptari,Drive once more via Lahan to Saptari and continue locally to Farseth.
Lahan,Siraha,"From Kathmandu, take a direct highway bus or private car to Lahan in Siraha District."
Govindpur Taregana,Siraha,"Travel by road from Kathmandu to Siraha, then continue locally to Govindpur Taregana."
Chure Mai Mandir,Saptari,Drive from Kathmandu to Siraha District and visit Chure Mai Mandir near Lahan.
Hardiya,Saptari,"From Kathmandu, travel to Lahan and continue locally to Hardiya village."
Kushaha,Saptari,Take a road trip from Kathmandu to Siraha and proceed locally to Kushaha area.
Pansera,Saptari,Drive from Kathmandu through Itahari and Lahan to reach Pansera village in Siraha District.
Khojpur,Saptari,"Travel from Kathmandu to Siraha District by highway bus, then continue locally to Khojpur."
Banarjhula,Saptari,"From Kathmandu, drive via Lahan to Siraha and reach Banarjhula village."
Malhanama,Saptari,"Take a long-distance bus from Kathmandu to Siraha, then proceed locally to Malhanama."
Haripur,Siraha,"From Kathmandu, travel to Siraha District and continue locally to Haripur settlement."
Tikuliya,Saptari,Drive from Kathmandu to Siraha and continue to Tikuliya near the southern plains.
Sakhuwanankarkatti,Saptari,"Travel from Kathmandu to Siraha by road, then continue to Sakhuwanankarkatti village."
Itarhawa,Saptari,"Drive from Kathmandu to Siraha, then proceed locally to Itarhawa."
Nahara Rigoul,Saptari,"From Kathmandu, take the East-West Highway to Siraha District, then continue to Nahara Rigoul."
Bhagwanpur,Siraha,"Drive from Kathmandu to Lahan, then continue locally to Bhagwanpur area."
Geruwaha,Saptari,Travel from Kathmandu to Siraha District and continue to Geruwaha village.
Sothiyan,Saptari,Drive from Kathmandu to Lahan and continue locally to Sothiyan.
Mauwahi,Saptari,"From Kathmandu, travel to Siraha District by road, then continue to Mauwahi village."
Mauwahi,Saptari,"Again, follow the same route from Kathmandu to Siraha and reach Mauwahi for continuity."
Kachanari,Siraha,"Drive from Kathmandu to Siraha via the East-West Highway, then continue to Kachanari village."
Navarajpur,Saptari,"From Kathmandu, travel by road to Siraha and continue locally to Navarajpur."
Majhaura,Saptari,Drive from Kathmandu to Siraha District and proceed to Majhaura settlement.
Kachanari,Siraha,Travel again from Kathmandu via Lahan to reach Kachanari for route continuity.
Khoksi,Siraha,"From Kathmandu, take the highway to Siraha or Saptari, then continue to Khoksi village."
Janakinagar,Siraha,Drive from Kathmandu to Siraha District and continue locally to Janakinagar village.
Bariyarpatti,Siraha,"From Kathmandu, travel by road via the East–West Highway to Siraha District, then continue locally to Bariyarpatti village."
Tenuwapatti,Saptari,Drive from Kathmandu to Siraha District and continue locally toward Tenuwapatti settlement.
Gadha,Saptari,"From Kathmandu, take a bus toward Dhanusha District via Janakpur, then continue locally to Gadha village."
Aurahi,Aurahi,"Travel from Kathmandu by road or flight to Janakpur, then continue locally to Aurahi village area."
Aurahi Minor Shrine,Aurahi,"From Kathmandu, reach Janakpur city and continue by local route to visit the small shrine located in Aurahi area."
Baba Haridwar Dham,Saptari,Travel from Kathmandu to Sarlahi District by road and continue locally to visit Baba Haridwar Dham temple.
Baba Taal,Saptari,"From Kathmandu, drive toward Sarlahi or Rautahat District and continue locally to reach Baba Taal lake area."
Barhathwa Heritage Street,Sarlahi,Take a road trip from Kathmandu to Sarlahi District via Lalbandi and continue to Barhathwa town to explore its heritage streets.
Bharat Lake,Sarlahi,"From Kathmandu, drive toward Sarlahi District and continue to reach Bharat Lake, a popular freshwater destination."
Birgunj Heritage Sites,Parsa,Travel from Kathmandu to Birgunj city by road or flight and explore the local heritage sites within the city area.
Chhath Ghat (Sunsari),Sunsari,Drive from Kathmandu toward Sunsari District via Itahari and continue locally to the riverbanks used for Chhath celebrations.
Chhinnamasta Riverbank Areas,Saptari,"From Kathmandu, travel to Saptari District and continue to the riverbanks near Chhinnamasta for scenic views."
Chhinnamasta Temple,Saptari,"From Kathmandu, take the East–West Highway to Saptari District and visit the famous Chhinnamasta Temple."
Chhireshwor Temple,Saptari,"Drive from Kathmandu to Dhanusha District via Janakpur, then continue locally to Chhireshwor Temple."
Chitwan–Parsa Elephant Corridor,Parsa,"From Kathmandu, drive or fly to Bharatpur, then continue toward Parsa National Park to visit the elephant corridor area."
Chure Hills (Eastern Belt),Sarlahi / Rautahat,Travel from Kathmandu through Hetauda and continue along the Chure range region in the eastern belt.
Dhanushadham (Dhanusha),Dhanusha,"From Kathmandu, drive to Janakpur or fly there, then continue 18 km east to Dhanushadham pilgrimage site."
Dhobi Tole (Janakpur),Dhanusha,"Travel from Kathmandu to Janakpur by road or flight, then visit Dhobi Tole near the Janaki Temple area."
Gadhi Mai Forest Area,Rautahat,Drive from Kathmandu to Bara District and continue locally to explore the Gadhi Mai forest region.
Gadhi Mai Temple (Bara),Bara,"From Kathmandu, take a road trip via Hetauda to Bara District and visit the Gadhi Mai Temple."
Gadhimai Mela Ground,Bara,Travel from Kathmandu to Bara District and visit the Gadhimai Mela Ground where the large fair is held every five years.
Gamhariya Village,Bara,"From Kathmandu, drive toward Rautahat District and continue locally to Gamhariya village."
Gaur,Rautahat,Drive from Kathmandu to Gaur via Chandranigahapur and Hetauda to reach the Rautahat District headquarters.
Gaur (Rautahat) Heritage Sites,Rautahat,"From Kathmandu, travel to Gaur town and explore its local temples and historical sites."
Gaurighat Temple,Rautahat,Travel from Kathmandu to Janakpur and continue locally to visit Gaurighat Temple in the Dhanusha region.
Hariharpur Village,Mahottari,Drive from Kathmandu toward Rautahat or Sarlahi District and continue locally to Hariharpur village.
Jagdamba Temple,Sarlahi,"From Kathmandu, travel to Rautahat District by road and visit Jagdamba Temple near Gaur area."
Jaleshwar Dham,Mahottari,"Drive or fly from Kathmandu to Janakpur, then continue 18 km south to Jaleshwar Dham temple site."
Jaleshwor Mahadev Temple,Mahottari,"From Kathmandu, travel to Mahottari District and visit the sacred Jaleshwor Mahadev Temple."
Janaki Temple Minor Complex,Dhanusha,Travel from Kathmandu to Janakpur city and explore smaller shrines within the Janaki Temple complex.
Janakpur Dham,Dhanusha,Take a flight or drive from Kathmandu to Janakpur to visit the famous Janaki Temple and cultural center.
Janakpur Ghats,Dhanusha,"From Kathmandu, travel to Janakpur and explore the sacred ghats around the Dhanush Sagar and Ganga Sagar ponds."
Kachorwa,Kachorwa,Drive from Kathmandu to Bara District via Hetauda and continue locally to Kachorwa village.
Kachorwa Tiny Ghat,Kachorwa,"From Kathmandu, travel toward Bara District and visit the small river ghat in Kachorwa area."
Kachorwa Village,Dhanusha,Travel from Kathmandu to Bara District and continue locally to Kachorwa village area.
Kailashnath Mahadev Statue,Bara,"From Kathmandu, drive to Sanga on the Kathmandu–Bhaktapur border to visit the Kailashnath Mahadev Statue."
Kalyanpur Ghat,Parsa,Drive from Kathmandu to Sarlahi District and continue locally to reach Kalyanpur Ghat.
Koshi Barrage,Saptari,"From Kathmandu, drive or fly to Biratnagar, then continue toward the Koshi Barrage site near the Sunsari–Saptari border."
Koshi Barrage Viewpoint,Saptari,Travel from Kathmandu to Sunsari and visit the Koshi Barrage Viewpoint for panoramic river views.
Lahan / Shambhunath Temple,Siraha,Drive from Kathmandu to Siraha District and continue locally to visit Shambhunath Temple near Lahan.
Laukaha Border Market,Siraha,"From Kathmandu, travel to Mahottari or Dhanusha and continue southward to reach Laukaha border market."
Local Homestays & Village Experiences,Aurahi/Kachorwa/Hariharpur,Travel from Kathmandu to various Madhesh villages such as Sarlahi or Dhanusha to stay in local homestays.
Local Seasonal Festivals (Remote Villages),Mahottari/Sarlahi,"From Kathmandu, reach the Madhesh plains and visit rural villages during Chhath or Holi festivals for cultural immersion."
Madhesh Museum & Cultural Center,Janakpur,"From Kathmandu, drive or fly to Janakpur and visit the Madhesh Museum & Cultural Center."
Minor Ghats & River Confluences,Saptari/Dhanusha,Travel from Kathmandu to the Tarai region and explore smaller ghats and river confluences in Saptari and Siraha.
Minor Heritage Sites,Sarlahi/Rautahat/Bara,"From Kathmandu, visit different towns in Bara, Rautahat, and Dhanusha to explore minor heritage and religious sites."
Minor Village Temples (Sarlahi/Bara/Rautahat),Sarlahi/Bara/Rautahat,"Drive from Kathmandu to Sarlahi, Bara, or Rautahat and explore small local temples in each district."
Mithila Art Sites,Dhanusha / Siraha,"From Kathmandu, visit Janakpur city to explore Mithila art centers and wall paintings."
Mithila Cultural Park,Dhanusha,Travel from Kathmandu to Janakpur and visit the Mithila Cultural Park dedicated to regional heritage.
Mithila Painting Workshop,Dhanusha,Drive or fly from Kathmandu to Janakpur and participate in a Mithila painting workshop conducted by local artists.
Parsa National Park,Parsa,"From Kathmandu, drive or fly to Birgunj and continue to Parsa National Park near Adhabhar."
Pipara (Historical Site),Mahottari,"Travel from Kathmandu to Bara District and continue locally to Pipara, known for its historical background."
Rajdevi Temple,Rautahat,"Drive from Kathmandu to Rajbiraj or Gaur and visit the Rajdevi Temple, a significant pilgrimage site."
Ram Janaki Temple,Mahottari,Travel from Kathmandu to Janakpur city and visit the Ram Janaki Temple within the main complex.
Raxaul / Bhitthamore Border,Bara / India Border,"From Kathmandu, drive to Birgunj or Janakpur and continue to reach Raxaul or Bhitthamore border points with India."
Raxaul Border / Bhitthamore Market,Mahottari,"Travel from Kathmandu to Birgunj and explore the Raxaul border market, or from Janakpur toward Bhitthamore trade area."
Sakhuwa Mahadev Temple,Saptari,Drive from Kathmandu to Sarlahi District and continue locally to visit Sakhuwa Mahadev Temple.
Salhesh Botanical Garden,Siraha,"From Kathmandu, travel to Siraha or Saptari District and visit the Salhesh Botanical Garden near Lahan."
Sarlahi,Sarlahi,"From Kathmandu, drive along the East–West Highway and reach Sarlahi District via Hetauda and Lalbandi."
Sarlahi Minor Cultural Site,Sarlahi,Travel from Kathmandu to Sarlahi District and continue locally to explore small cultural and heritage sites.
Shivala Temple,Siraha,"From Kathmandu, travel southeast along the East–West Highway via Bardibas and Janakpur to reach Shivala Temple in Dhanusha District."
Shivala Temple (Dhanusha),Dhanusha,"From Kathmandu, continue your journey through Dhalkebar to Dhanusha District and visit Shivala Temple located near Janakpur city."
Simraungadh,Bara,"From Kathmandu, drive towards Bara District through Birgunj and Kalaiya to reach the historical site of Simraungadh."
Sirsia Bird Sanctuary,Rautahat,"From Kathmandu, head south through Hetauda and Birgunj to reach the Sirsia area near the Indian border, where the bird sanctuary is located."
Small Wetlands & Ponds (Saptari/Dhanusha),Saptari/Dhanusha,"From Kathmandu, take the East–West Highway towards Lahan and Rajbiraj, where several small wetlands and ponds can be explored."
Tharu Villages,Udayapur/Sunsari,"From Kathmandu, travel south through Hetauda and Chitwan towards Parsa or Sarlahi Districts to visit Tharu settlements and experience their culture."
Tilathi Ghat,Saptari,"From Kathmandu, proceed via Bardibas and Lahan to Rajbiraj and continue to Tilathi Ghat along the Saptakoshi River."
Tilathi–Koilabas Border Village,Saptari/Siraha,"From Kathmandu, take the East–West Highway towards Dang District and travel further south to reach the Koilabas border region."
Tulsipur Cultural Center,Mahottari,"From Kathmandu, drive via Hetauda and Ghorahi to Tulsipur in Dang District to visit the Tulsipur Cultural Center."
Chhinnamasta Riverbank Areas,Saptari,"From Kathmandu, travel southeast to Saptari District via Bardibas and Rajbiraj to explore the riverbanks near Chhinnamasta Temple."
Tulsipur Cultural Center,Mahottari,"From Kathmandu, head west via Narayangarh and Ghorahi to reach Tulsipur Cultural Center again for cultural experiences."
Small Wetlands & Ponds (Saptari/Dhanusha),Saptari/Dhanusha,"From Kathmandu, continue along the East–West Highway towards Rajbiraj and Janakpur to visit local ponds and wetland ecosystems."
Birgunj Heritage Sites,Parsa,"From Kathmandu, travel south through Hetauda to reach Birgunj city, where heritage temples, old streets, and local bazaars can be explored."
Dhobi Tole / Cultural Street,Janakpur,"From Kathmandu, continue through Janakpur city to reach Dhobi Tole, known for its cultural and heritage activities."
Madhesh Museum & Cultural Center,Janakpur,"From Kathmandu, take the route via Bardibas to Janakpur and visit the Madhesh Museum & Cultural Center to learn about regional traditions."
Tharu Villages,Udayapur/Sunsari,"From Kathmandu, head to Chitwan or Bara through Hetauda to explore traditional Tharu communities and their cultural homes."
Sakhuwa Mahadev Temple,Saptari,"From Kathmandu, travel via Hetauda and Lalbandi towards Sarlahi District to visit the sacred Sakhuwa Mahadev Temple."
Salhesh Fulbari,Siraha,"From Kathmandu, drive towards Siraha District through Bardibas and Lahan to reach the famous Salhesh Fulbari pilgrimage site."
Bharat Lake,Sarlahi,"From Kathmandu, proceed along the East–West Highway to Sarlahi District and visit Bharat Lake near Madhesh Province."
Bariyarpur Historical Sites,Siraha,"From Kathmandu, head south through Hetauda and Kalaiya to reach Bariyarpur, known for its ancient temples and monuments."
Laukaha Border Market,Siraha,"From Kathmandu, drive east through Lahan and Siraha to reach the Laukaha border area, a busy cross-border trading point."
Kachorwa Tiny Ghat,Kachorwa,"From Kathmandu, take the East–West Highway to Bara District and continue to Kachorwa to reach the small river ghat."
Gamhariya Village,Bara,"From Kathmandu, travel south through Hetauda and Kalaiya to reach Gamhariya, a culturally rich village in Bara District."
Kalyanpur Ghat,Parsa,"From Kathmandu, proceed southeast through Bardibas and Janakpur to visit the riverside Kalyanpur Ghat in Dhanusha."
Rajdevi Temple,Rautahat,"From Kathmandu, drive through Hetauda and Kalaiya to Gaur in Rautahat District to visit the Rajdevi Temple."
Tilathi Ghat,Saptari,"From Kathmandu, travel via Bardibas and Lahan to Rajbiraj and continue to the riverside area of Tilathi Ghat."
Shivala Temple,Siraha,"From Kathmandu, head southeast through Dhalkebar to Dhanusha District and visit Shivala Temple near Janakpur."
Chure Hills (Eastern Belt),Sarlahi / Rautahat,"From Kathmandu, travel through Hetauda and Lalbandi towards the eastern section of the Chure range for hill views."
Tilathi–Koilabas Border Village,Saptari/Siraha,"From Kathmandu, travel westwards along the East–West Highway to Dang District and further south to the Koilabas border area."
Simraungadh,Bara,"From Kathmandu, head through Hetauda to Bara District and continue to the Simraungadh historical ruins."
Sarlahi Minor Cultural Site,Sarlahi,"From Kathmandu, drive southeast through Lalbandi to reach Sarlahi District and visit local cultural sites and shrines."
Dhanushadham (Dhanusha),Dhanusha,"From Kathmandu, take the East–West Highway via Bardibas to Janakpur and visit the famous Dhanushadham Temple."
Chinnamasta Bhagawati Temple,Saptari,"From Kathmandu, travel through Lahan to Saptari District to reach the Chinnamasta Bhagawati Temple near Rajbiraj."
Sarlahi,Sarlahi,"From Kathmandu, drive via Hetauda and Lalbandi to reach Sarlahi District, the heart of Madhesh’s agricultural region."
Laukaha Border Market (Siraha),Siraha,"From Kathmandu, proceed along the East–West Highway through Lahan to reach Laukaha, a popular trade hub on the border."
Tulsipur Cultural Center (Mahottari),Mahottari,"From Kathmandu, head via Bardibas to Jaleshwar in Mahottari District to reach the Tulsipur Cultural Center."
Sakhuwa Mahadev Temple (Sarlahi),Sarlahi,"From Kathmandu, drive southeast to Lalbandi and visit the holy Sakhuwa Mahadev Temple located in Sarlahi District."
Birgunj Heritage Sites (Parsa),Parsa,"From Kathmandu, travel via Hetauda and Pathlaiya to reach Birgunj, where heritage temples and old quarters can be explored."
Bardibas,Mahottari,"From Kathmandu, head southeast along the BP Highway to reach Bardibas, a key junction of Madhesh Province."
Laxminiya,Mahottari,"From Kathmandu, continue towards Janakpur through Dhalkebar and reach Laxminiya village in Dhanusha District."
Belgachhi,Dhanusha,"From Kathmandu, proceed to Biratnagar via Itahari and visit Belgachhi village area near the Koshi region."
Hathilet,Dhanusha,"From Kathmandu, drive via Bardibas and Janakpur to Hathilet, a well-known village in Mahottari District."
Dhalkebar,Dhanusha,"From Kathmandu, travel southeast via BP Highway to reach Dhalkebar, an important town connecting the East–West Highway."
Batauwa,Dhanusha,"From Kathmandu, continue along the highway through Lalbandi to reach Batauwa village in Sarlahi District."
Bharatpur,Parsa,"From Kathmandu, drive southwest through Mugling to reach Bharatpur city in Chitwan District."
Fulakaha,Parsa,"From Kathmandu, continue your journey via Janakpur and reach Fulakaha village area in Dhanusha District."
Birgunj,Parsa,"From Kathmandu, drive through Hetauda and Pathlaiya to reach Birgunj, a major commercial city on the Indian border."
Motisar,Parsa,"From Kathmandu, travel south via Hetauda and Kalaiya to reach Motisar village area in Bara District."
Bhatauda,Bara,"From Kathmandu, continue towards Rautahat through Kalaiya to reach Bhatauda."
Kalaiya,Bara,"From Kathmandu, drive via Hetauda and Pathlaiya to reach Kalaiya, the district headquarters of Bara."
Karaiya,Bara,"From Kathmandu, travel southeast through Hetauda and Birgunj to reach Karaiya village."
Maheshpur,Bara,"From Kathmandu, proceed via Hetauda to reach Maheshpur village in Bara District."
Dohari,Bara,"From Kathmandu, continue along the East–West Highway towards Sarlahi and visit Dohari village area."
Bhodaha,Bara,"From Kathmandu, travel southeast via Bardibas to reach Bhodaha in Mahottari District."
Haraiya,Bara,"From Kathmandu, head through Hetauda and Birgunj to reach Haraiya village in Parsa."
Kolhabi,Bara,"From Kathmandu, travel through Hetauda to reach Kolhabi, a developing town in Bara District."
Rangapur,Bara,"From Kathmandu, head southeast through Kalaiya and reach Rangapur in Rautahat District."
Chandrapur,Bara,"From Kathmandu, drive through Hetauda and reach Chandrapur, a growing municipality in Rautahat."
Paurai,Rautahat,"From Kathmandu, continue along the same highway past Chandrapur to reach Paurai village area."
Pahritol,Rautahat,"From Kathmandu, travel south through Kalaiya and reach Pahritol village in Bara District."
Sakhuwa Dhamaura,Rautahat,"From Kathmandu, drive southeast via Hetauda to reach Sakhuwa Dhamaura, known for its rural cultural charm."
Pratappur Paltuwa,Rautahat,"From Kathmandu, drive southeast along the East–West Highway via Hetauda and continue to reach Pratappur Paltuwa in Bara District."
Laxmipur Belbichawa,Rautahat,"Travel from Kathmandu along the East–West Highway to reach Belbichawa in Jhapa District, then continue locally to Laxmipur Belbichawa area."
Faparbadi,Rautahat,"From Kathmandu, drive via Hetauda and Birgunj to reach Faparbadi in Bara District."
Balchanpur,Rautahat,Travel from Kathmandu along the East–West Highway to Bara District and continue to Balchanpur village.
Nijgadh,Bara,"From Kathmandu, take the East–West Highway south via Hetauda to reach Nijgadh in Bara District, known for its airport and forested area."
Dhiyal,Bara,"From Kathmandu, drive via Hetauda and Birgunj to reach Dhiyal village area in Bara."
Kudawa,Bara,Travel from Kathmandu along the East–West Highway through Hetauda to reach Kudawa in Bara District.
Amarpatti,Parsa,"From Kathmandu, continue along the highway to Bara District and reach Amarpatti village area."
Pathera,Parsa,Travel from Kathmandu through Hetauda and Birgunj to reach Pathera village in Bara.
Mahendra Adarsha,Parsa,"From Kathmandu, take the East–West Highway to Bara District and visit Mahendra Adarsha settlement."
Saunaraniya,Parsa,"From Kathmandu, drive south via Hetauda to reach Saunaraniya village in Bara District."
Paterwa,Parsa,Travel from Kathmandu along the East–West Highway and continue to Paterwa village in Bara District.
Tedhakatti,Parsa,"From Kathmandu, take the highway south through Hetauda to reach Tedhakatti village in Bara."
Tengraha,Parsa,Travel from Kathmandu via the East–West Highway to Bara District and reach Tengraha village area.
Maryadpur,Parsa,"From Kathmandu, drive southeast via Hetauda to Bara District to reach Maryadpur village."
Katahariya,Rautahat,Travel from Kathmandu along the East–West Highway to Bara or Rautahat District to reach Katahariya settlement.
Dudhouli,Rautahat,"From Kathmandu, drive via Hetauda to Bara District and reach Dudhouli village."
Bagahi,Rautahat,Travel from Kathmandu along the East–West Highway and continue to Bagahi in Bara District.
Garuda,Rautahat,"From Kathmandu, drive via Hetauda to reach Garuda town in Bara District."
Dharampur,Rautahat,Travel from Kathmandu south via Hetauda and Birgunj to reach Dharampur village in Bara District.
Sangrampur,Rautahat,"From Kathmandu, take the East–West Highway to reach Sangrampur village in Bara District."
Bahuwa Madanpur,Rautahat,Travel from Kathmandu along the highway to reach Bahuwa Madanpur in Bara District.
Umarjan,Rautahat,"From Kathmandu, drive southwest toward Lalitpur and reach Umarjan village area."
Rampurwa,Rautahat,Travel from Kathmandu via the East–West Highway to reach Rampurwa village in Bara District.
Laxminiya,Rautahat,"From Kathmandu, drive southeast to Dhanusha District and reach Laxminiya village."
Kanakpur,Rautahat,"From Kathmandu, take the highway via Hetauda to Bara District to reach Kanakpur village."
Chandrapur,Rautahat,Travel from Kathmandu along the East–West Highway to reach Chandrapur municipality in Rautahat District.
Lokaha,Rautahat,"From Kathmandu, drive southeast via Hetauda and Kalaiya to reach Lokaha village area in Bara."
Nuwakot Micro Lake,Nuwakot,"From Kathmandu, drive northwest toward Nuwakot District and reach a small micro lake near Nuwakot town."
Kaleshwor Mahadev Temple,Dhading,"From Kathmandu, drive northeast to Sindhupalchok District to reach Kaleshwor Mahadev Temple."
Bhimeshwor Temple,Dolakha,"From Kathmandu, travel northeast via Banepa to Dolakha District to reach Bhimeshwor Temple."
Rasuwagadhi Fort,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar and Dhunche to reach Rasuwagadhi Fort on the Nepal-Tibet border."
Balthali Village,Kavrepalanchok,"From Kathmandu, travel east via Bhaktapur and Panauti to reach Balthali village in Kavrepalanchok District."
Bajrabarahi Temple,Lalitpur (Chapagaun),"From Kathmandu, drive south via Kulekhani and Chapagaun to reach Bajrabarahi Temple in Lalitpur District."
Langtang Valley,Rasuwa,"From Kathmandu, drive north via Sundarijal and Syabrubesi to enter Langtang Valley in Rasuwa District."
Phulchoki Viewpoints,Lalitpur,"From Kathmandu, drive south via Godavari and Chapagaun to reach Phulchoki Hill viewpoints in Lalitpur District."
Lele Village,Lalitpur,"From Kathmandu, travel south via Godavari and Chapagaun to reach Lele Village near Patan."
Chisapani,Nuwakot,"From Kathmandu, drive north via Sundarijal or Budhanilkantha to Chisapani in Shivapuri National Park."
Gosaikunda Lesser Spots,Rasuwa,"From Kathmandu, drive north via Dhunche and Singati to reach small lakes near Gosaikunda in Rasuwa District."
Paldor Peak Base Camp,Rasuwa,"From Kathmandu, drive north toward Langtang Valley to reach the base camp for Paldor Peak."
Ganga Jamuna Waterfall,Dhading,"From Kathmandu, travel northeast via Kavrepalanchok and Roshi area to reach Ganga Jamuna Waterfall."
Sailung,Dolakha,"From Kathmandu, drive southeast via Hetauda and Sindhuli District to reach Sailung Plateau."
Kamalamai Temple,Sindhuli,"From Kathmandu, drive southeast via Sindhuli Bazaar to visit Kamalamai Temple."
Ayurvedic Spas (Kathmandu),Kathmandu,"Within Kathmandu, visit local Ayurvedic spas in Thamel, Lazimpat, or Patan."
Yoga & Meditation Retreats (Nagarkot/Dhulikhel),Bhaktapur/Kavrepalanchok,"From Kathmandu, drive east to Nagarkot or Dhulikhel for yoga and meditation retreats with Himalayan views."
Garden of Dreams,Kathmandu,"Within Kathmandu, visit Garden of Dreams in Kaiser Mahal, Thamel."
Ruby Valley,Dhading,"From Kathmandu, drive east to Kavrepalanchok District to reach Ruby Valley."
Nagarkot,Bhaktapur,"From Kathmandu, drive east to Nagarkot for panoramic Himalayan views."
Changu Narayan Temple,Bhaktapur,"From Kathmandu, drive northeast via Bhaktapur to visit Changu Narayan Temple."
Bagh Bhairab Temple,Kathmandu,"From Kathmandu, drive northeast via Bhaktapur to reach Bagh Bhairab Temple."
Patan Durbar Square,Lalitpur,"Within Kathmandu Valley, drive south to Patan city to explore Patan Durbar Square."
Kathmandu Durbar Square,Kathmandu,"Within Kathmandu, visit the central Kathmandu Durbar Square."
Namo Buddha Monastery,Kavrepalanchok,"From Kathmandu, drive southeast via Banepa to reach Namo Buddha Monastery in Kavrepalanchok District."
Dakshinkali Temple,Kathmandu,"From Kathmandu, drive south to Dakshinkali Temple near Kulekhani."
Kulekhani Dam & Reservoir,Makwanpur,"From Kathmandu, drive south to Kulekhani to visit the dam and reservoir."
Local Hilltop Viewpoints (Chapagaun/Lalitpur),Lalitpur,"From Kathmandu, drive south to Chapagaun and surrounding Lalitpur hills for local viewpoints."
Dhulikhel Viewpoint,Kavrepalanchok,"From Kathmandu, drive east to Dhulikhel for panoramic views of the Himalayas."
Shivapuri Nagarjun National Park,Kathmandu,"From Kathmandu, drive north to reach entry points of Shivapuri Nagarjun National Park."
Panauti,Kavrepalanchok,"From Kathmandu, drive east via Banepa to reach Panauti town."
Bhaktapur Durbar Square,Bhaktapur,"From Kathmandu, drive northeast to Bhaktapur city to explore Bhaktapur Durbar Square."
