ID,Location,Total Reviews,Review
390,Laukaha Border Market,700,Laukaha Border Market – Busy Indo-Nepal border market fostering local trade.
391,Kachorwa Tiny Ghat,500,Kachorwa Tiny Ghat – Small riverside site used for local rituals.
392,Gamhariya Village,400,Gamhariya Village – Quiet farming community with strong cultural roots.
393,Kalyanpur Ghat,450,Kalyanpur Ghat – Peaceful riverside spot for Hindu rituals and bathing.
394,Rajdevi Temple,650,Rajdevi Temple – Important temple dedicated to Goddess Rajdevi in Gaur.
395,Tilathi Ghat,900,Tilathi Ghat – Prominent riverside site for religious ceremonies.
396,Shivala Temple,875,Shivala Temple – Historic Shiva temple symbolizing faith and devotion.
397,Chure Hills (Eastern Belt),123,Chure Hills (Eastern Belt) – Foothill zone rich in forests and scenic drives.
398,Tilathi–Koilabas Border Village,258,Tilathi–Koilabas Border Village – Border village highlighting cross-cultural exchanges.
399,Simraungadh,159,Simraungadh – Ancient city ruins reflecting the glory of medieval Mithila.
400,Sarlahi Minor Cultural Site,357,Sarlahi Minor Cultural Site – Small but significant heritage or temple location.
401,Dhanushadham (Dhanusha),654,Dhanushadham (Dhanusha) – Famous Ramayana-linked pilgrimage site.
402,Chinnamasta Bhagawati Temple,321,Chinnamasta Bhagawati Temple – Powerful temple dedicated to Goddess Chhinnamasta.
403,Sarlahi,987,Sarlahi – Fertile district known for agriculture and cultural diversity.
404,Laukaha Border Market (Siraha),654,Laukaha Border Market (Siraha) – Key trade hub between Nepal and India.
405,Tulsipur Cultural Center (Mahottari),125,Tulsipur Cultural Center (Mahottari) – Local center promoting regional arts and heritage.
406,Sakhuwa Mahadev Temple (Sarlahi),136,Sakhuwa Mahadev Temple (Sarlahi) – Sacred Shiva shrine and regional pilgrimage point.
407,Birgunj Heritage Sites (Parsa),652,Birgunj Heritage Sites (Parsa) – Cultural and historical landmarks of the Parsa district.
408,Bardibas,250,Bardibas – Growing commercial town connecting Terai and hill regions.
409,Laxminiya,350,Laxminiya – Peaceful village known for traditional Madhesi life.
410,Belgachhi,330,Belgachhi – Agricultural village surrounded by paddy fields.
411,Hathilet,700,Hathilet – Typical Terai settlement with simple lifestyle.
412,Dhalkebar,750,Dhalkebar – Important transport hub linking highways and trade routes.
413,Batauwa,1000,Batauwa – Calm farming village with a rural charm.
414,Bharatpur,980,Bharatpur – Modern city gateway to Chitwan National Park.
415,Fulakaha,900,Fulakaha – Village area with natural and cultural beauty.
416,Birgunj,500,Industrial and trading capital of southern Nepal.
417,Motisar,600,Small community reflecting rural traditions.
418,Bhatauda,369,Agricultural area with scenic surroundings.
419,Kalaiya,700,Bustling town and administrative center of Bara.
420,Karaiya,500,Local village with cultural and farming roots.
421,Maheshpur,400,Peaceful agricultural village.
422,Dohari,450,Small settlement with authentic Terai life.
423,Bhodaha,650,Rural area known for cultural diversity.
424,Haraiya,900,Friendly village with farmlands and simple lifestyle.
425,Kolhabi,875,Developing town with growing markets.
426,Rangapur,123,Quiet community known for local fairs.
427,Chandrapur,258,Major municipality with cultural and natural appeal.
428,Paurai,159,Peaceful settlement with a rural backdrop.
429,Pahritol,357,Small village reflecting traditional Madhesi architecture.
430,Sakhuwa Dhamaura,654,Rural village surrounded by fertile land.
431,Pratappur Paltuwa,321,Calm settlement known for its simplicity.
432,Laxmipur Belbichawa,987,Agricultural community with local traditions.
433,Faparbadi,654,Village offering glimpses of authentic Terai life.
434,Balchanpur,125,"Quiet, green farming village."
435,Nijgadh,136,Gateway town to the proposed international airport.
436,Dhiyal,652,Scenic village near the Chure range.
437,Kudawa,250,Simple rural area with paddy fields.
438,Amarpatti,350,Vibrant local community in the Terai plains.
439,Pathera,330,Peaceful agricultural area with cultural heritage.
440,Mahendra Adarsha,700,Educational and administrative locality.
441,Saunaraniya,750,Calm village with traditional values.
442,Paterwa,1000,Farming settlement near trade routes.
443,Tedhakatti,980,Agricultural village with friendly residents.
444,Tengraha,900,Quiet countryside area rich in greenery.
445,Maryadpur,500,Peaceful village known for local farming.
446,Katahariya,600,Busy market town and municipal hub.
447,Dudhouli,369,Small hilly town known for natural scenery.
448,Bagahi,700,Rural community known for simplicity.
449,Garuda,500,Thriving business town in Rautahat district.
450,Dharampur,400,Agricultural village with vibrant community life.
451,Sangrampur,450,Peaceful settlement with local markets.
452,Bahuwa Madanpur,650,Culturally active rural area.
453,Umarjan,900,Serene village surrounded by paddy fields.
454,Rampurwa,875,Quiet farming area reflecting Terai lifestyle.
455,Laxminiya,123,Friendly agricultural settlement.
456,Kanakpur,258,Local town known for agriculture and trade.
457,Chandrapur,159,Developing city with cultural diversity.
458,Lokaha,357,Calm rural village near forested regions.
459,Nuwakot Micro Lake,654,Small scenic lake surrounded by hills.
460,Kaleshwor Mahadev Temple,321,Sacred hilltop temple dedicated to Lord Shiva.
461,Bhimeshwor Temple,987,Historic temple known for religious importance.
462,Rasuwagadhi Fort,654,Ancient border fort symbolizing Nepalese history.
463,Balthali Village,125,Tranquil hill village offering beautiful landscapes.
464,Bajrabarahi Temple,136,Sacred temple nestled within lush forests.
465,Langtang Valley,652,Stunning Himalayan valley famous for trekking.
466,Phulchoki Viewpoints,250,Highest hill near Kathmandu with panoramic views.
467,Lele Village,350,Traditional Newar village surrounded by green fields.
468,Chisapani,330,Popular trekking stop offering sunrise and mountain vistas.
469,Gosaikunda Lesser Spots,700,Remote holy lakes and serene trekking paths.
470,Paldor Peak Base Camp,750,Base for trekking adventures with breathtaking mountain views.
471,Ganga Jamuna Waterfall,1000,"Stunning waterfall nestled in serene hills, perfect for nature lovers."
472,Sailung,980,Peaceful hilltop offering panoramic mountain and valley views.
473,Kamalamai Temple,900,Revered religious site attracting devotees from surrounding regions.
474,Ayurvedic Spas (Kathmandu),500,Relaxing wellness centers offering traditional treatments.
475,Yoga & Meditation Retreats (Nagarkot/Dhulikhel),600,Calm locations ideal for mindfulness and spiritual rejuvenation.
476,Garden of Dreams,369,Beautiful historical garden in Kathmandu with colonial charm.
477,Ruby Valley,700,Scenic valley with tranquil rivers and forested surroundings.
478,Nagarkot,500,Famous hill station offering sunrise views over the Himalayas.
479,Changu Narayan Temple,400,Ancient UNESCO World Heritage temple with exquisite architecture.
480,Bagh Bhairab Temple,450,Iconic local temple known for festivals and religious significance.
481,Patan Durbar Square,650,Historic square showcasing Newar architecture and cultural heritage.
482,Kathmandu Durbar Square,900,"Central hub of Kathmandu with palaces, temples, and history."
483,Namo Buddha Monastery,875,Peaceful Buddhist monastery set amidst beautiful hills.
484,Dakshinkali Temple,123,"Popular temple dedicated to Goddess Kali, known for animal rituals."
485,Kulekhani Dam & Reservoir,258,Scenic dam offering boating and birdwatching opportunities.
486,Local Hilltop Viewpoints (Chapagaun/Lalitpur),159,Quiet spots for panoramic views of Kathmandu Valley.
487,Dhulikhel Viewpoint,357,Popular viewpoint with Himalayan vistas and serene surroundings.
488,Shivapuri Nagarjun National Park,654,Biodiverse park ideal for trekking and wildlife spotting.
489,Panauti,321,Historical town known for temples and riverside heritage.
490,Bhaktapur Durbar Square,987,UNESCO World Heritage site with rich medieval architecture.
491,Kirtipur,654,Traditional town with cobbled streets and historic temples.
492,Sangachok Village,125,Village known for scenic beauty and cultural charm.
493,Nagadesh Temple,136,Local temple set amidst a peaceful rural backdrop.
494,Sankhu,652,Ancient town with historic temples and Newar culture.
495,Khokana,250,Heritage village famous for traditional architecture and mustard oil production.
496,Mahankal Temple,350,Historic temple perched on a hilltop with panoramic views.
497,Chandeshwori Temple,330,"Revered temple attracting devotees, especially during festivals."
498,Balkumari Temple,700,Iconic temple known for religious events and local traditions.
499,Sindhuligadhi,750,Historic fort with panoramic hill views and cultural significance.
500,Manakamana Temple,1000,"Famous temple accessed by cable car, known for wish fulfillment."
501,Netra Lake,980,Serene lake ideal for relaxation and scenic photography.
502,Tau Daha,900,Peaceful small lake surrounded by natural greenery.
503,Bungamati,500,Traditional Newar village known for woodcarving and culture.
504,Gosaikunda Lake,600,Sacred alpine lake and popular trekking destination.
505,Daman,369,Hill station offering Himalayan views and a calm getaway.
506,Phulchowki,700,"Highest hill near Kathmandu, famous for trekking and birdwatching."
507,Dhulikhel,500,Town with rich culture and spectacular mountain viewpoints.
508,Chandragiri Hills,400,Scenic hill area with cable car access and Himalayan panoramas.
509,Chhahare Waterfall,450,Refreshing waterfall set amidst lush greenery.
510,Indrasarovar Lake,650,Beautiful lake ideal for boating and photography.
511,Pashupatinath Temple,900,Iconic Hindu temple and UNESCO World Heritage site.
512,Chitwan National Park,875,"Famous wildlife reserve home to rhinos, tigers, and elephants."
513,Dhading Hidden Village Trail,123,Scenic trekking route with authentic rural villages.
514,Boudhanath Stupa,258,Massive Buddhist stupa and spiritual center of Kathmandu.
515,Swayambhunath Stupa (Monkey Temple),159,Ancient hilltop stupa with panoramic valley views.
516,Pharping,357,Spiritual site with Buddhist monasteries and meditation centers.
517,Nuwakot Palace,654,Historic palace offering insights into Nepalese architecture.
518,Siddhi Ganesh Temple,321,"Iconic temple dedicated to Lord Ganesh, rich in local devotion."
519,Seto Machhendranath Temple,987,Famous temple in Patan celebrating traditional festivals.
520,Thimi,654,Heritage town known for pottery and traditional Newar lifestyle.
521,Rolwaling Valley,125,Remote Himalayan valley offering trekking and stunning scenery.
522,Kalinchowk Bhagwati,136,Famous hilltop temple with Himalayan vistas.
523,Nagarkot Viewpoint,652,Classic spot for sunrise and panoramic Himalayan views.
524,Langtang Valley Upper Trek,250,Scenic trekking route with mountain vistas and glaciers.
525,Lalitpur Tiny Temple,350,Small heritage temple showcasing Newar architecture.
526,Langtang Upper Trek,330,Trekking route leading to alpine landscapes and remote villages.
527,Rasuwa,700,Himalayan border district with trekking trails and cultural sites.
528,Kathmandu,750,"Capital city blending history, culture, and urban life."
529,Chitwan,1000,"Town adjacent to Chitwan National Park, gateway for wildlife tourism."
530,Lalitpur / Chapagaun,980,Suburban areas with traditional culture and hill views.
531,Nuwakot,900,Historic town with ancient palace and scenic hilltop views.
532,Dhading,500,District with beautiful trekking trails and rural villages.
533,Patan,600,Cultural city famous for Durbar Square and Newar architecture.
534,Bhrikutimandap,369,Hill area offering panoramic views of Kathmandu Valley.
535,Thamel,700,"Bustling tourist hub with shops, restaurants, and nightlife."
536,Bagh Bhairab Temple,500,Iconic temple with historic and cultural significance.
537,Balkumari Temple,400,Important temple in Lalitpur attracting devotees during festivals.
538,Balthali Village,450,Peaceful village with trekking opportunities and scenic landscapes.
539,Bhimeshwor Temple,650,Revered Hindu temple in the Kathmandu Valley.
540,Chandeshwori Temple,900,Popular temple attracting local devotees in Banepa.
541,Changu Narayan Lesser Shrines,875,Small sacred sites around the main Changu Narayan Temple.
542,Chhahare Waterfall,123,Refreshing waterfall set amidst lush forest.
543,Chisapani,258,Hilltop trekking stop with panoramic mountain views.
544,Chitwan National Park,159,"Famous wildlife park with rhinos, tigers, and birdwatching."
545,Dakshinkali Temple,357,Revered temple dedicated to Goddess Kali near Kathmandu.
546,Dhading Hidden Village Trail,654,Trekking route through authentic rural Himalayan villages.
547,Dhulikhel,321,Hill town offering stunning views of the Himalayas and cultural experiences.
548,Dhulikhel Viewpoint,987,Scenic spot for sunrise and mountain vistas.
549,Gosaikunda Lesser Spots,654,Smaller lakes and holy sites around Gosaikunda Lake.
550,Kaleshwor Mahadev Temple,125,Historic temple perched in scenic hilltop location.
551,Kalinchowk Bhagwati,136,Famous hilltop temple with Himalayan panorama.
552,Kamalamai Temple,652,Revered religious site in Makwanpur attracting pilgrims.
553,Kathmandu,250,"Capital city blending history, culture, and vibrant urban life."
554,Kulekhani Dam & Reservoir,350,Scenic water body ideal for boating and birdwatching.
555,Langtang Upper Trek,330,Trekking route offering alpine landscapes and remote villages.
556,Lele Village,700,Traditional Newar village with agricultural charm.
557,Local Hilltop Viewpoints (Chapagaun/Lalitpur),750,Quiet spots for panoramic Kathmandu Valley views.
558,Mahankal Temple,1000,Historic hilltop temple with religious significance.
559,Nagadesh Temple,980,Local temple set amidst serene rural surroundings.
560,Nagarkot Viewpoint,900,Famous viewpoint offering Himalayan sunrise views.
561,Netra Lake,500,Peaceful lake perfect for relaxation and photography.
562,Pharping,600,Spiritual area with Buddhist monasteries and meditation centers.
563,Rasuwa,369,Himalayan border district with trekking trails and cultural sites.
564,Rasuwagadhi Fort,700,Historic fort at the Nepal-China border with scenic views.
565,Rolwaling Valley,500,Remote Himalayan valley ideal for trekking and adventure.
566,Sangachok Village,400,Traditional village with scenic surroundings and cultural charm.
567,Sankhu,450,Ancient Newar town with historic temples and cobbled streets.
568,Seto Machhendranath Temple,650,Major temple in Patan associated with local festivals.
569,Shivapuri Nagarjun National Park,900,"Biodiverse park ideal for trekking, wildlife, and nature walks."
570,Siddhi Ganesh Temple,875,Revered temple dedicated to Lord Ganesh in Kathmandu Valley.
571,Sindhuligadhi,123,Historic fort with panoramic views of surrounding hills.
572,Thimi,258,Heritage town known for pottery and traditional Newar lifestyle.
573,Bharatpur,159,Gateway city to Chitwan National Park and wildlife tours.
574,Jayamangala (Ratnanagar area),357,Local town with community markets and rural charm.
575,Krishna Pranami Temple,654,Spiritual temple dedicated to Lord Krishna with active worship.
576,Panchakanya Mandir,321,Religious site attracting devotees from surrounding villages.
577,Chisapani Mandir,987,Small hilltop temple popular with trekkers and locals.
578,Ratnanagar,654,"Town in Chitwan District, known for agriculture and local trade."
579,Khairahani,125,Peaceful town surrounded by farmland in Chitwan District.
580,Korak,136,Rural village with natural scenery and traditional lifestyle.
581,Bandipur,652,Scenic hilltop town with preserved Newari architecture and Himalayan views.
582,Nilkantha,250,Town in Dhading offering cultural experiences and river views.
583,Dhuwakot,350,Small village with serene surroundings and trekking access.
584,Deurali Danda,330,Hilltop area perfect for sunrise and mountain panoramas.
585,Vagerachuli,700,Rural area with natural beauty and traditional lifestyle.
586,Semjong,750,Quiet village ideal for experiencing rural Nepal.
587,Barsunchet,1000,Small settlement with scenic landscapes and farming culture.
588,Bungtang,980,Peaceful Himalayan village known for trekking and remote beauty.
589,Deurali,900,Remote mountain settlement offering Himalayan views.
590,Tupche,500,Traditional village with trekking access and serene landscapes.
591,Chappthoke,600,Small rural village with serene landscapes and traditional lifestyle.
592,Pokhari Gaun,369,Scenic village centered around a peaceful pond.
593,Champani Gaun,700,Hilltop settlement with panoramic mountain and valley views.
594,Yarsa,500,Remote village known for natural beauty and local culture.
595,Urleni (Helambu area),400,"Charming village in Helambu, ideal for trekking and cultural experiences."
596,Shikharbesi (Nuwakot),450,Gateway village for hiking trails and Himalayan vistas.
597,Ghyangphedi,650,Peaceful rural community with traditional farming practices.
598,Helambu,900,Popular trekking region with stunning scenery and Sherpa villages.
599,Bhotang,875,Traditional hill village offering cultural authenticity and scenic views.
600,Pachpokhari,123,Village famous for its five sacred ponds and religious significance.
601,Phurbi Chyachu,258,Himalayan settlement ideal for trekking and local culture immersion.
602,Tatopani (Sindhupalchok),159,Hot spring destination and scenic riverside village.
603,Kodari,357,Border town connecting Nepal to Tibet with cultural and trade significance.
604,Phulpingkatti,654,Remote village with pristine natural surroundings.
605,Bigu,321,High-altitude settlement in Helambu offering trekking and local hospitality.
606,Singati,987,Rural town in Ramechhap with access to trekking routes.
607,Suri,654,Quiet village with traditional lifestyles and farming.
608,Jhyaku,125,Small settlement known for its natural scenery.
609,Gorpang,136,Himalayan village offering serene landscapes and trekking access.
610,Lamidada,652,Peaceful village with scenic views of surrounding hills.
611,Jiri,250,Famous starting point for Everest treks with historical significance.
612,Rasnalu,350,Traditional village in Ramechhap with agricultural roots.
613,Gupteshwor (Ramechhap),330,Sacred site featuring temples and local pilgrimage.
614,Ramechhap (HQ),700,Administrative center with markets and local culture.
615,Rampur (Ramechhap),750,Scenic town along trade routes with rural charm.
616,Himganga,1000,Mountain settlement ideal for trekking and adventure activities.
617,Melamchi,980,River town known for water projects and Himalayan scenery.
618,Sipalkavre,900,Village surrounded by hills with a peaceful ambiance.
619,Chhiku,500,Remote settlement with trekking access and natural beauty.
620,Sindurche,600,Rural community with authentic mountain lifestyle.
621,Gunsakot,369,Scenic hilltop village with panoramic Himalayan views.
622,Golche,700,Remote settlement known for peaceful landscapes.
623,Pangtang,500,Traditional mountain village ideal for trekking experiences.
624,Nampha,400,Quiet village offering serene natural surroundings.
625,Budhanilkantha,450,Famous for the reclining Vishnu statue and religious significance.
626,Gokarneshwor,650,Sacred area with temples and spiritual landmarks.
627,Bajrayogini Temple,900,Important pilgrimage site in the hills near Kathmandu.
628,Sundarijal Waterfall,875,Scenic waterfall and popular trekking starting point.
629,Salinadi Temple,123,Local temple revered by nearby communities.
630,Banepa,258,"Historical town with temples, markets, and cultural heritage."
631,Dhulikhel,159,Hill town offering Himalayan views and traditional culture.
632,Namobuddha,357,Peaceful Buddhist monastery with scenic surroundings.
633,Dapcha Chhatrebangh,654,Small village known for traditional Newar culture.
634,Panchkhal,321,Valley town with agricultural landscapes and scenic beauty.
635,Dolalghat,987,"Town along the Sun Koshi River, popular for rafting and hiking."
636,Phalate (Bhumlu),654,Quiet village with natural charm and rural lifestyle.
637,Bhumlutar,125,Scenic village in Bhumlu valley with farmland views.
638,Saping,136,Village in Kavre with traditional farming and cultural life.
639,Kalika (Kavre),652,Sacred temple site amidst scenic hill landscapes.
640,Sunkhani,250,Rural village known for agricultural practices and peaceful surroundings.
641,Timure,350,"Himalayan border village near Tibet, starting point for trekking."
642,Chitlang,330,Traditional Newar village with historical and cultural significance.
643,Markhu,700,Small hill village ideal for nature walks and local culture.
644,Fakhel,750,Rural settlement with scenic mountain views.
645,Dakshinkali,1000,Famous temple dedicated to Goddess Kali near Kathmandu.
646,Bungamati,980,Heritage Newar village known for woodcarving and temples.
647,Chhampi,900,Small village offering tranquility and rural charm.
648,Tahakhel,500,Remote settlement with natural beauty and traditional life.
649,Maneshwor Mahadev Temple,600,Hilltop temple with religious significance.
650,Dandagaun,369,Scenic village with mountain views and farming communities.
651,Badikhel,700,Rural Newar village known for traditions and culture.
652,Godawari,500,"Area with botanical gardens, temples, and serene surroundings."
653,Chapakharka,400,"Peaceful settlement in the hills, ideal for trekking."
654,Ryale,450,Quiet village with scenic landscapes.
655,Mahendrajyoti,650,Rural area with panoramic views of surrounding hills.
656,Ugratara Janagal,900,Sacred site known for local worship practices.
657,Nala Ugrachandi,875,Village with temples and cultural significance.
658,Devitar,123,Religious site and peaceful rural settlement.
659,Nakhipot,258,Suburban area with cultural heritage and natural surroundings.
660,Madhyapur Thimi,159,Historic Newar town known for pottery and culture.
661,Mulpani,357,Village with access to hills and trekking routes.
662,Nayapati,654,Quiet village with agricultural landscapes.
663,Aalapot,321,Small hill settlement with serene environment.
664,Mulkharka,987,Remote village offering mountain views and tranquility.
665,Dhunche,654,"Gateway town to Langtang National Park, trekking hub."
666,Bharkhu,125,Rural mountain village with traditional lifestyle.
667,Chandanbari,136,Scenic hill settlement with peaceful surroundings.
668,Mukharka,652,Traditional village nestled in the hills.
669,Sherpagaon,250,Sherpa village offering Himalayan trekking experiences.
670,Khangjim,350,Small rural settlement with panoramic hill views.
671,Bhalche,330,Village in Kavre known for farming and scenic beauty.
672,Fikuri,700,Quiet mountain village with authentic rural life.
673,Archale,750,Traditional village surrounded by hills and farmland.
674,Laharepauwa,1000,Hilltop settlement offering trekking access and scenic views.
675,Kumpur,980,Rural village with peaceful natural surroundings.
676,Adamtar,900,Small village with serene environment and agriculture.
677,Belinitar,500,Quiet rural settlement in Kavre district.
678,Bhutiya,600,Mountain village offering trekking opportunities and natural beauty.
679,Taruka,369,Historic village with temples and cultural significance.
680,Gorsyang,700,Remote hill village with scenic landscapes.
681,Charghare,500,Small settlement with traditional farming lifestyle.
682,Gerkhu,400,Peaceful mountain village with panoramic views.
683,Haldekalika,450,Hilltop temple site with surrounding natural beauty.
684,Hiramanitar,650,Remote village with serene surroundings and farmland.
685,Ramche,900,Rural settlement with trekking access and mountain vistas.
686,Thuman,875,Small village in Kavre with agricultural charm.
687,Rasua,123,Mountain border area known for trekking routes.
688,Rasuwagadhi,258,Historic fort at the Nepal-China border with scenic views.
689,Chilime,159,Small settlement known for hydroelectric projects and river scenery.
690,Saramthali,357,Quiet rural village with natural surroundings and traditional lifestyle.
691,Doglang,654,Remote village with serene Himalayan landscapes and trekking access.
692,Old Langtang Village,321,"Historic village rebuilt after the earthquake, with stunning mountain views."
693,Tsangbu Ri,987,Mountain peak offering challenging trekking and panoramic vistas.
694,Raksirang,654,Rural village with peaceful landscapes and traditional farming.
695,Bharta Pundyadevi,125,Scenic village surrounded by hills and forested areas.
696,Gogane,136,Hilltop village known for panoramic views and local culture.
697,Agara,652,Quiet settlement with authentic rural lifestyle.
698,Tasarpu,250,Village offering serene natural surroundings and trekking opportunities.
699,Kewalpur,350,Small community with agricultural focus and calm environment.
700,Jeewanpur,330,Rural village with scenic surroundings and local traditions.
701,Chhatre Deurali,700,Hill settlement providing trekking access and Himalayan views.
702,Mudkhu,750,Remote village with picturesque landscapes and peaceful ambiance.
703,Okharpauwa,1000,Traditional village known for agriculture and mountain views.
704,Kakani,980,Popular hill station offering panoramic Himalayan vistas.
705,Bhadratar,900,Scenic village with serene hills and forests nearby.
706,Kharanitar,500,Rural settlement with panoramic views and natural beauty.
707,Likhu (generic),600,Village along the Likhu River valley with scenic surroundings.
708,Talakhu,369,Peaceful village with local temples and mountain views.
709,Gajuri,700,Town with agricultural lands and access to surrounding hills.
710,Chuwabote Gaun,500,Quiet hill village with scenic landscapes.
711,Jyamrung,400,Village known for riverside scenery and peaceful environment.
712,Katunge,450,Small settlement offering traditional Himalayan culture.
713,Gokarneshwor Temple,650,Famous religious site near Kathmandu with spiritual significance.
714,Tripureswor,900,Historic temple complex in Kathmandu with cultural importance.
715,Salyankot,875,Hilltop area offering trekking routes and panoramic views.
716,Mahavir,123,Village with religious significance and scenic surroundings.
717,Vharse Pokhari,258,Serene pond area in a rural setting.
718,Gangajamuna,159,Scenic waterfall and river area in the hills.
719,Gumdi,357,Peaceful rural settlement with natural surroundings.
720,Khaniyanbas,654,Small village offering calm rural life and farmland views.
721,Satyadevi Mandir,321,Hilltop temple attracting local devotees.
722,Kintang,987,Village with agricultural lands and panoramic views.
723,Salme,654,Remote settlement with natural surroundings and tranquility.
724,Bhalche,125,Hilltop village offering peaceful landscapes.
725,Kaule,136,Rural village with traditional lifestyle and farming.
726,Fikuri,652,Scenic settlement with panoramic mountain views.
727,Jibjibe,250,Small village surrounded by hills and farmland.
728,Bhorle,350,Peaceful rural area with agricultural lands.
729,Jharlang,330,Village with access to trekking and natural landscapes.
730,Hetauda,700,Industrial city surrounded by hills and rivers.
731,Sukaura,750,Quiet village in the hills with serene surroundings.
732,Lattaramveshwar Mahadev Temple,1000,Hilltop temple dedicated to Lord Shiva.
733,Ichankhu Narayan,980,Historical temple complex near Kathmandu Valley.
734,Harnamadi,900,Small village with peaceful natural surroundings.
735,Shreepur Chhatiwan,500,Rural settlement with agricultural landscape.
736,Gundu,600,Suburban area near Kathmandu with cultural and natural attractions.
737,Manthali,369,District headquarters with town facilities and rural surroundings.
738,Asrang,700,Quiet village with traditional lifestyle and scenic views.
739,Chamere Cave,500,Natural cave known for exploration and local legends.
740,Gotikhel,400,"Village with hills, trekking paths, and cultural heritage."
741,Kaleshwor,450,Scenic temple area on a hilltop with panoramic views.
742,Chyamrang Besi,650,Riverside village with calm environment and farming communities.
743,Tin Tale Waterfall,900,Picturesque waterfall ideal for nature photography.
744,Manikhel,875,Hill village offering serene surroundings and local culture.
745,Kalanti,123,Rural settlement with agricultural lands and scenic landscapes.
746,Malpi,258,Village with traditional lifestyle and peaceful environment.
747,KapalKot,159,Historic site with hilltop views and cultural significance.
748,Mahendrajyoti,357,Scenic hill area with panoramic views of surrounding valleys.
749,Baramchi,654,Peaceful village with natural beauty and rural charm.
750,Mankha,321,Remote village offering tranquility and mountain views.
751,Maneshwor,987,Small settlement with temples and traditional community life.
752,Yalmu Waterfall,654,Refreshing waterfall set in serene forested surroundings.
753,Gathi,125,Quiet rural village with scenic hills and farmland.
754,Marming,136,Hill village with peaceful landscapes and trekking access.
755,Dhuskun,652,Remote settlement with natural beauty and calm environment.
756,Chaukati,250,Village along a hillside with panoramic views.
757,Ghorthali,350,Scenic rural area surrounded by forests and farmland.
758,Bigu,330,Himalayan settlement offering trekking and mountain vistas.
759,Deudhunga Dada,700,Hilltop area with stunning sunrise and sunset views.
760,Seti Mata,750,Sacred temple site amidst natural surroundings.
761,Kalinchowk Bhagawati Temple,1000,Famous hilltop temple with Himalayan panoramas.
762,Gairabari,980,Peaceful village with traditional lifestyle and farmland.
763,Betechhap,900,Rural settlement with calm natural surroundings.
764,Lisankhu,500,Remote village with scenic hills and cultural charm.
765,Attarpur,600,Small village with agricultural landscape.
766,Baghkhor,369,Hill village with temples and scenic surroundings.
767,Aahaldanda,700,Quiet hilltop settlement offering panoramic views.
768,Jiri,500,Gateway town to Everest region with historical significance.
769,Chuchure,400,Small rural village with peaceful environment.
770,Harisiddhi,450,Temple site surrounded by local community and greenery.
771,Siddhipur,650,Traditional Newar town famous for pottery and culture.
772,Lubhu,900,Heritage village with preserved Newar architecture.
773,Dadhikot,875,Village with temples and scenic rural surroundings.
774,Gundu Chaur,123,Open rural area with peaceful landscapes.
775,Ranikot,258,Remote village with mountain vistas and natural beauty.
776,Sirandada,159,Hilltop settlement offering panoramic views.
777,Ghyampe Danda,357,Elevated village ideal for mountain vistas and hiking.
778,Nangkhel,654,Quiet village with farmland and surrounding hills.
779,Bhainsepati,321,Suburban area with cultural heritage and scenic views.
780,Dhunkharka,987,Rural settlement with forested surroundings.
781,Tindhare Jharana,654,Beautiful waterfall nestled in natural scenery.
782,Patlekhet,125,Peaceful village with traditional rural lifestyle.
783,TinPiple,136,Small hilltop settlement offering serene views.
784,Dulalthok,652,Quiet village with farmland and surrounding hills.
785,Panchkhal,250,Valley town with scenic landscapes and cultural sites.
786,Jyamdi Mandan,350,Rural settlement with agricultural lifestyle.
787,Phalante,330,Small village with peaceful surroundings.
788,Panichaur,700,Serene rural area with lush greenery.
789,Bethan,750,Traditional village with natural surroundings and farming.
790,Madan Kundari,1000,Hill settlement with temples and panoramic views.
791,Gunsi Bhadaure,980,Peaceful hill village with traditional farming and scenic surroundings.
792,Tokarpur,900,Small settlement offering serene rural landscapes.
793,Katakuti,500,Remote village with natural beauty and traditional lifestyle.
794,Bhusapheda,600,Quiet village nestled among hills and forests.
795,Marming,369,Hill village with trekking access and panoramic views.
796,Tauthali,700,Scenic rural settlement with cultural significance.
797,Piskar,500,Small village with peaceful surroundings and farmland.
798,Kharidhunga,400,Elevated settlement offering mountain vistas.
799,Nalang,450,Riverside village with natural beauty and local charm.
800,Bungchung,650,Remote hill village with scenic landscapes.
801,Dovantar,900,Traditional village surrounded by hills and forests.
802,Sasaha,875,Quiet settlement offering tranquility and natural surroundings.
803,Murali Bhanjyang,123,Hilltop pass with panoramic mountain views.
804,Aansi Khola Motorable Bridge,258,Important river crossing with scenic surroundings.
805,Sunkhani,159,Valley village known for agriculture and peaceful environment.
806,Golabhanjyang,357,Hilltop settlement with panoramic views.
807,Jyamrung,654,Riverside village with traditional lifestyle and calm environment.
808,Katunge,321,Small village offering rural charm and scenic surroundings.
809,Phulkharka,987,Village with open fields and mountain views.
810,Budhathum,654,Traditional hill village surrounded by forests.
811,Mulpani,125,Suburban village near Kathmandu with natural and cultural attractions.
812,Sangkosh,136,Riverside area with beautiful natural surroundings.
813,Sertung,652,Peaceful village with scenic landscapes.
814,Babil Waterfall,250,Picturesque waterfall in a serene forested setting.
815,Borang,350,Small village with panoramic views and traditional lifestyle.
816,Kalo Daha Mhane,330,Scenic lake area ideal for relaxation and photography.
817,Pusu Wala Kharka,700,High-altitude pasture with beautiful mountain scenery.
