destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description,destination_image_path,hotel1_image_path,hotel2_image_path,hotel3_image_path,restaurant1_image_path,restaurant2_image_path,restaurant3_image_path
362,belgachhi,dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.85,85.87,2,Belgachhi in Morang District is a small town with historical significance as a trading post. It is surrounded by fertile plains and is known for its vibrant local markets. The area reflects the multicultural fabric of eastern Terai,"From Kathmandu, proceed to Biratnagar via Itahari and visit Belgachhi village area near the Koshi region.",330,Belgachhi – Agricultural village surrounded by paddy fields.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Belgachhi Folk & Eco Day,Village Ground,Spring,Cultural / Eco,Eco-awareness activities and traditional cultural programs.,Belgachhi\download (1).jpeg; Belgachhi\download.jpeg; Belgachhi\images (1).jpeg; Belgachhi\images (2).jpeg; Belgachhi\images.jpeg,,,,,,
363,hathilet,dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.84,85.86,2,"Hathilet in Mahottari District is a rural municipality with deep cultural roots. It is known for its temples, agricultural fields, and traditional Madheshi lifestyle. Festivals and fairs are central to its identity.","From Kathmandu, drive via Bardibas and Janakpur to Hathilet, a well-known village in Mahottari District.",700,Hathilet – Typical Terai settlement with simple lifestyle.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hathilet Rural Festival,Village Square,Autumn,Cultural,"Folk performances, food stalls, and traditional games.",Hathilet\Dhanusha_District_locator.png; Hathilet\download (5).jpeg; Hathilet\images (1).jpeg; Hathilet\images (2).jpeg; Hathilet\images (3).jpeg; Hathilet\images.jpeg; Hathilet\sddefault.jpg,,,,,,
364,dhalkebar,dhanusha,All Year,"Village, Temple",Cultural & Religious Sites,"Local Visit, Religious",Easy,Road Access,26.82,85.85,2,"Dhalkebar in Dhanusha District is a major transport hub, famous for the Dhalkebar Substation—the largest electricity transmission station in Nepal. It is also a growing commercial town with strong cultural traditions.","From Kathmandu, travel southeast via BP Highway to reach Dhalkebar, an important town connecting the East–West Highway.",750,Dhalkebar – Important transport hub linking highways and trade routes.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dhalkebar Trade & Cultural Fair,Market Area,Winter,Trade / Cultural,"Promotes local trade, folk shows, and handicrafts.",Dhalkebar\download (1).jpeg; Dhalkebar\download (2).jpeg; Dhalkebar\download (3).jpeg; Dhalkebar\download (4).jpeg; Dhalkebar\download.jpeg,,,,,,
365,batauwa,dhanusha,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.8,85.83,2,"Batauwa is a small settlement in the Terai, known for its agricultural fields and traditional village life. It reflects the everyday rhythm of Madheshi communities, with close‑knit families and seasonal festivals.","From Kathmandu, continue along the highway through Lalbandi to reach Batauwa village in Sarlahi District.",1000,Batauwa – Calm farming village with a rural charm.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Batauwa Village Folk Festival,Village Ground,Autumn,Cultural,"Traditional music, dance, and local food exhibition.",Batauwa\download (1).jpeg; Batauwa\download (2).jpeg; Batauwa\download (5).jpeg; Batauwa\download.jpeg; Batauwa\images.jpeg,,,,,,
366,bharatpur,parsa,All Year,Town,Urban & Modern Attractions,"Market, Cultural Visit",Easy,Road Access,27,84.99,2,"Bharatpur in Chitwan District is one of Nepal’s fastest‑growing cities. It is a gateway to Chitwan National Park and a hub for healthcare, education, and commerce. The city blends modern development with cultural heritage.","From Kathmandu, drive southwest through Mugling to reach Bharatpur city in Chitwan District.From Kathmandu, drive south via Mugling and Tandi to reach Bharatpur in Chitwan District.",980159,Bharatpur – Modern city gateway to Chitwan National Park. Gateway city to Chitwan National Park and wildlife tours.,Ila comfort,"M7QP+8XP, Mahendra Hwy, Gaindakot 33000",Good hospitality at an affordable price.,4,Low (~$7-20),Bagaicha Adventure Resort,"Harkapur, Gaindakot-11, 33003",Comfortable stay and friendly staff.,4,Medium (~$30-45),CG Unnati Cultural Village,"Gaidakot Harkapur-12, 33003",Luxurious retreat with exceptional service.,3.8,High (~$70+),No,No,No,No,No,No,No,No,No,No,No,No,Bharatpur Eco & Cultural Day,Park / Public Area,Spring,Eco / Cultural,Environmental awareness with cultural performances.,Bharatpur\download (1).jpeg; Bharatpur\download (2).jpeg; Bharatpur\download (3).jpeg; Bharatpur\download (5).jpeg; Bharatpur\download.jpeg,hotel_images\bharatpur\Ila comfort\bedroom.png; hotel_images\bharatpur\Ila comfort\entrance.jpg; hotel_images\bharatpur\Ila comfort\sitting.png,hotel_images\bharatpur\Bagaicha Adventure Resort\bathroom.png; hotel_images\bharatpur\Bagaicha Adventure Resort\bedroom.png; hotel_images\bharatpur\Bagaicha Adventure Resort\entrance.png,hotel_images\bharatpur\CG Unnati Cultural Village\bedroom.png; hotel_images\bharatpur\CG Unnati Cultural Village\entrance.png,,,
367,fulakaha,parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.98,84.97,2,"Fulakaha in Siraha District is a rural settlement tied to local legends and traditional farming. It is known for its cultural fairs and religious rituals, which bring together the community during festive seasons.","From Kathmandu, continue your journey via Janakpur and reach Fulakaha village area in Dhanusha District.",900,Fulakaha – Village area with natural and cultural beauty.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Fulakaha Religious & Cultural Day,Temple / Village Ground,Winter,Religious / Cultural,Local temple rituals and folk performances.,Fulakaha\download (1).jpeg; Fulakaha\download (2).jpeg; Fulakaha\download (3).jpeg; Fulakaha\download (4).jpeg; Fulakaha\download.jpeg,,,,,,
368,birgunj,parsa,All Year,"City, Trade Hub",Urban & Modern Attractions,"Market, Trade, Cultural",Easy,Road Access,27,84.87,2,"Birgunj is Nepal’s main trade gateway with India, located in Parsa District. It is a bustling city with diverse communities, historic temples, and vibrant markets. Its role as a commercial hub makes it vital to Nepal’s economy.","From Kathmandu, drive through Hetauda and Pathlaiya to reach Birgunj, a major commercial city on the Indian border.",500,Industrial and trading capital of southern Nepal.,Hotel Vishuwa,"2V7Q+63Q, By-Pass Road, Vishuwa-18, Birgunj 44400",Good hospitality at an affordable price.,4.2,Low (~$20-30),Hotel Shah Paradise,"बिरगंज बाइपास रोड, Birgunj 44300",Great mid-range option for family visits.,4,Medium (~$40-70),Capital O 507 Hotel Makalu,"H02, Birgunj 44300",Premium facilities with stunning surroundings.,4.1,High (~$100+),No,No,No,No,No,No,No,No,No,No,No,No,Birgunj Trade & Cultural Week,Bazaar / Heritage Sites,Winter,Trade / Cultural,"Local trade, cultural shows, and handicraft exhibitions.",Birgunj\download (1).jpeg; Birgunj\download (2).jpeg; Birgunj\download (5).jpeg; Birgunj\download.jpeg; Birgunj\images.jpeg,hotel_images\birgunj\Hotel Vishuwa\bathroom.png; hotel_images\birgunj\Hotel Vishuwa\bedroom.png; hotel_images\birgunj\Hotel Vishuwa\entrance.png,hotel_images\birgunj\Hotel Shah Paradise\bathroom.png; hotel_images\birgunj\Hotel Shah Paradise\bedroom.png; hotel_images\birgunj\Hotel Shah Paradise\entrance.png,hotel_images\birgunj\Capital O 507 Hotel Makalu\bathroom.png; hotel_images\birgunj\Capital O 507 Hotel Makalu\bedroom.png; hotel_images\birgunj\Capital O 507 Hotel Makalu\entrance.png,,,
369,motisar,parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.95,84.9,2,"Motisar is a rural settlement in Madhesh Province, known for its agricultural lifestyle and traditional village culture. It reflects the Terai’s close connection to farming and seasonal rituals.","From Kathmandu, travel south via Hetauda and Kalaiya to reach Motisar village area in Bara District.",600,Small community reflecting rural traditions.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Motisar Village Fair,Village Ground,Autumn,Cultural,"Folk dances, traditional food stalls, and local crafts.",Motisar\download (1).jpeg; Motisar\download (2).jpeg; Motisar\download (3).jpeg; Motisar\download (4).jpeg; Motisar\download.jpeg,,,,,,
370,bhatauda,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,27,85,2,Bhatauda in Bara District is a small town with cultural and historical significance. It is surrounded by fertile plains and is known for its temples and local fairs.,"From Kathmandu, continue towards Rautahat through Kalaiya to reach Bhatauda.",369,Agricultural area with scenic surroundings.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bhatauda Eco & Cultural Festival,Village / Riverside,Spring,Eco / Cultural,Environmental awareness and folk performances.,Bhatauda\download (1).jpeg; Bhatauda\download (2).jpeg; Bhatauda\download (5).jpeg; Bhatauda\download.jpeg; Bhatauda\images.jpeg,,,,,,
371,kalaiya,bara,All Year,Municipality,Urban & Modern Attractions,"Town, Local Visit",Easy,Road Access,26.92,85.05,2,"Kalaiya, the headquarters of Bara District, is a growing municipality with a mix of modern development and cultural heritage. It is home to important temples and serves as a commercial hub for the surrounding villages.","From Kathmandu, drive via Hetauda and Pathlaiya to reach Kalaiya, the district headquarters of Bara.",700,Bustling town and administrative center of Bara.,Hotel Vishuwa,"2V7Q+63Q, By-Pass Road, Vishuwa-18, Birgunj 44400",A cozy stay with basic comforts and local charm.,3.7,Low (~$20-30),Hotel Shah Paradise,"बिरगंज बाइपास रोड, Birgunj 44300",Pleasant ambiance with good food and amenities.,4,Medium (~$35-60),Capital O 507 Hotel Makalu,"H02, Birgunj 44300",Luxurious retreat with exceptional service.,3.9,High (~$80+),No,No,No,No,No,No,No,No,No,No,No,No,Kalaiya Cultural & Trade Fair,Market Area,Winter,Cultural / Trade,"Local trade, folk shows, and community activities.",Kalai\download (1).jpeg; Kalai\download (2).jpeg; Kalai\download (3).jpeg; Kalai\download (5).jpeg; Kalai\download.jpeg,hotel_images\kalaiya\Hotel Vishuwa\bathroom.png; hotel_images\kalaiya\Hotel Vishuwa\bedroom.png; hotel_images\kalaiya\Hotel Vishuwa\entrance.png,hotel_images\kalaiya\Hotel Shah Paradise\bathroom.png; hotel_images\kalaiya\Hotel Shah Paradise\bedroom.png; hotel_images\kalaiya\Hotel Shah Paradise\entrance.png,hotel_images\kalaiya\Capital O 507 Hotel Makalu\bathroom.png; hotel_images\kalaiya\Capital O 507 Hotel Makalu\bedroom.png; hotel_images\kalaiya\Capital O 507 Hotel Makalu\entrance.png,,,
372,karaiya,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.9,85.02,2,"Karaiya is a rural settlement in Madhesh Province, known for its agricultural fields and traditional Madheshi lifestyle. It reflects the Terai’s cultural richness and community‑based living.","From Kathmandu, travel southeast through Hetauda and Birgunj to reach Karaiya village.",500,Local village with cultural and farming roots.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Karaiya Village Heritage Day,Village Ground,Autumn,Cultural,"Folk music, dance, and local handicraft exhibitions.",Karaiya\download (1).jpeg; Karaiya\download (2).jpeg; Karaiya\download (3).jpeg; Karaiya\download (5).jpeg; Karaiya\download.jpeg,,,,,,
373,maheshpur,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.88,85.03,2,"Maheshpur in Jhapa District is a border town near India. It is known for its cross‑border trade, fertile lands, and multicultural communities. The town plays a role in connecting eastern Nepal with neighboring regions.","From Kathmandu, proceed via Hetauda to reach Maheshpur village in Bara District.",400,Peaceful agricultural village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Maheshpur Religious & Cultural Mela,Temple / Community Ground,February,Religious / Cultural,Local temple rituals and traditional cultural programs.,Maheshpur\download (1).jpeg; Maheshpur\download (2).jpeg; Maheshpur\download (3).jpeg; Maheshpur\download (4).jpeg; Maheshpur\download.jpeg,,,,,,
374,dohari,bara,All Year,Municipality,Urban & Modern Attractions,"Town, Local Visit",Easy,Road Access,26.9,85.08,2,"Dohari is a settlement in the Terai region, known for its agricultural lifestyle and traditional Madheshi culture. The community thrives on farming and seasonal fairs, reflecting the close connection between land and livelihoo","From Kathmandu, continue along the East–West Highway towards Sarlahi and visit Dohari village area.",450,Small settlement with authentic Terai life.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dohari Village Folk Festival,Village Ground,Autumn,Cultural,"Folk dances, music, and handicraft exhibition.",Dohari\download (1).jpeg; Dohari\download (2).jpeg; Dohari\download (3).jpeg; Dohari\download.jpeg; Dohari\images.jpeg,,,,,,
375,bhodaha,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.87,85.04,2,"Bhodaha in Bara District is a rural municipality with fertile plains and a strong cultural identity. It is home to temples, local markets, and traditional village life, making it a representative example of Terai settlements.","From Kathmandu, travel southeast via Bardibas to reach Bhodaha in Mahottari District.",650,Rural area known for cultural diversity.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bhodaha Rural Cultural Day,Village Square,Spring,Cultural,"Traditional songs, dances, and community food fair.",Bhodaha\download (1).jpeg; Bhodaha\download (5).jpeg; Bhodaha\download.jpeg; Bhodaha\images (1).jpeg; Bhodaha\images.jpeg,,,,,,
376,haraiya,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.86,85.05,2,"Haraiya is a village area in Rautahat District, characterized by its farming community and cultural diversity. It hosts local fairs and religious gatherings, which bring together residents in celebration of Madheshi traditions.","From Kathmandu, head through Hetauda and Birgunj to reach Haraiya village in Parsa.",900,Friendly village with farmlands and simple lifestyle.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Haraiya Village Fair,Village Ground,Winter,Cultural,"Folk performances, local cuisine, and handicrafts.",Haraiya\download (1).jpeg; Haraiya\download (2).jpeg; Haraiya\download (3).jpeg; Haraiya\download (4).jpeg; Haraiya\download.jpeg,,,,,,
377,kolhabi,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.85,85.06,2,"Kolhabi in Bara District is a growing municipality along the East‑West Highway. It is known for its bustling markets, transport connections, and blend of rural and urban lifestyles.","From Kathmandu, travel through Hetauda to reach Kolhabi, a developing town in Bara District.",875,Developing town with growing markets.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Kolhabi Trade & Cultural Festival,Market Area,Winter,Trade / Cultural,Local trade promotion and cultural performances.,Kolhabi\download (1).jpeg; Kolhabi\download (4).jpeg; Kolhabi\download.jpeg; Kolhabi\images (1).jpeg; Kolhabi\images.jpeg,,,,,,
378,rangapur,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.84,85.07,2,Rangapur in Rautahat District is a rural settlement with strong ties to agriculture and traditional Madheshi customs. Its temples and community festivals highlight the cultural richness of the area.,"From Kathmandu, head southeast through Kalaiya and reach Rangapur in Rautahat District.",123,Quiet community known for local fairs.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Rangapur Heritage & Cultural Day,Village Ground,Autumn,Cultural,"Showcasing traditional arts, folk music, and food.",Rangapur\download (1).jpeg; Rangapur\download (2).jpeg; Rangapur\download (3).jpeg; Rangapur\download (5).jpeg; Rangapur\download.jpeg,,,,,,
379,chandrapur,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.83,85.08,2,"Chandrapur in Rautahat District is a rapidly developing municipality. It is a commercial hub with schools, markets, and temples, serving as a link between rural villages and modern infrastructure.","From Kathmandu, drive through Hetauda and reach Chandrapur, a growing municipality in Rautahat.Travel from Kathmandu along the East–West Highway to reach Chandrapur municipality in Rautahat District.",258159,Major municipality with cultural and natural appeal. Developing city with cultural diversity.,Gautam Hotel Chapur,Chandrapur 00977,A cozy stay with basic comforts and local charm.,4,Medium (~$35-60),Hotel Aarohi,"49F3+F84, Mahendra Hwy, Chandrapur 44515",Great mid-range option for family visits.,4.2,High (~$80+),SPOT ON 586 Hotel A.n Plaza,"Hotel A.N Plaza Chandrapur, Chapur 44515",Premium facilities with stunning surroundings.,3.9,Medium (~$35-60),No,No,No,No,No,No,No,No,No,No,No,No,Chandrapur Village Fair,Village Ground,Winter,Cultural,"Folk music, dance, and handicraft stalls.",Chandrapur\download (1).jpeg; Chandrapur\download (2).jpeg; Chandrapur\download (3).jpeg; Chandrapur\download (4).jpeg; Chandrapur\download.jpeg,hotel_images\chandrapur\Gautam Hotel Chapur\bedroom.png; hotel_images\chandrapur\Gautam Hotel Chapur\entrance.png; hotel_images\chandrapur\Gautam Hotel Chapur\exterior.png,hotel_images\chandrapur\Hotel Aarohi\bathroom.png; hotel_images\chandrapur\Hotel Aarohi\bedroom.png; hotel_images\chandrapur\Hotel Aarohi\entrance.png,hotel_images\chandrapur\SPOT ON 586 Hotel A.n Plaza\bathroom.png; hotel_images\chandrapur\SPOT ON 586 Hotel A.n Plaza\bedroom.png; hotel_images\chandrapur\SPOT ON 586 Hotel A.n Plaza\entrance.png,,,
380,paurai,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.7,85.2,2,"Paurai in Rautahat District is a small town known for its agricultural fields and traditional village life. It reflects the everyday rhythm of Terai communities, with close‑knit families and seasonal rituals.","From Kathmandu, continue along the same highway past Chandrapur to reach Paurai village area.",159,Peaceful settlement with a rural backdrop.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Paurai Cultural & Eco Day,Village / River Area,Spring,Cultural / Eco,Local eco-awareness with folk performances.,Paurai\download (1).jpeg; Paurai\download (2).jpeg; Paurai\download (3).jpeg; Paurai\download (5).jpeg; Paurai\download.jpeg,,,,,,
381,pahritol,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.72,85.22,2,"Pahritol is a rural settlement in Bara District, characterized by its farming lifestyle and cultural traditions. It is a quiet village where agriculture and community festivals dominate daily life.","From Kathmandu, travel south through Kalaiya and reach Pahritol village in Bara District.",357,Small village reflecting traditional Madhesi architecture.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pahritol Religious Mela,Temple Premises,February,Religious,Temple rituals with folk music and local food stalls.,Pahritol\download (1).jpeg; Pahritol\download (2).jpeg; Pahritol\download (3).jpeg; Pahritol\download (4).jpeg; Pahritol\download.jpeg,,,,,,
382,sakhuwa dhamaura,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.71,85.21,2,"Sakhuwa Dhamaura in Rautahat District is a municipality with a mix of rural traditions and modern development. It is known for its temples, schools, and growing infrastructure.","From Kathmandu, drive southeast via Hetauda to reach Sakhuwa Dhamaura, known for its rural cultural charm.",654,Rural village surrounded by fertile land.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Sakhuwa Dhamaura Village Festival,Village Ground,Autumn,Cultural,"Folk performances, handicraft exhibitions, and traditional games.",Sakhuwa Dhamaura\download (1).jpeg; Sakhuwa Dhamaura\download (2).jpeg; Sakhuwa Dhamaura\download (4).jpeg; Sakhuwa Dhamaura\download.jpeg; Sakhuwa Dhamaura\images.jpeg,,,,,,
383,pratappur paltuwa,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.73,85.23,2,Pratappur Paltuwa in Bara District is a rural municipality with fertile lands and cultural heritage. It is home to traditional Madheshi communities and reflects the agricultural backbone of the Terai.,"From Kathmandu, drive southeast along the East–West Highway via Hetauda and continue to reach Pratappur Paltuwa in Bara District.",321,Calm settlement known for its simplicity.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pratappur Paltuwa Village Fair,Village Square,Winter,Cultural,"Community gathering, folk music, and local food.",Pratappur Paltuwa\download (1).jpeg; Pratappur Paltuwa\download (2).jpeg; Pratappur Paltuwa\download (3).jpeg; Pratappur Paltuwa\download.jpeg; Pratappur Paltuwa\images.jpeg,,,,,,
384,laxmipur belbichawa,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.74,85.24,2,Laxmipur Belbichawa in Rautahat District is a settlement known for its farming lifestyle and cultural fairs. It is a representative example of Madheshi village life.,"Travel from Kathmandu along the East–West Highway to reach Belbichawa in Jhapa District, then continue locally to Laxmipur Belbichawa area.",987,Agricultural community with local traditions.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Laxmipur Belbichawa Trade & Cultural Day,Market Area,Winter,Trade / Cultural,Local trade stalls with cultural performances.,Laxmipur Belbichawa\download (3).jpeg; Laxmipur Belbichawa\download.jpeg; Laxmipur Belbichawa\images (1).jpeg; Laxmipur Belbichawa\images (2).jpeg; Laxmipur Belbichawa\images.jpeg,,,,,,
385,faparbadi,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.75,85.25,2,"Faparbadi is a rural settlement in Bara District, where agriculture dominates daily life. The community is closely tied to traditional rituals and seasonal festivals.","From Kathmandu, drive via Hetauda and Birgunj to reach Faparbadi in Bara District.",654,Village offering glimpses of authentic Terai life.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Faparbadi Rural Festival,Village Ground,Autumn,Cultural,"Folk dances, songs, and handicrafts.",,,,,,,
386,balchanpur,rautahat,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,26.76,85.26,2,Balchanpur in Bara District is a small village with fertile plains and cultural traditions. It reflects the Terai’s agricultural rhythm and community‑based living,Travel from Kathmandu along the East–West Highway to Bara District and continue to Balchanpur village.,125,"Quiet, green farming village.",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Balchanpur Cultural Celebration,Village Ground,Spring,Cultural,"Traditional songs, dances, and food fair.",Balchanpur\download (3).jpeg; Balchanpur\images (1).jpeg; Balchanpur\images (2).jpeg; Balchanpur\images (3).jpeg; Balchanpur\images.jpeg,,,,,,
387,nijgadh,bara,All Year,Municipality,Urban & Modern Attractions,"Town, Cultural",Easy,Road Access,27.05,84.97,2,"Nijgadh in Bara District is a growing town, famous for its proposed international airport project. It is surrounded by dense forests and fertile plains, making it both ecologically and economically significant","From Kathmandu, take the East–West Highway south via Hetauda to reach Nijgadh in Bara District, known for its airport and forested area.",136,Gateway town to the proposed international airport.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Nijgadh Eco & Cultural Fair,Forest / Park Area,Spring,Eco / Cultural,Environmental awareness program with folk performances.,Nijgadh\download (1).jpeg; Nijgadh\download (2).jpeg; Nijgadh\download (5).jpeg; Nijgadh\download.jpeg; Nijgadh\images.jpeg,,,,,,
388,dhiyal,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,27.03,84.96,2,Dhiyal in Makwanpur District is a rural settlement with strong ties to agriculture. It is known for its traditional Madheshi lifestyle and community festivals.,"From Kathmandu, drive via Hetauda and Birgunj to reach Dhiyal village area in Bara.",652,Scenic village near the Chure range.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dhiyal Village Folk Festival,Village Ground,Autumn,Cultural,"Folk performances, handicrafts, and traditional food.",Dhiyal\download (1).jpeg; Dhiyal\download (2).jpeg; Dhiyal\download (3).jpeg; Dhiyal\download (4).jpeg; Dhiyal\download.jpeg,,,,,,
389,kudawa,bara,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,27.02,84.95,2,"Kudawa in Bara District is a small village with fertile lands and cultural heritage. It reflects the everyday life of Terai communities, centered on farming and rituals",Travel from Kathmandu along the East–West Highway through Hetauda to reach Kudawa in Bara District.,250,Simple rural area with paddy fields.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Kudawa Religious & Cultural Day,Temple / Community Ground,February,Religious / Cultural,Temple rituals with folk music and local festivities.,Kudawa\download (1).jpeg; Kudawa\download (2).jpeg; Kudawa\download (3).jpeg; Kudawa\download.jpeg; Kudawa\images.jpeg,,,,,,
390,amarpatti,parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,27.01,84.9,2,Amarpatti in Bara District is a rural municipality with agricultural fields and traditional Madheshi culture. It is known for its temples and community gatherings.,"From Kathmandu, continue along the highway to Bara District and reach Amarpatti village area.",350,Vibrant local community in the Terai plains.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Amarpatti Village Fair,Village Square,Winter,Cultural,"Folk music, dances, and handicraft exhibitions.",Amarpatti\download (1).jpeg; Amarpatti\download (2).jpeg; Amarpatti\download (4).jpeg; Amarpatti\download.jpeg; Amarpatti\images.jpeg,,,,,,
391,pathera,parsa,All Year,Village,Village & Rural Tourism,Local Visit,Easy,Road Access,27.02,84.91,2,Pathera in Bara District is a settlement with fertile plains and cultural traditions. It reflects the Terai’s agricultural lifestyle and close‑knit communities,Travel from Kathmandu through Hetauda and Birgunj to reach Pathera village in Bara.,330,Peaceful agricultural area with cultural heritage.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pathera Village Heritage Day,Village Ground,Autumn,Cultural,Traditional folk performances and local food.,Pathera\download (1).jpeg; Pathera\download (2).jpeg; Pathera\download (3).jpeg; Pathera\download.jpeg; Pathera\images.jpeg,,,,,,
