destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,reataurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,reataurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,reataurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description
501,bungtang,nuwakot,Spring,Village,Village & Rural Tourism,Cultural visit,Easy,Road,27.9,85.01,3,"A village in Nuwakot district, Bungtang is surrounded by hills and rivers. It is known for its traditional houses, cultural heritage, and natural environment.","From Kathmandu, drive northwest via Dhading to reach Bungtang.",980,Peaceful Himalayan village known for trekking and remote beauty.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bungtang Adventure & Cultural Trek,Village / Hill Trail,Autumn,Adventure / Cultural,"Trekking, folk performances, and handicraft exhibitions."
502,deurali,nuwakot,Spring,Pass/Deurali,Village & Rural Tourism,"Hiking, View",Moderate,Road/Trail,27.91,85,3,"A common name for several villages across Nepal, Deurali typically refers to settlements located on hill ridges. These areas are popular for viewpoints and short hikes.","From Kathmandu, drive north via Dhading and Nilkantha to reach Deurali village.",900,Remote mountain settlement offering Himalayan views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Deurali Highland Eco & Trekking Festival,Trek Base,Summer,Eco / Adventure,Trekking and environmental awareness with local folk programs.
503,tupche,nuwakot,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.94,85.04,3,"A rural settlement in Nuwakot district, Tupche is known for its agricultural lifestyle and scenic surroundings. It reflects the simplicity of village life in Nepal","From Kathmandu, drive north via Dhading District to reach Tupche village.",500,Traditional village with trekking access and serene landscapes.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Tupche Cultural Day,Village Ground,Autumn,Cultural,"Folk dances, music, and handicraft exhibitions."
504,chappthoke,nuwakot,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.95,85.05,3,A small village surrounded by terraced fields and hills. Chappthoke is a quiet rural destination offering cultural immersion and natural beauty,"From Kathmandu, drive northwest via Dhading District to reach Chappthoke.",600,Small rural village with serene landscapes and traditional lifestyle.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Chappthoke Trek & Culture Festival,Trek / Village,Spring,Adventure / Cultural,Trekking and local cultural performances.
505,pokhari gaun,nuwakot,All Year,"Village, Pond",Village & Rural Tourism,"Local visit, Photography",Easy,Road/Trail,27.955,85.052,3,"Literally meaning “village with a pond,” Pokhari Gaun is a traditional settlement where water sources play a central role in daily life. It is a peaceful rural area with cultural significance","From Kathmandu, drive north via Dhading District to reach Pokhari Gaun.",369,Scenic village centered around a peaceful pond.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pokhari Gaun Heritage & Folk Festival,Village Grounds,Autumn,Cultural,"Folk dances, traditional music, and handicraft stalls."
506,champani gaun,nuwakot,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.95,85.048,3,A hillside village known for its farming practices and community traditions. Champani Gaun offers visitors a glimpse into authentic rural Nepali life,"From Kathmandu, drive northwest via Dhading District to reach Champani Gaun.",700,Hilltop settlement with panoramic mountain and valley views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Champani Gaun Cultural & Adventure Day,Village / Hill,Spring,Cultural / Adventure,Trekking with folk performances and environmental awareness.
507,yarsa,nuwakot,All Year,Village,Village & Rural Tourism,"Hiking, Local visit",Easy,Road,27.97,85.03,3,"A village in Nuwakot district, Yarsa is surrounded by hills and rivers. It is known for its cultural heritage and agricultural lifestyle.","From Kathmandu, drive north via Dhading District to reach Yarsa village.",500,Remote village known for natural beauty and local culture.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Yarsa Highland Cultural Festival,Hill / Village,Summer,Cultural,"Folk music, dances, and handicraft exhibition."
508,urleni (helambu area),sindhupalchok,Spring-Autumn,Helambu Village,Village & Rural Tourism,"Trekking, Culture",Moderate,Road/Trail,27.83,85.5,3,"Located in the Helambu region, Urleni is a Tamang village offering cultural immersion and scenic views. It is part of trekking routes that highlight Himalayan traditions.","From Kathmandu, drive north via Sundarijal and Melamchi to reach Urleni in Helambu region.",400,"Charming village in Helambu, ideal for trekking and cultural experiences.",Helambu Chanaute Resort,"Helambu-07,Sindhupalchok,Nepal Helambu, Chanaute Ichok Road, Ichok 45300",A cozy stay with basic comforts and local charm.,4,Mid: $25–$45,Helambu Riverside Resort and Organic Farm House,"WG5M+M3, Ichok",Great mid-range option for family visits.,4,Low: $12–$25,Helambu Mountain Resort,Kiwool,Top-notch experience and beautiful design.,3.8,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,Helambu Chanaute Resort,"Helambu-07,Sindhupalchok,Nepal Helambu, Chanaute Ichok Road, Ichok 45300",A cozy stay with basic comforts and local charm.,4,Mid: $25–$45,Helambu Riverside Resort and Organic Farm House,"WG5M+M3, Ichok",Great mid-range option for family visits.,4,Low: $12–$25,Helambu Mountain Resort,Kiwool,Top-notch experience and beautiful design.,3.8,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,Urleni Helambu Cultural Trek,Trek Base / Village,Autumn,Adventure / Cultural,Trekking and local Limbu culture performances.
509,shikharbesi (nuwakot),nuwakot,All Year,Town/Market,Urban & Modern Attractions,Local visit,Easy,Road,27.92,85.16,3,"A settlement in Nuwakot district, Shikharbesi is known for its rural charm and traditional lifestyle. It is surrounded by hills and forests, making it a peaceful destination.","From Kathmandu, drive north via Tokha to reach Shikharbesi in Nuwakot District.",450,Gateway village for hiking trails and Himalayan vistas.,The Famous Farm Nuwakot (Rural Heritage Accommodations),"Nuwakot,, Trisuli 44900","Decent rooms, perfect for budget travelers.",4.1,Mid: $25–$45,Nuwakot Hills Farmstay,"Keurini, Bidur 44900",Pleasant ambiance with good food and amenities.,4,Low: $12–$25,"HOTEL ROYAL Inn, Nuwakot.","Near Clock Tower, Bus park Road, Bidur 44900",Luxurious retreat with exceptional service.,3.8,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,The Famous Farm Nuwakot (Rural Heritage Accommodations),"Nuwakot,, Trisuli 44900","Decent rooms, perfect for budget travelers.",4.1,Mid: $25–$45,Nuwakot Hills Farmstay,"Keurini, Bidur 44900",Pleasant ambiance with good food and amenities.,4,Low: $12–$25,"HOTEL ROYAL Inn, Nuwakot.","Near Clock Tower, Bus park Road, Bidur 44900",Luxurious retreat with exceptional service.,3.8,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,Shikharbesi Eco & Trekking Day,Village / Trek Area,Spring,Adventure / Eco,Trekking with environmental awareness and local folk programs.
510,ghyangphedi,nuwakot,All Year,Village,Village & Rural Tourism,"Trekking, Culture",Moderate,Road/Trail,27.9,85.04,3,"A village in Nuwakot district, Ghyangphedi is culturally rich and surrounded by natural landscapes. It is a stop for trekkers exploring the northern hills.","From Kathmandu, drive north via Nuwakot to reach Ghyangphedi village.",650,Peaceful rural community with traditional farming practices.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Ghyangphedi Highland Festival,Village / Hilltop,Summer,Cultural / Adventure,"Folk dances, trekking, and handicrafts."
511,helambu,sindhupalchok,Spring-Autumn,Trekking region,Trekking & Adventure,"Trekking, Monasteries",Moderate,Road/Trail,27.822,85.519,3,"A region north of Kathmandu, Helambu is famous for its Tamang and Sherpa culture, monasteries, and scenic trekking routes. It is a popular destination for short Himalayan treks.","From Kathmandu, drive north via Sundarijal and Melamchi to reach the Helambu region.",900,Popular trekking region with stunning scenery and Sherpa villages.,Helambu Chanaute Resort,"Helambu-07,Sindhupalchok,Nepal Helambu, Chanaute Ichok Road, Ichok 45300",A cozy stay with basic comforts and local charm.,4.1,Mid: $25–$45,Helambu Riverside Resort and Organic Farm House,"WG5M+M3, Ichok",Pleasant ambiance with good food and amenities.,3.9,Low: $12–$25,Helambu Mountain Resort,Kiwool,Luxurious retreat with exceptional service.,4,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,Helambu Chanaute Resort,"Helambu-07,Sindhupalchok,Nepal Helambu, Chanaute Ichok Road, Ichok 45300",A cozy stay with basic comforts and local charm.,4.1,Mid: $25–$45,Helambu Riverside Resort and Organic Farm House,"WG5M+M3, Ichok",Pleasant ambiance with good food and amenities.,3.9,Low: $12–$25,Helambu Mountain Resort,Kiwool,Luxurious retreat with exceptional service.,4,High: $40–$70,No,No,No,No,No,No,No,No,No,No,No,No,Helambu Cultural Trekking Festival,Trek / Villages,Autumn,Adventure / Cultural,"Trekking, local culture, and handicraft exhibitions."
512,bhotang,sindhupalchok,Spring-Autumn,Village,Village & Rural Tourism,Trekking,Moderate,Road/Trail,27.85,85.6,3,"A village in Sindhupalchok district, Bhotang is part of the Helambu trekking circuit. It is known for its cultural traditions and mountain views.","From Kathmandu, drive north via Helambu trail to reach Bhotang village.",875,Traditional hill village offering cultural authenticity and scenic views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bhotang Highland Cultural Day,Village Grounds,Autumn,Cultural,"Folk music, dances, and handicraft stalls."
513,pachpokhari,sindhupalchok,Spring-Autumn,Sacred Lake,Natural Attractions,"Pilgrimage, Trekking",Hard,Trail,27.87,85.68,3,"Meaning “five lakes,” Pachpokhari in Sindhupalchok is a sacred pilgrimage site. It is surrounded by alpine scenery and attracts both trekkers and devotees.","From Kathmandu, drive north via Helambu trail to reach Pachpokhari lake area.",123,Village famous for its five sacred ponds and religious significance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pachpokhari Religious & Eco Day,Lake / Shrine Area,Summer,Religious / Eco,"Pilgrimage rituals, trekking, and environmental awareness."
514,phurbi chyachu,sindhupalchok,Spring,Peak/Mountain,Natural Attractions,"Expedition, Trekking",Hard,Trek,27.87,85.73,3,"A peak in the Langtang region, Phurbi Chyachu is a striking mountain often admired from trekking routes. It adds to the scenic beauty of the Himalayas.","From Kathmandu, drive north via Helambu region to reach Phurbi Chyachu peak.",258,Himalayan settlement ideal for trekking and local culture immersion.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Phurbi Chyachu Trek & Culture Festival,Trek Base / Village,Autumn,Adventure / Cultural,Trekking with folk performances and local crafts.
515,tatopani (sindhupalchok),sindhupalchok,All Year,Hot spring,Wellness & Relaxation,"Bathing, Relax",Easy,Road,27.97,85.9,3,"A village near the Nepal-Tibet border, Tatopani is famous for its natural hot springs. It is a popular stop for travelers seeking relaxation and healing baths.","From Kathmandu, drive northeast via Jiri and Tatopani to reach Sindhupalchok Tatopani.",159,Hot spring destination and scenic riverside village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Tatopani Hot Springs & Cultural Day,Hot Springs / Village,Spring,Eco / Cultural,"Hot spring wellness, folk performances, and handicraft stalls."
516,kodari,sindhupalchok,All Year,Border town,Urban & Modern Attractions,"Trade, Transit",Easy,Highway,27.99,85.94,3,"A border town in Sindhupalchok district, Kodari connects Nepal with Tibet via the Friendship Bridge. It has historical and trade significance","From Kathmandu, drive northeast via Jiri and Tatopani to reach Kodari at Nepal-China border.",357,Border town connecting Nepal to Tibet with cultural and trade significance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Kodari Border Cultural Exchange,Border Area,Summer,Cultural / Cross-border,Cultural exchange festival highlighting Nepal–Tibet trade and folk performances.
517,phulpingkatti,sindhupalchok,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.88,85.59,3,"A rural settlement in Sindhupalchok district, Phulpingkatti is known for its cultural traditions and hillside farming. It reflects authentic village life","From Kathmandu, drive northeast via Jiri and Tatopani to reach Phulpingkatti.",654,Remote village with pristine natural surroundings.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Phulpingkatti Cultural Trek & Festival,Village / Trek Base,Autumn,Adventure / Cultural,Trekking with local folk performances and handicraft exhibitions.
518,bigu,dolakha,Spring-Autumn,Village,Village & Rural Tourism,"Hiking, Trekking",Moderate,Road/Trail,27.77,86.22,3,"A village in Dolakha district, Bigu is home to the Bigu Gompa, a Buddhist monastery. It is a spiritual site surrounded by scenic hills.","From Kathmandu, drive north via Helambu and Melamchi Valley to reach Bigu village.From Kathmandu, drive north via Helambu and Melamchi Valley to Bigu village.",321330,High-altitude settlement in Helambu offering trekking and local hospitality. Himalayan settlement offering trekking and mountain vistas.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bigu Highland Eco & Cultural Day,Village / Hill Area,Spring,Eco / Cultural,"Trekking, environmental awareness, and folk performances."
519,singati,ramechhap,All Year,Municipality,Urban & Modern Attractions,Local visit,Easy,Road,27.742,86.386,3,"A town in Dolakha district, Singati serves as a gateway to trekking routes in the Rolwaling Valley. It is a local trade center with cultural and natural significance","From Kathmandu, drive northeast via Jiri and Ramechhap District to reach Singati.",987,Rural town in Ramechhap with access to trekking routes.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Singati Village Cultural Festival,Village Grounds,Autumn,Cultural,"Folk dances, music, and handicraft exhibitions."
520,suri,ramechhap,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.73,86.38,3,Suri is a hillside settlement known for its terraced fields and traditional lifestyle. The village offers scenic views of surrounding valleys and is often visited by trekkers exploring rural trails. Its cultural practices and agricultural heritage make it a peaceful destination for immersion in authentic Nepali life.,"From Kathmandu, drive northeast via Jiri and Ramechhap to reach Suri village.",654,Quiet village with traditional lifestyles and farming.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Suri Highland Trek & Culture Day,Village / Hill,Summer,Adventure / Cultural,Trekking with local cultural performances and handicrafts.
521,jhyaku,ramechhap,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.72,86.37,3,"Jhyaku is a rural village surrounded by forests and farmland. It reflects the simplicity of community-centered living, with traditional houses and shrines forming the heart of the settlement. The area is ideal for short hikes and cultural exploration.","From Kathmandu, drive northeast via Sindhupalchok and Helambu to reach Jhyaku village.",125,Small settlement known for its natural scenery.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Jhyaku Highland Eco Festival,Hill / Village Grounds,Spring,Eco / Cultural,Folk performances combined with environmental awareness activities.
522,gorpang,ramechhap,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.71,86.36,3,"Gorpang is a small settlement in the hills, known for its agricultural practices and natural beauty. It provides a glimpse into rural Nepali life, with terraced fields and scenic landscapes.","From Kathmandu, drive northeast via Sindhupalchok District to reach Gorpang village.",136,Himalayan village offering serene landscapes and trekking access.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Gorpang Adventure & Cultural Trek,Trek Base / Village,Autumn,Adventure / Cultural,"Trekking, local folk culture, and handicraft exhibitions."
523,lamidada,ramechhap,All Year,Hill village,Natural Attractions,Local visit,Moderate,Road,27.7,86.35,3,"Lamidada is a hilltop area offering panoramic views of valleys and distant Himalayan peaks. It is a popular stop for trekkers and locals, with cultural shrines adding spiritual significance to the site","From Kathmandu, drive northeast via Ramechhap and Jiri to reach Lamidada.",652,Peaceful village with scenic views of surrounding hills.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Lamidada Village Festival,Village Square,Summer,Cultural,"Folk dances, music, and local handicraft stalls."
524,jiri,dolakha,All Year,Hill town,Natural Attractions,Trekking start point,Moderate,Road,27.63,86.23,3,"Jiri, often called the “Switzerland of Nepal,” is a hill town in Dolakha district. It is historically significant as the starting point of early Everest expeditions. Surrounded by lush hills and alpine scenery, Jiri combines cultural heritage with trekking opportunities.","From Kathmandu, drive east via Charikot and Shivalaya to reach Jiri town.From Kathmandu, drive east via Dolakha District and use Araniko Highway to reach Jiri.",250500,Famous starting point for Everest treks with historical significance. Gateway town to Everest region with historical significance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Jiri Himalayan Cultural Trek,Trek Base Camps,Autumn,Adventure / Cultural,Trekking through remote villages with cultural programs and handicrafts.
525,rasnalu,ramechhap,All Year,Village,Village & Rural Tourism,"Trekking, Culture",Moderate,Road/Trail,27.56,86.3,3,"Rasnalu is a rural village known for its farming lifestyle and traditional practices. It is surrounded by hills and rivers, offering a peaceful environment for visitors seeking authentic cultural immersion.","From Kathmandu, drive northeast via Ramechhap District to reach Rasnalu village.",350,Traditional village in Ramechhap with agricultural roots.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Rasnalu Highland Festival,Village Grounds,Spring,Cultural,"Folk music, dances, and handicraft exhibitions."
526,gupteshwor (ramechhap),ramechhap,All Year,Temple,Cultural & Religious Sites,"Pilgrimage, Visit",Easy,Road,27.4,86.1,3,"Gupteshwor is a sacred temple in Ramechhap district dedicated to Lord Shiva. It is a spiritual site visited by pilgrims and locals, surrounded by natural landscapes that enhance its serene atmosphere.","From Kathmandu, drive northeast to Ramechhap District to reach Gupteshwor Temple.",330,Sacred site featuring temples and local pilgrimage.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Gupteshwor Temple Festival,Temple Grounds,February,Religious / Cultural,Devotional rituals with folk performances and local food stalls.
527,ramechhap (hq),ramechhap,All Year,District HQ,Village & Rural Tourism,"Services, Market",Easy,Highway,27.336,86.063,3,"Ramechhap headquarters is the administrative center of the district, serving as a hub for governance, trade, and community activities. It blends modern development with traditional culture, making it a gateway to rural destinations.","From Kathmandu, drive northeast via Charikot to reach Ramechhap headquarters.",700,Administrative center with markets and local culture.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Ramechhap Town Cultural Week,Town Square,Autumn,Cultural / Tourism,"Folk performances, handicraft exhibitions, and local trade stalls."
528,rampur (ramechhap),ramechhap,All Year,Town,Urban & Modern Attractions,Local visit,Easy,Road,27.3,86.05,3,Rampur is a settlement in Ramechhap district known for its agricultural lifestyle and cultural traditions. It reflects the harmony between rural living and natural surroundings.,"From Kathmandu, drive northeast via Ramechhap District to reach Rampur village.",750,Scenic town along trade routes with rural charm.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Rampur Village Festival,Village Grounds,Summer,Cultural,"Folk dances, music, and local handicraft display."
529,himganga,ramechhap,All Year,Mountain village,Natural Attractions,Trekking,Moderate,Trail,27.28,86.04,3,Himganga is a scenic area associated with rivers and hills. It is valued for its natural beauty and serves as a peaceful retreat for visitors.,"From Kathmandu, drive northeast via Ramechhap and Jiri to reach Himganga.",1000,Mountain settlement ideal for trekking and adventure activities.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Himganga Highland Eco Day,Hill / Trek Area,Spring,Eco / Adventure,"Trekking, environmental awareness, and cultural programs."
530,melamchi,sindhupalchok,All Year,Town,Urban & Modern Attractions,"Water project site, Market",Easy,Road,27.835,85.602,3,Melamchi in Sindhupalchok district is famous for its river and water supply project. The town is surrounded by hills and serves as a gateway to rural settlements and trekking routes.,"From Kathmandu, drive north via Sundarijal and Melamchi Valley to reach Melamchi village.",980,River town known for water projects and Himalayan scenery.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Melamchi Water & Cultural Festival,Riverbank / Village,Monsoon,Eco / Cultural,Folk performances and environmental awareness on river conservation.
531,sipalkavre,sindhupalchok,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.82,85.61,3,Sipalkavre is a hillside village known for its farming practices and traditional lifestyle. It offers scenic views and cultural immersion for visitors,"From Kathmandu, drive north via Helambu trail to reach Sipalkavre village.",900,Village surrounded by hills with a peaceful ambiance.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Sipalkavre Trek & Cultural Day,Hill / Village,Autumn,Adventure / Cultural,Trekking with local folk dances and handicraft exhibitions.
532,chhiku,sindhupalchok,All Year,Village,Village & Rural Tourism,Local visit,Easy,Road,27.8,85.6,3,"Chhiku is a rural settlement surrounded by terraced fields and forests. It reflects authentic Nepali village life, with community-centered traditions and rituals.","From Kathmandu, drive northeast via Helambu and Melamchi Valley to reach Chhiku village.",500,Remote settlement with trekking access and natural beauty.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Chhiku Highland Cultural Festival,Village / Hill,Spring,Cultural,"Folk music, dances, and local crafts showcase."
