destination,clean_text,spring,summer,autumn,winter,cluster
dangraha,village village rural tourism cultural tour dangraha village sunsari district known farming community traditional practice surrounded field river offering peaceful rural environment,0,0,0,0,0
banigama,town area urban modern attraction local market banigama settlement sunsari district reflecting terai agricultural richness culturally diverse community strong tie farming local trade,0,0,0,0,4
dulari,village village rural tourism local tour dulari village sunsari district surrounded fertile plain known agricultural productivity cultural diversity farming main livelihood,0,0,0,0,0
binaya tole phimraha,residential area village rural tourism local visit binaya tole phimraha small settlement sunsari reflecting traditional terai village life surrounded field forest offering glimpse rural lifestyle,0,0,0,0,0
khoksi,village village rural tourism local tour khoksi rural settlement sunsari district known farming community surrounded fertile land reflects simple charm terai village,0,0,0,0,0
lati jhora,water stream area village rural tourism picnic nature visit lat jhora settlement sunsari located near river fertile plain known agricultural lifestyle cultural diversity,0,0,0,0,0
sonapur,town urban modern attraction local market visit sonapur town sunsari district serving local market hub culturally diverse surrounded fertile land making important trading center,0,0,0,0,4
sai man basti,settlement village rural tourism local tour sai man basti rural settlement sunsari reflecting traditional farming practice surrounded field forest offering peaceful environment,0,0,0,0,0
khanar,industrial area village rural tourism city tour khanar growing town sunsari district known industry educational institution part expanding urban belt near itahari dharan,0,0,0,0,4
gaisar,town urban modern attraction local visit gaisar rural settlement sunsari surrounded fertile plain reflects terai agricultural lifestyle community tradition,0,0,0,0,4
bhatti toal,residential area village rural tourism local visit bhatti toal small settlement sunsari known farming community traditional village life surrounded field river,0,0,0,0,0
bajraha,village village rural tourism cultural visit bajraha rural settlement sunsari district reflecting traditional farming practice surrounded fertile land forest offering peaceful environment,0,0,0,0,0
ubdhi,village village rural tourism cultural visit ubdhi settlement sunsari known agricultural productivity reflects terai lifestyle farming main occupation,0,0,0,0,0
lauhani,village village rural tourism local visit lauhani rural settlement sunsari district surrounded fertile plain reflects traditional farming cultural diversity offering glimpse terai village life,0,0,0,0,0
jhumka,town urban modern attraction local market jhumka growing town sunsari district located along highway known bustling market educational institution proximity koshi tappu wildlife reserve town serf commercial hub surrounding rural area,0,0,0,0,4
diktel,municipality urban modern attraction cultural visit trekking diktel headquarters khotang district eastern nepal hill town surrounded scenic landscape culturally rich rai kirati community diktel also close lamidanda airport making gateway halesi mahadev temple,0,0,0,0,4
nerpa,village village rural tourism cultural tour nerpa rural settlement eastern nepal reflecting traditional farming practice kirati culture surrounded terraced field forest offering peaceful environment typical himalayan village,0,0,0,0,0
dorpachiuridada,hill natural attraction hiking scenic view dorpachiuridada hilltop area eastern nepal known panoramic view valley mountain often visited local short hike cultural gathering,0,0,0,0,4
lamidanda,village airport area village rural tourism local visit flight lamidanda village khotang district famous lamidanda airport connects region kathmandu surrounded hill forest serf gateway halesi mahadev temple,0,0,0,0,0
sapteshwor,temple cultural religious site pilgrimage sapteshwor hindu pilgrimage site dedicated lord shiva revered local visited festival reflecting deep spiritual tradition eastern nepal,0,0,0,0,6
pipal dada,hill point natural attraction hiking pipal dada hilltop settlement named sacred pipal tree often associated hindu ritual offer scenic view serf cultural gathering place nearby community,0,0,0,0,4
rakha dipsung,village village rural tourism cultural tour rakha dipsung village khotang district known kirati heritage traditional farming surrounded hill forest offering glimpse rural himalayan life,0,0,0,0,0
sungdel,village village rural tourism trekking sungdel culturally rich village khotang home rai community known mundhum tradition dance ritual making important cultural site eastern nepal,0,0,0,0,0
sitalpati,market area urban modern attraction local visit sitalpati market town khotang district serving hub trade social interaction surrounded rural settlement reflects vibrant life region,0,0,0,0,4
chiyabari,village village rural tourism local visit chiyabari settlement eastern nepal named tea field reflects agricultural richness region tea cultivation major livelihood,0,0,0,0,0
bagapati,village village rural tourism local visit bagapati rural settlement eastern nepal surrounded terraced field forest reflects traditional farming practice community bond,0,0,0,0,0
inaruwa,municipality urban modern attraction city tour inaruwa district headquarters sunsari bustling town administrative office market cultural diversity inaruwa serf gateway koshi tappu wildlife reserve fertile terai plain,0,0,0,0,4
halesi tole,religious area cultural religious site pilgrimage halesi tole settlement near famous halesi mahadev temple khotang spiritual hub pilgrim gather reflecting hindu buddhist kirati tradition,0,0,0,0,6
badahara,village village rural tourism local visit badahara rural settlement sunsari district surrounded fertile plain reflects terai lifestyle agriculture main occupation,0,0,0,0,0
barchhawa,village village rural tourism local visit barchhawa village sunsari known farming community cultural diversity surrounded field river offering peaceful rural environment,0,0,0,0,0
madhesa,village village rural tourism local visit madhesa settlement sunsari district reflecting agricultural richness terai culturally diverse serf hub local trade,0,0,0,0,0
chandbela,village village rural tourism local visit chandbela rural settlement sunsari surrounded fertile land reflects traditional farming practice community life terai,0,0,0,0,0
gaighat,cultural rural cultural religious site sightseeing local walk gaighat headquarters udayapur district busy town administrative office market cultural diversity gaighat serf gateway koshi river nearby hill,0,0,0,0,6
valaya danda,cultural rural cultural religious site sightseeing local walk valaya danda hilltop settlement eastern nepal offering panoramic view valley mountain often visited cultural gathering festival making scenic spiritual site,0,0,0,0,6
jalpachilaune,cultural rural cultural religious site sightseeing local walk jalpachilaune rural settlement eastern nepal surrounded fertile plain agricultural field reflects terai lifestyle farming main occupation strong community tradition,0,0,0,0,6
beldovan waterfalls,natural cultural cultural religious site sightseeing local walk beldovan waterfall natural attraction udayapur district cascading beautifully amidst lush greenery popular picnic hiking spot offering refreshing scenery tranquil environment,0,0,0,0,6
murkuchi bazar,cultural rural cultural religious site sightseeing local walk murkuchi bazar local market hub udayapur villager gather trade social interaction known vibrant atmosphere serf center agricultural exchange,0,0,0,0,6
triyuga bridge,cultural rural cultural religious site sightseeing local walk triyuga bridge span triyuga river udayapur district important transport link connecting rural community market also offering scenic view river valley,0,0,0,0,6
rauta,cultural rural cultural religious site sightseeing local walk rauta culturally significant site udayapur known rauta lake pilgrimage destination hindu lake surrounded forest hill making spiritual natural attraction,0,0,0,0,6
pipra,cultural rural cultural religious site sightseeing local walk pipra rural settlement terai plain known fertile land farming community reflects traditional agricultural practice cultural diversity,0,0,0,0,6
saptakoshi,cultural rural cultural religious site sightseeing local walk saptakoshi seven river nepal largest river system formed tributary himalaya vital irrigation hydropower biodiversity revered local culture sacred river,0,0,0,0,6
odraha,cultural rural cultural religious site sightseeing local walk odraha settlement udayapur district surrounded agricultural field forest reflects rural charm eastern nepal farming main livelihood,0,0,0,0,6
sakhubani,cultural rural cultural religious site sightseeing local walk sakhubani village udayapur known farming community cultural tradition surrounded fertile plain river offering peaceful environment,0,0,0,0,6
laxminarayan temple,natural cultural cultural religious site sightseeing photography pilgrimage laxminarayan temple hindu shrine dedicated lord vishnu located udayapur important pilgrimage site especially festival reflects spiritual heritage region,0,0,0,0,6
fatepur,cultural rural cultural religious site sightseeing local walk fatepur settlement udayapur district serving local market hub culturally diverse surrounded fertile land making important center trade agriculture,0,0,0,0,6
sirwani,cultural rural cultural religious site sightseeing local walk sirwani rural settlement udayapur surrounded hill forest reflects traditional farming practice kirati culture offering glimpse himalayan village life,0,0,0,0,6
sundarpur,cultural rural cultural religious site sightseeing local walk sundarpur town sunsari district located terai plain known agricultural productivity cultural diversity serving growing commercial hub,0,0,0,0,6
bakdhauwa,cultural rural cultural religious site sightseeing local walk bakdhauwa rural settlement udayapur surrounded fertile plain reflects terai lifestyle farming main occupation strong community bond,0,0,0,0,6
jandaul,cultural rural cultural religious site sightseeing local walk jandaul village udayapur district known agricultural field traditional practice peaceful settlement cultural diversity,0,0,0,0,6
mohanpur,cultural rural cultural religious site sightseeing local walk mohanpur rural settlement udayapur surrounded fertile land river reflects traditional farming lifestyle community tradition,0,0,0,0,6
mahuli waterfall,natural cultural cultural religious site sightseeing local walk mahuli waterfall natural attraction udayapur cascading amidst forest hill popular destination local visitor seeking natural beauty relaxation,0,0,0,0,6
harna river,cultural rural cultural religious site sightseeing local walk harna river flow udayapur district supporting agriculture local livelihood important water source add scenic beauty region,0,0,0,0,6
krishnasavaran (marauti) temple,natural cultural cultural religious site sightseeing photography pilgrimage krishnasavaran temple also called marauti temple hindu shrine dedicated lord krishna spiritual center local community especially janmashtami festival,0,0,0,0,6
terahauta,cultural rural cultural religious site sightseeing local walk terahauta rural settlement udayapur surrounded fertile plain forest reflects traditional farming practice cultural diversity,0,0,0,0,6
lohajara,cultural rural cultural religious site sightseeing local walk lohajara village udayapur district known agricultural lifestyle community tradition surrounded field river offering peaceful rural environment,0,0,0,0,6
bengari,cultural rural cultural religious site sightseeing local walk bengari rural settlement saptari district located fertile terai plain eastern nepal primarily agricultural community rice wheat maize cultivation forming backbone local livelihood,0,0,0,0,6
theliya,cultural rural cultural religious site sightseeing local walk theliya village saptari surrounded farmland traditional home reflects terai lifestyle farming trade sustain community,0,0,0,0,6
dhodhanpur,cultural rural cultural religious site sightseeing local walk dhodhanpur settlement saptari district known agricultural productivity peaceful village strong community tie cultural tradition,0,0,0,0,6
kamalpur,cultural rural cultural religious site sightseeing local walk kamalpur rural settlement terai surrounded fertile land river known farming community traditional practice,0,0,0,0,6
nargho,cultural rural cultural religious site sightseeing local walk nargho village saptari district reflecting agricultural richness terai culturally diverse farming main occupation,0,0,0,0,6
fakira,cultural rural cultural religious site sightseeing local walk fakira rural settlement saptari surrounded field forest reflects traditional farming lifestyle community bond,0,0,0,0,6
birpur barahi,cultural rural cultural religious site sightseeing local walk birpur barahi culturally significant site saptari known barahi temple dedicated goddess barahi local pilgrimage destination especially festival,0,0,0,0,6
inarwa,cultural rural cultural religious site sightseeing local walk inarwa settlement saptari district serving local market hub surrounded fertile land reflects vibrant life terai,0,0,0,0,6
gobargada,cultural rural cultural religious site sightseeing local walk gobargada rural settlement saptari known farming community surrounded agricultural field river offering peaceful environment,0,0,0,0,6
barsain,cultural rural cultural religious site sightseeing local walk barsain culturally rich village saptari famous chhath festival celebration spiritual hub devotee gather worship sun god pond river,0,0,0,0,6
koiladi,cultural rural cultural religious site sightseeing local walk koiladi rural settlement saptari district reflecting traditional farming practice surrounded fertile plain forest offering glimpse terai village life,0,0,0,0,6
deehibar temple at kusha,natural cultural cultural religious site sightseeing photography pilgrimage deehibar temple kusha hindu shrine dedicated lord shiva local pilgrimage site devotee gather festival like shivaratri reflecting spiritual tradition region,0,0,0,0,6
dalwa park,natural cultural cultural religious site sightseeing local walk dalwa park community park saptari serving recreational space local surrounded greenery often used cultural event gathering,0,0,0,0,6
sakarpura,cultural rural cultural religious site sightseeing local walk sakarpura rural settlement saptari surrounded fertile land reflects traditional farming lifestyle community tradition,0,0,0,0,6
bishahariya,cultural rural cultural religious site sightseeing local walk bishahariya culturally significant site saptari known bishahariya temple pilgrimage destination devotee worship festival adding spiritual heritage district,0,0,0,0,6
deurimaruwa,cultural rural cultural religious site sightseeing local walk deurimaruwa rural settlement saptari surrounded field forest reflects agricultural lifestyle terai farming main occupation,0,0,0,0,6
farseth,cultural rural cultural religious site sightseeing local walk farseth village saptari district known farming community cultural diversity surrounded fertile plain offering peaceful rural environment,0,0,0,0,6
rajbiraj,cultural rural cultural religious site sightseeing local walk rajbiraj headquarters saptari district one oldest planned town nepal designed grid pattern bustling urban center administrative office market temple cultural diversity,0,0,0,0,6
didhawa,cultural rural cultural religious site sightseeing local walk didhawa rural settlement saptari surrounded fertile land river reflects traditional farming practice community bond offering glimpse terai village life,0,0,0,0,6
pakari,cultural rural cultural religious site sightseeing local walk pakari rural settlement siraha district located fertile terai plain primarily agricultural community rice wheat cultivation forming backbone local livelihood,0,0,0,0,6
maleth,cultural rural cultural religious site sightseeing local walk maleth culturally significant village saptari district known strong community tradition agricultural productivity reflecting terai lifestyle,0,0,0,0,6
basbiti,cultural rural cultural religious site sightseeing local walk basbiti rural settlement surrounded fertile field represents simple charm terai village farming local trade sustain community,0,0,0,0,6
rayapur,cultural rural cultural religious site sightseeing local walk rayapur village siraha district known farming community cultural diversity surrounded agricultural land river offering peaceful environment,0,0,0,0,6
hariharpur,cultural rural cultural religious site sightseeing local walk hariharpur settlement terai named lord harihar form vishnu shiva culturally significant temple festival celebrated local population,0,0,0,0,6
prasabani,cultural rural cultural religious site sightseeing local walk prasabani rural settlement siraha district reflecting traditional farming practice surrounded fertile plain forest offering glimpse terai village life,0,0,0,0,6
lahan,cultural rural cultural religious site sightseeing local walk lahan bustling town siraha district located along highway major commercial hub hospital school market serving surrounding village lahan also known cultural diversity growing urban development,0,0,0,0,4
govindpur taregana,cultural rural cultural religious site sightseeing local walk govindpur taregana settlement siraha district known agricultural productivity reflects terai lifestyle farming main livelihood strong community tradition,0,0,0,0,6
chure mai mandir,cultural rural cultural religious site sightseeing photography pilgrimage chure mai mandir hindu temple located near chure hill local pilgrimage site dedicated goddess mai attracting devotee festival religious gathering,0,0,0,0,6
hardiya,cultural rural cultural religious site sightseeing local walk hardiya rural settlement siraha district surrounded fertile land reflects traditional farming practice community bond offering glimpse terai life,0,0,0,0,6
kushaha,cultural rural cultural religious site sightseeing local walk kushaha settlement siraha known agricultural field cultural diversity peaceful village strong community tradition,0,0,0,0,6
pansera,cultural rural cultural religious site sightseeing local walk pansera rural settlement siraha district surrounded fertile plain reflects terai agricultural lifestyle farming main occupation,0,0,0,0,6
khojpur,cultural rural cultural religious site sightseeing local walk khojpur village siraha district known farming community cultural heritage surrounded field river offering peaceful environment,0,0,0,0,6
banarjhula,cultural rural cultural religious site sightseeing local walk banarjhula rural settlement siraha reflecting traditional farming practice surrounded fertile land forest making charming terai village,0,0,0,0,6
malhanama,cultural rural cultural religious site sightseeing local walk malhanama settlement siraha district known agricultural productivity reflects terai lifestyle farming local trade sustaining community,0,0,0,0,6
haripur,cultural rural cultural religious site sightseeing local walk haripur town siraha district serving local market hub culturally diverse surrounded fertile land making important center trade agriculture,0,0,0,0,6
tikuliya,cultural rural cultural religious site sightseeing local walk tikuliya rural settlement siraha surrounded field river reflects traditional farming practice community bond offering glimpse terai village life,0,0,0,0,6
sakhuwanankarkatti,cultural rural cultural religious site sightseeing local walk sakhuwanankarkatti rural settlement siraha district located fertile terai plain primarily agricultural community rice wheat cultivation forming backbone local livelihood,0,0,0,0,6
itarhawa,cultural rural cultural religious site sightseeing local walk itarhawa village siraha surrounded farmland traditional home reflects terai lifestyle farming trade sustain community,0,0,0,0,6
nahara rigoul,cultural rural cultural religious site sightseeing local walk nahara rigoul settlement siraha district known agricultural productivity peaceful village strong community tie cultural tradition,0,0,0,0,6
bhagwanpur,cultural rural cultural religious site sightseeing local walk bhagwanpur culturally diverse settlement siraha named bhagwan god home temple shrine serve center local religious life,0,0,0,0,6
geruwaha,cultural rural cultural religious site sightseeing local walk geruwaha rural settlement siraha surrounded fertile plain reflects traditional farming practice community bond offering glimpse terai village life,0,0,0,0,6
sothiyan,cultural rural cultural religious site sightseeing local walk sothiyan village siraha district known farming community surrounded agricultural field river offering peaceful environment,0,0,0,0,6
mauwahi,cultural rural cultural religious site sightseeing local walk mauwahi rural settlement siraha reflecting agricultural richness terai culturally diverse farming main occupation,0,0,0,0,6
kachanari,cultural rural cultural religious site sightseeing local walk kachanari settlement siraha district surrounded fertile land reflects traditional farming lifestyle community tradition,0,0,0,0,6
navarajpur,cultural rural cultural religious site sightseeing local walk navarajpur rural municipality siraha district comprising several village known agricultural productivity cultural diversity strong community tradition,0,0,0,0,6
majhaura,cultural rural cultural religious site sightseeing local walk majhaura village siraha surrounded field forest reflects traditional farming practice community bond offering glimpse terai life,0,0,0,0,6
janakinagar,cultural rural cultural religious site sightseeing local walk janakinagar settlement named goddess janaki sita reflecting hindu cultural heritage home temple shrine making spiritually significant,0,0,0,0,6
bariyarpatti,cultural rural cultural religious site sightseeing local walk bariyarpatti culturally rich village siraha district known diverse community agricultural lifestyle surrounded fertile plain river,0,0,0,0,6
tenuwapatti,cultural rural cultural religious site sightseeing local walk tenuwapatti rural settlement siraha reflecting traditional farming practice surrounded field forest offering peaceful environment,0,0,0,0,6
gadha,cultural rural cultural religious site sightseeing local walk gadha village siraha district known farming community cultural tradition surrounded fertile land river,0,0,0,0,6
aurahi,village culture village rural tourism village walk homestay aurahi rural municipality siraha district comprising several village known agricultural productivity cultural diversity strong community tradition,0,0,1,1,2
aurahi minor shrine,temple local offbeat cultural religious site worship photography short walk aurahi minor shrine local religious site aurahi dedicated hindu deity serf spiritual center nearby community especially festival,1,0,1,0,1
baba haridwar dham,temple pilgrimage hindu cultural cultural religious site worship pilgrimage photography cultural tour baba haridwar dham hindu pilgrimage site siraha modeled holy city haridwar india spiritual hub devotee gather worship ritual,1,0,1,0,1
baba taal,lake pilgrimage nature natural attraction boating birdwatching photography baba taal sacred pond siraha district associated local legend religious ritual visited devotee festival serf peaceful natural site,1,0,1,0,1
barhathwa heritage street,historical heritage local culture cultural religious site sightseeing photography local exploration cultural tour barhathwa heritage street culturally significant area siraha known traditional house temple community space reflects historical cultural richness terai region,1,0,1,0,1
bharat lake,lake nature natural attraction boating picnicking bharat lake located sarlahi district one nepal largest lake popular destination boating picnic local tourism surrounded greenery offering peaceful environment visitor,0,0,0,0,4
birgunj heritage sites,historical heritage architecture cultural cultural religious site cultural tour photography historical exploration birgunj major trade city parsa district rich cultural historical landmark heritage site include old temple traditional marketplace structure reflect city importance gateway india,1,0,1,0,1
chhath ghat (sunsari),religious river festival cultural natural attraction festival celebration worship photography local culture chhath ghat sunsari sacred riverbank devotee gather chhath festival worship sun god becomes vibrant ritual offering cultural celebration reflecting terai tradition,0,0,1,0,3
chhinnamasta riverbank areas,river nature scenic natural attraction sightseeing photography birdwatching picnic riverbank near chhinnamasta saptari culturally significant serving gathering place festival ritual also scenic spot local engage daily activity like fishing farming,1,0,1,0,1
chhinnamasta temple,religious spiritual cultural religious site pilgrimage festival chhinnamasta temple saptari dedicated goddess chhinnamasta fierce form shakti one important pilgrimage site eastern terai attracting devotee nepal india,1,0,1,0,1
chhireshwor temple,temple pilgrimage hindu cultural religious site worship pilgrimage photography local festival chhireshwor temple dhanusha district hindu shrine dedicated lord shiva local pilgrimage site especially crowded maha shivaratri reflecting spiritual tradition region,1,0,1,0,1
chitwan–parsa elephant corridor,wildlife conservation wildlife conservation wildlife photography elephant corridor vital wildlife passage connecting chitwan national park parsa wildlife reserve allows elephant specie migrate safely supporting biodiversity conservation effort,0,0,1,1,5
chure hills (eastern belt),nature hiking natural attraction short hike photography chure hill stretch across nepal midland forming natural barrier terai hill region eastern belt rich forest river biodiversity playing crucial role water conservation ecology,1,0,1,0,1
dhanushadham (dhanusha),religious mythical cultural religious site pilgrimage sightseeing dhanushadham sacred hindu site dhanusha district believed fragment lord rama bow fell ramayana era major pilgrimage destination especially makar sankranti,1,0,1,1,5
dhobi tole (janakpur),cultural historic cultural religious site photography cultural walk dhobi tole janakpur historic neighborhood known traditional mithila culture home artisan temple vibrant community life reflecting janakpur heritage,0,0,1,1,5
gadhi mai forest area,nature natural attraction nature walk bird watching gadhi mai forest area bara district surround famous gadhimai temple natural space cultural significance often visited pilgrim local festival,1,0,1,0,1
gadhi mai temple (bara),religious fair cultural religious site pilgrimage cultural fair gadhimai temple bara district dedicated goddess gadhimai one nepal famous temple historically known animal sacrifice gadhimai mela though practice changing recent year,1,0,1,1,5
gadhimai mela ground,cultural festival cultural religious site festival gathering cultural tourism gadhimai mela ground site massive gadhimai festival attracts hundred thousand devotee nepal india one largest religious gathering terai,0,0,1,1,5
gamhariya village,cultural village local life cultural religious site cultural tour photography local interaction traditional food gamhariya rural settlement bara district reflecting traditional farming practice community life surrounded fertile plain river offering glimpse terai village culture,1,0,1,0,1
gaur,historical cultural city cultural religious site sightseeing heritage walk gaur headquarters rautahat district located near border bustling town market administrative office cultural diversity serving hub trade governance,1,0,1,0,1
gaur (rautahat) heritage sites,historical cultural cultural religious site heritage walk photography heritage site gaur include old temple shrine traditional marketplace landmark reflect cultural richness rautahat historical importance border town,1,0,1,0,1
gaurighat temple,temple pilgrimage hindu cultural religious site worship pilgrimage cultural experience photography gaurighat temple hindu shrine dedicated goddess gauri local pilgrimage site devotee gather festival adding spiritual heritage terai,1,0,1,0,1
hariharpur village,cultural village local life cultural religious site cultural tour local experience photography homestay hariharpur rural settlement bara district named lord harihar form vishnu shiva known cultural tradition agricultural lifestyle,1,0,1,0,1
jagdamba temple,religious spiritual cultural religious site pilgrimage local ritual jagdamba temple hindu shrine terai dedicated goddess jagdamba spiritual center local community especially navaratri festival,1,0,1,0,1
jaleshwar dham,religious spiritual cultural religious site pilgrimage local festival jaleshwar dham mahottari district famous hindu pilgrimage site dedicated lord shiva one important temple terai attracting thousand devotee shivaratri religious occasion,1,0,1,0,1
jaleshwor mahadev temple,temple pilgrimage hindu cultural religious site worship pilgrimage photography cultural experience located mahottari district jaleshwor mahadev temple revered hindu shrine dedicated lord shiva believed lingam making sacred pilgrimage site especially maha shivaratri,1,0,1,0,1
janaki temple minor complex,spiritual temple cultural religious site temple visit photography janaki temple minor complex janakpur consists smaller shrine courtyard surrounding grand janaki mandir minor temple honor deity linked ramayana adding depth spiritual atmosphere janakpur,0,0,1,0,3
janakpur dham,religious cultural cultural religious site pilgrimage sightseeing photography janakpur dham one nepal important religious cultural center associated goddess sita king janak home iconic janaki mandir vibrant mithila culture numerous festival including vivaha panchami,1,0,1,0,1
janakpur ghats,river pilgrimage cultural natural attraction sightseeing pilgrimage cultural tour photography janakpur ghat sacred bathing site along pond river devotee perform ritual chhath festival central mithila spirituality community gathering,1,0,1,0,1
kachorwa,village culture village rural tourism village walk homestay kachorwa settlement bara district known cultural diversity agricultural lifestyle surrounded fertile plain serf hub local tradition,0,0,1,1,2
kachorwa tiny ghat,river offbeat scenic natural attraction photography picnic nature walk small ghat kachorwa local religious site villager gather ritual offering reflects intimate spiritual practice rural community,1,0,1,0,1
kachorwa village,cultural village local life cultural religious site cultural tour photography local experience homestay kachorwa village culturally rich settlement bara blending farming tradition religious life home temple shrine serve community center,1,0,1,0,1
kailashnath mahadev statue,statue religious pilgrimage hindu cultural religious site sightseeing pilgrimage photography cultural experience located sanga border bhaktapur kavrepalanchok kailashnath mahadev statue one tallest shiva statue world standing foot major pilgrimage tourist attraction,1,0,1,0,1
kalyanpur ghat,river nature photography natural attraction sightseeing river walk photography birdwatching kalyanpur ghat sacred riverbank terai used ritual bathing festival like chhath spiritual gathering place local community,1,0,1,0,1
koshi barrage,nature engineering river viewpoint natural attraction photography sightseeing birdwatching picnic koshi barrage sunsari district massive dam bridge across koshi river vital irrigation flood control transport also serving scenic viewpoint,1,0,1,0,1
koshi barrage viewpoint,viewpoint nature photography natural attraction sightseeing birdwatching photography picnic viewpoint near koshi barrage offer panoramic view koshi river wetland popular among visitor birdwatching enjoying vast landscape,1,0,1,0,1
lahan / shambhunath temple,temple pilgrimage cultural cultural religious site worship pilgrimage photography cultural tour lahan siraha district bustling town nearby shambhunath temple sacred hindu site dedicated lord shiva attracts pilgrim shivaratri festival,1,0,1,0,1
laukaha border market,market trade local culture village rural tourism shopping food exploration photography cultural observation laukaha border town madhesh province serving trade hub nepal india market vibrant commerce cultural exchange local product,0,0,0,0,4
local homestays & village experiences,village cultural homestay cultural religious site cultural tour homestay experience local food photography homestays madhesh village offer authentic cultural immersion visitor experience mithila art traditional food rural hospitality highlight warmth community life,1,0,1,0,1
local seasonal festivals (remote villages),cultural festival local cultural religious site festival participation photography local experience remote village madhesh celebrate seasonal festival like chhath holi vivaha panchami unique local tradition festival strengthen community bond preserve cultural heritage,0,0,1,0,3
madhesh museum & cultural center,museum cultural heritage cultural religious site museum tour cultural exploration photography local history madhesh museum cultural center showcase history art tradition terai region preserve mithila painting artifact cultural narrative future generation,1,0,1,0,1
minor ghats & river confluences,river pilgrimage festival natural attraction festival participation photography birdwatching sightseeing smaller ghat river confluence across madhesh serve local ritual site important daily worship cremation ceremony seasonal festival,1,0,1,0,1
minor heritage sites,temple heritage historical cultural religious site sightseeing photography cultural exploration worship minor heritage site madhesh include small temple shrine historic structure reflect local craftsmanship community devotion integral preserving rural identity,1,0,1,0,1
minor village temples (sarlahi/bara/rautahat),temple local pilgrimage cultural religious site worship photography cultural tour village temple sarlahi bara rautahat district central community life host daily worship seasonal ritual festival reflecting deep spiritual tradition terai,1,0,1,0,1
mithila art sites,cultural art heritage cultural religious site art tour workshop cultural exploration mithila art site janakpur surrounding village showcase vibrant painting craft maithil people artwork depict religious story daily life cultural motif making globally recognized,0,0,0,0,6
mithila cultural park,cultural heritage art cultural religious site cultural tour photography workshop local experience mithila cultural park janakpur vibrant center showcasing art tradition heritage mithila region feature exhibition mithila painting cultural performance traditional craft making hub preserving promoting maithil identity,1,0,1,0,1
mithila painting workshop,cultural art workshop cultural religious site art workshop photography cultural tour local experience mithila painting workshop held across janakpur nearby village local artist teach traditional art form workshop allow visitor learn technique mithila painting depict religious story daily life nature bright color intricate pattern,1,0,1,0,1
parsa national park,national park wildlife safari nature natural attraction wildlife safari birdwatching nature walk photography parsa national park located central terai protected area rich biodiversity home elephant tiger leopard diverse bird specie park form part conservation landscape supporting wildlife corridor,1,0,1,0,1
pipara (historical site),historical archaeological village rural tourism sightseeing research photography pipara historical site terai associated ancient settlement cultural heritage reflects long history mithila civilization remnant old structure local legend tied past,1,0,1,0,1
rajdevi temple,temple pilgrimage hindu local culture cultural religious site worship pilgrimage photography cultural tour rajdevi temple rajbiraj saptari famous hindu shrine dedicated goddess rajdevi major pilgrimage site especially navaratri attracting devotee nepal india,1,0,1,0,1
ram janaki temple,temple pilgrimage hindu cultural religious site worship pilgrimage cultural tour photography ram janaki temple janakpur smaller shrine dedicated lord ram goddess sita complement grand janaki mandir serving spiritual site daily worship local ritual,1,0,1,0,1
raxaul / bhitthamore border,border trade urban modern attraction sightseeing trading border one busiest trade transit point nepal india connects birgunj janakpur region bihar facilitating commerce cultural exchange travel,0,0,0,0,4
raxaul border / bhitthamore market,market trade cultural border cultural religious site shopping local food cultural observation photography market near border bustling trader visitor offer good ranging agricultural produce textile reflecting vibrant economic cultural tie nepal india,0,0,0,0,4
sakhuwa mahadev temple,religious spiritual cultural religious site pilgrimage festival sakhuwa mahadev temple sarlahi district hindu shrine dedicated lord shiva local pilgrimage site especially crowded maha shivaratri reflects spiritual tradition terai,1,0,1,0,1
salhesh botanical garden,botanical nature natural attraction nature walk photography salhesh botanical garden siraha cultural natural heritage site linked legend salhesh local folk hero garden rich biodiversity host annual fair salhesh festival blending nature cultural tradition,1,0,1,0,1
sarlahi,cultural temple cultural religious site sightseeing photography sarlahi district madhesh province known fertile plain cultural diversity vibrant market home temple river agricultural community making economically culturally significant,0,0,1,1,5
sarlahi minor cultural site,culture heritage cultural religious site sightseeing photography minor cultural site sarlahi include small temple shrine village gathering place site preserve local tradition serve center festival ritual,0,0,1,0,3
shivala temple,temple pilgrimage hindu cultural religious site worship pilgrimage photography cultural experience shivala temple hindu shrine dedicated lord shiva found various terai town place daily worship community gathering reflecting deep devotion local people,1,0,1,0,1
shivala temple (dhanusha),spiritual culture cultural religious site temple visit photography shivala temple dhanusha district prominent shiva shrine attracting devotee shivaratri festival culturally significant part region spiritual landscape,0,0,1,0,3
simraungadh,historical archaeological village rural tourism sightseeing heritage walk simraungadh bara district ancient historical site capital karnat dynasty mithila region hold archaeological remains temple legend making important heritage destination,1,0,1,0,1
sirsia bird sanctuary,nature wildlife bird sanctuary natural attraction birdwatching nature walk photography sirsia bird sanctuary terai migratory local bird specie peaceful wetland area ideal birdwatching supporting biodiversity conservation,0,0,1,1,5
small wetlands & ponds (saptari/dhanusha),nature wetland birdwatching natural attraction sightseeing birdwatching photography small wetland pond scattered across saptari dhanusha district vital local ecology culture serve habitat bird fish also used ritual chhath festival,1,0,1,0,1
tharu villages,cultural village tharu cultural religious site cultural tour local festival photography tharu village terai showcase unique culture tharu people traditional mud house folk dance agricultural practice visitor experience tharu hospitality learn deep connection forest river,1,0,1,0,1
