destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,events,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1.1,hotel_location_1.1,hotel_review_short_1.1,hotel_rating_approx_1.1,hotel_price_1.1,hotel_name_2.1,hotel_location_2.1,hotel_review_short_2.1,hotel_rating_approx_2.1,hotel_price_2.1,hotel_name_3.1,hotel_location_3.1,hotel_review_short_3.1,hotel_rating_approx_3.1,hotel_price_3.1,restaurant_name_1.1,reataurant_location_name_1,restaurant_rating_1.1,restaurant_price_range_1.1,restaurant_name_2.1,reataurant_location_name_2,restaurant_rating_2.1,restaurant_price_range_2.1,restaurant_name_3.1,reataurant_location_name_3,restaurant_rating_3.1,restaurant_price_range_3.1,clean_text,kmeans_cluster,gmm_cluster,dbscan_cluster
630,gumdi,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9431° N,84.9689° E,3,"Gumdi in Dhading had a population of 5,091 in 1991. It lies at 996 meters and is surrounded by hills and valleys. The community is agricultural, with Hindu traditions dominating local culture.

","['From Kathmandu, drive south via Hetauda to reach Gumdi village.']","[{'event_name': 'Gumdi Village Cultural Day', 'venue': 'Village Grounds', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk performances and handicraft stalls.'}]",357,['Peaceful rural settlement with natural surroundings.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,gumdi gumdi dhading population lie meter surrounded hill valley community agricultural hindu tradition dominating local culture rural scenic hiking event name gumdi village cultural day venue village ground month season autumn type cultural description source folk performance handicraft stall peaceful rural settlement natural surroundings,0,0,-1
631,khaniyanbas,dhading,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.9511° N,84.9811° E,3,"Khaniyabas Rural Municipality in Dhading was established in 2017, merging several VDCs. It spans 120.8 km² and has a population of 12,749. The literacy rate is about 59%. The area is known for its scenic ridges and Tamang communities.

","['From Kathmandu, drive north via Helambu trail to Khaniyanbas village.']","[{'event_name': 'Khaniyanbas Eco & Cultural Trek', 'venue': 'Hill / Village', 'month___season': 'Summer', 'type': 'Adventure / Eco', 'description___source': 'Trekking and local folk performances.'}]",654,['Small village offering calm rural life and farmland views.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,khaniyanbas khaniyabas rural municipality dhading established merging several vdcs span km population literacy rate area known scenic ridge tamang community rural hiking event name khaniyanbas eco cultural trek venue hill village month season summer type adventure eco description source trekking local folk performance small village offering calm rural life farmland view,3,3,-1
632,satyadevi mandir,kathmandu,Oct–Dec,Religious,Cultural & Religious Sites,Pilgrimage,Easy,Road,27.6822° N,85.3194° E,3,"Satyadevi temples exist in multiple districts, including Palpa and Bhojpur. The Palpa temple is near Satyawati Lake at 1,400 meters, dedicated to the goddess Satyawati of the Magar community. Devotees shout their wishes aloud, a unique ritual tied to local belief.
","['From Kathmandu, drive northwest via Tokha and Nuwakot District to reach Satyadevi Mandir.']","[{'event_name': 'Satyadevi Mandir Mela', 'venue': 'Temple Grounds', 'month___season': 'March', 'type': 'Religious / Cultural', 'description___source': 'Devotional rituals and folk performances.'}]",321,['Hilltop temple attracting local devotees.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,satyadevi mandir satyadevi temple exist multiple district including palpa bhojpur palpa temple near satyawati lake meter dedicated goddess satyawati magar community devotee shout wish aloud unique ritual tied local belief religious pilgrimage event name satyadevi mandir mela venue temple ground month season march type religious cultural description source devotional ritual folk performance hilltop temple attracting local devotee,4,4,5
633,kintang,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9578° N,84.9811° E,3,"Kintang in Nuwakot had a population of 2,204 in 1991. It is a hillside settlement with terraced farming and traditional houses. The community is small but culturally rich, reflecting the rural life of central Nepal.

","['From Kathmandu, drive north via Helambu and Melamchi Valley to Kintang village.']","[{'event_name': 'Kintang Highland Trek & Cultural Festival', 'venue': 'Hill / Village', 'month___season': 'Autumn', 'type': 'Adventure / Cultural', 'description___source': 'Trekking with folk performances and handicrafts.'}]",987,['Village with agricultural lands and panoramic views.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,kintang kintang nuwakot population hillside settlement terraced farming traditional house community small culturally rich reflecting rural life central nepal rural scenic hiking event name kintang highland trek cultural festival venue hill village month season autumn type adventure cultural description source trekking folk performance handicraft village agricultural land panoramic view,3,3,-1
634,salme,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9656° N,84.9733° E,3,"Salme in Nuwakot had 1,678 residents in 1991. It is a quiet village with traditional houses and terraced fields. Documentaries highlight its Magar and Tamang traditions, making it a culturally vibrant settlement.","['From Kathmandu, drive north via Helambu trail to reach Salme village.']","[{'event_name': 'Salme Village Cultural Festival', 'venue': 'Village Grounds', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk performances and handicraft exhibitions.'}]",654,['Remote settlement with natural surroundings and tranquility.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,salme salme nuwakot resident quiet village traditional house terraced field documentary highlight magar tamang tradition making culturally vibrant settlement rural scenic hiking event name salme village cultural festival venue village ground month season spring type cultural description source folk performance handicraft exhibition remote settlement natural surroundings tranquility,0,0,-1
635,kaule,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9572° N,84.9689° E,3,"Kaule in Nuwakot had 2,976 residents in 1991. It lies near Kakani and Dharmasthali, surrounded by fertile valleys. The community is agricultural, with maize and millet as staples.","['From Kathmandu, drive north via Helambu trail to Kaule village.']","[{'event_name': 'Kaule Highland Trek & Cultural Day', 'venue': 'Trek / Village', 'month___season': 'Autumn', 'type': 'Adventure / Cultural', 'description___source': 'Trekking with local folk performances.'}]",136,['Rural village with traditional lifestyle and farming.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,kaule kaule nuwakot resident lie near kakani dharmasthali surrounded fertile valley community agricultural maize millet staple rural scenic hiking event name kaule highland trek cultural day venue trek village month season autumn type adventure cultural description source trekking local folk performance rural village traditional lifestyle farming,3,3,-1
636,jibjibe,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9500° N,84.9656° E,3,"Jibjibe in Rasuwa had 4,944 residents in 1991. It lies south of Langtang National Park and is a gateway for treks. The village offers valley views and Tamang hospitality, making it a cultural stop for trekkers.
","['From Kathmandu, drive north via Helambu trail to Jibjibe village.']","[{'event_name': 'Jibjibe Highland Eco & Cultural Day', 'venue': 'Hill / Village', 'month___season': 'Summer', 'type': 'Eco / Cultural', 'description___source': 'Trekking, folk performances, and environmental awareness.'}]",250,['Small village surrounded by hills and farmland.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,jibjibe jibjibe rasuwa resident lie south langtang national park gateway trek village offer valley view tamang hospitality making cultural stop trekker rural scenic hiking event name jibjibe highland eco cultural day venue hill village month season summer type eco cultural description source trekking folk performance environmental awareness small village surrounded hill farmland,3,3,-1
637,bhorle,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9467° N,84.9639° E,3,"Bhorle in Rasuwa had 4,884 residents in 1991. It lies at 1,023 meters and is surrounded by Laharepauwa and Kharanitar. The community is agricultural, with Hindu traditions shaping its cultural life.

","['From Kathmandu, drive south via Hetauda and Makwanpur District to reach Bhorle.']","[{'event_name': 'Bhorle Village Cultural Festival', 'venue': 'Village Grounds', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk music, dances, and handicraft exhibitions.'}]",350,['Peaceful rural area with agricultural lands.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,bhorle bhorle rasuwa resident lie meter surrounded laharepauwa kharanitar community agricultural hindu tradition shaping cultural life rural scenic hiking event name bhorle village cultural festival venue village ground month season autumn type cultural description source folk music dance handicraft exhibition peaceful rural area agricultural land,0,0,-1
638,jharlang,dhading,Oct–Dec,"Rural, Scenic",Natural Attractions,Hiking,Moderate,Road,27.9433° N,84.9622° E,3,"Jharlang in Dhading had 3,891 residents in 1991. It is a Buddhist Tamang village, but also known for landslides like the Jharlang Pairo. The area reflects resilience amid geological challenges.
","['From Kathmandu, drive south via Hetauda and Makwanpur District to Jharlang.']","[{'event_name': 'Jharlang Highland Cultural Festival', 'venue': 'Hill / Village Grounds', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk performances and handicraft stalls.'}]",330,['Village with access to trekking and natural landscapes.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,jharlang jharlang dhading resident buddhist tamang village also known landslide like jharlang pairo area reflects resilience amid geological challenge rural scenic hiking event name jharlang highland cultural festival venue hill village ground month season spring type cultural description source folk performance handicraft stall village access trekking natural landscape,3,3,-1
639,hetauda,makwanpur,Oct–Dec,"Urban, Historic",Urban & Modern Attractions,Sightseeing,Easy,Road,27.4100° N,85.0294° E,3,"Hetauda is a sub-metropolitan city in Makwanpur District, with a population of 193,576 in 2021. Known as the “Green City,” it lies at 345 meters and is a hub for trade, industry, and culture. Attractions include Bhutandevi Temple, Kushmanda Sarowar, and Triveni Dham.

","['From Kathmandu, drive south via Mugling Highway to reach Hetauda city.']","[{'event_name': 'Hetauda Cultural & Eco Week', 'venue': 'Town Square / Hill', 'month___season': 'Summer', 'type': 'Cultural / Eco', 'description___source': 'Folk performances, handicrafts, and environmental awareness programs.'}]",700,['Industrial city surrounded by hills and rivers.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,hetauda hetauda sub metropolitan city makwanpur district population known green city lie meter hub trade industry culture attraction include bhutandevi temple kushmanda sarowar triveni dham urban historic sightseeing event name hetauda cultural eco week venue town square hill month season summer type cultural eco description source folk performance handicraft environmental awareness program industrial city surrounded hill river,1,1,-1
640,sukaura,makwanpur,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.4000° N,85.0200° E,3,"Sukaura in Makwanpur had 2,836 residents in 1991. It lies at 1,085 meters in Makwanpurgadhi Rural Municipality. The community is agricultural, with terraced fields and traditional houses.","['From Kathmandu, drive south via Hetauda to Sukaura village.']","[{'event_name': 'Sukaura Highland Trek & Festival', 'venue': 'Hill / Trek Base', 'month___season': 'Autumn', 'type': 'Adventure / Cultural', 'description___source': 'Trekking and folk performances.'}]",750,['Quiet village in the hills with serene surroundings.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,sukaura sukaura makwanpur resident lie meter makwanpurgadhi rural municipality community agricultural terraced field traditional house rural hiking event name sukaura highland trek festival venue hill trek base month season autumn type adventure cultural description source trekking folk performance quiet village hill serene surroundings,3,3,-1
641,lattaramveshwar mahadev temple,makwanpur,Oct–Dec,Religious,Cultural & Religious Sites,Pilgrimage,Easy,Road,27.4200° N,85.0400° E,3,"Located in Makwanpur’s Bhimphedi area, this Shiva temple sits at 2,700 meters. It is reached by a steep hike and offers panoramic views of Kathmandu Valley. The temple is a growing pilgrimage site, known for its spiritual significance and scenic setting.
","['From Kathmandu, drive south via Hetauda and Makwanpur District to reach Lattaramveshwar Mahadev Temple.']","[{'event_name': 'Lattaramveshwar Temple Mela', 'venue': 'Temple Grounds', 'month___season': 'March', 'type': 'Religious / Cultural', 'description___source': 'Devotional rituals and folk performances.'}]",1000,['Hilltop temple dedicated to Lord Shiva.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,lattaramveshwar mahadev temple located makwanpur bhimphedi area shiva temple sits meter reached steep hike offer panoramic view kathmandu valley temple growing pilgrimage site known spiritual significance scenic setting religious pilgrimage event name lattaramveshwar temple mela venue temple ground month season march type religious cultural description source devotional ritual folk performance hilltop temple dedicated lord shiva,4,4,5
642,ichankhu narayan,kathmandu,Oct–Dec,Religious,Cultural & Religious Sites,Pilgrimage,Easy,Road,27.6878° N,85.3242° E,3,"Ichangu Narayan Temple near Swayambhunath in Kathmandu is dedicated to Vishnu. Built around AD 1200 in pagoda style, it is one of the valley’s four Narayan temples. The site features Garuda statues and Vaishnavite symbols, and was restored after the 2015 earthquake.
","['From Kathmandu, drive northeast to Ichankhu Narayan village near Bhaktapur.']","[{'event_name': 'Ichankhu Narayan Temple Festival', 'venue': 'Temple Grounds', 'month___season': 'April', 'type': 'Religious / Cultural', 'description___source': 'Rituals and folk performances.'}]",980,['Historical temple complex near Kathmandu Valley.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,ichankhu narayan ichangu narayan temple near swayambhunath kathmandu dedicated vishnu built around ad pagoda style one valley four narayan temple site feature garuda statue vaishnavite symbol restored earthquake religious pilgrimage event name ichankhu narayan temple festival venue temple ground month season april type religious cultural description source ritual folk performance historical temple complex near kathmandu valley,4,4,5
643,harnamadi,dhading,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.9394° N,84.9600° E,3,"Harnamadi in Makwanpur is part of Hetauda Submetropolitan City. It had 5,318 residents in 1991. The area includes sites like Gumbadanda and Goraksha Tal. Historically, it was tied to battles during Nepal’s unification under Prithvi Narayan Shah.","['From Kathmandu, drive north via Helambu and Melamchi Valley to reach Harnamadi village.']","[{'event_name': 'Harnamadi Village Cultural Day', 'venue': 'Village Grounds', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk music, dances, and handicrafts.'}]",900,['Small village with peaceful natural surroundings.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,harnamadi harnamadi makwanpur part hetauda submetropolitan city resident area includes site like gumbadanda goraksha tal historically tied battle nepal unification prithvi narayan shah rural hiking event name harnamadi village cultural day venue village ground month season spring type cultural description source folk music dance handicraft small village peaceful natural surroundings,0,0,-1
644,shreepur chhatiwan,makwanpur,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.4300° N,85.0500° E,3,"Shreepur Chhatiwan lies in Makwanpur District, Bagmati Province, and is part of Chhatiwan Rural Municipality. It is a growing settlement with fertile plains and hilly terrain, serving as a hub for agriculture and trade. The area is known for its mixed communities and its role as a gateway between Hetauda and the eastern hills.","['From Kathmandu, drive south via Hetauda and Makwanpur District to reach Shreepur Chhatiwan.']","[{'event_name': 'Shreepur Chhatiwan Eco & Cultural Day', 'venue': 'Hill / Village', 'month___season': 'Summer', 'type': 'Eco / Cultural', 'description___source': 'Trekking, folk performances, and environmental awareness.'}]",500,['Rural settlement with agricultural landscape.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,shreepur chhatiwan shreepur chhatiwan lie makwanpur district bagmati province part chhatiwan rural municipality growing settlement fertile plain hilly terrain serving hub agriculture trade area known mixed community role gateway hetauda eastern hill rural hiking event name shreepur chhatiwan eco cultural day venue hill village month season summer type eco cultural description source trekking folk performance environmental awareness rural settlement agricultural landscape,3,3,-1
645,gundu,kathmandu,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.6700° N,85.3300° E,3,"Gundu is a historic village in Bhaktapur District, famous for its traditional Newar culture and temples. It is surrounded by fertile fields and lies close to Bhaktapur city. The settlement preserves ancient architecture and festivals, making it a culturally rich destination.","['From Kathmandu, drive south via Hetauda to reach Gundu village.']","[{'event_name': 'Gundu Village Cultural Festival', 'venue': 'Village Grounds', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk music, dances, and handicrafts.'}]",600,['Suburban area near Kathmandu with cultural and natural attractions.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,gundu gundu historic village bhaktapur district famous traditional newar culture temple surrounded fertile field lie close bhaktapur city settlement preserve ancient architecture festival making culturally rich destination rural hiking event name gundu village cultural festival venue village ground month season autumn type cultural description source folk music dance handicraft suburban area near kathmandu cultural natural attraction,0,0,-1
646,manthali,ramechhap,Oct–Dec,Urban,Urban & Modern Attractions,Sightseeing,Easy,Road,27.3333° N,86.0500° E,3,"Manthali is the headquarters of Ramechhap District in Bagmati Province. Situated along the Tamakoshi River, it is a bustling town with administrative offices, schools, and markets. Manthali is also known as the gateway for flights to Lukla during peak trekking seasons, making it strategically important for tourism.","['From Kathmandu, drive southeast via Ramechhap and Dolakha District to reach Manthali town.']","[{'event_name': 'Manthali Highland Cultural Day', 'venue': 'Village Grounds', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk performances and handicraft exhibitions.'}]",369,['District headquarters with town facilities and rural surroundings.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,manthali manthali headquarters ramechhap district bagmati province situated along tamakoshi river bustling town administrative office school market manthali also known gateway flight lukla peak trekking season making strategically important tourism urban sightseeing event name manthali highland cultural day venue village ground month season spring type cultural description source folk performance handicraft exhibition district headquarters town facility rural surroundings,1,1,-1
647,asrang,ramechhap,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.3200° N,86.0400° E,3,"Asrang is a rural settlement in Lalitpur District, located in the southern hills. It is known for its terraced fields, traditional houses, and Buddhist and Hindu shrines. The area is culturally diverse, with Tamang and Newar communities shaping its traditions.","['From Kathmandu, drive southeast via Ramechhap District to Asrang village.']","[{'event_name': 'Asrang Eco & Cultural Trek', 'venue': 'Hill / Village', 'month___season': 'Summer', 'type': 'Adventure / Eco', 'description___source': 'Trekking and folk performances.'}]",700,['Quiet village with traditional lifestyle and scenic views.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,asrang asrang rural settlement lalitpur district located southern hill known terraced field traditional house buddhist hindu shrine area culturally diverse tamang newar community shaping tradition rural hiking event name asrang eco cultural trek venue hill village month season summer type adventure eco description source trekking folk performance quiet village traditional lifestyle scenic view,3,3,-1
648,chamere cave,ramechhap,Oct–Dec,Natural,Village & Rural Tourism,"Caving, Hiking",Challenging,Trail,27.3100° N,86.0300° E,3,"Chamere Cave, also called Bat Cave, is located in Pokhara, Kaski District. It is one of Nepal’s largest caves, stretching over 200 meters. The cave is home to thousands of bats and is a popular tourist attraction, offering adventurous exploration with narrow passages and limestone formations.","['From Kathmandu, drive south via Hetauda and Makwanpur District to reach Chamere Cave.']","[{'event_name': 'Chamere Cave Highland Festival', 'venue': 'Cave / Hill', 'month___season': 'Autumn', 'type': 'Adventure / Cultural', 'description___source': 'Trekking, folk performances, and local handicrafts.'}]",500,['Natural cave known for exploration and local legends.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,chamere cave chamere cave also called bat cave located pokhara kaski district one nepal largest cave stretching meter cave home thousand bat popular tourist attraction offering adventurous exploration narrow passage limestone formation natural caving hiking event name chamere cave highland festival venue cave hill month season autumn type adventure cultural description source trekking folk performance local handicraft natural cave known exploration local legend,2,2,21
649,gotikhel,kathmandu,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.6600° N,85.3400° E,3,"Gotikhel in Lalitpur District is a small town known for its agricultural fields and traditional lifestyle. It lies along the road connecting southern Lalitpur villages and serves as a local market hub. The community is primarily Newar, with festivals and rituals tied to Kathmandu Valley traditions.","['From Kathmandu, drive south via Godawari and Chapagaun to reach Gotikhel village.']","[{'event_name': 'Gotikhel Village Cultural Festival', 'venue': 'Village Grounds', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk music, dances, and handicraft exhibitions.'}]",400,"['Village with hills, trekking paths, and cultural heritage.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,gotikhel gotikhel lalitpur district small town known agricultural field traditional lifestyle lie along road connecting southern lalitpur village serf local market hub community primarily newar festival ritual tied kathmandu valley tradition rural hiking event name gotikhel village cultural festival venue village ground month season spring type cultural description source folk music dance handicraft exhibition village hill trekking path cultural heritage,0,0,-1
650,koteshwor,kathmandu,Oct–Dec,Religious,Cultural & Religious Sites,Pilgrimage,Moderate,Road,27.6500° N,85.3500° E,3,"Koteshwor is a major urban hub in Kathmandu, located at the junction of the Arniko Highway and Ring Road. It is a bustling commercial and residential area, with shopping centers, schools, and hospitals. Historically, Koteshwor Mahadev Temple is a landmark, and today the area is a gateway to Bhaktapur and Lalitpur.",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,koteshwor koteshwor major urban hub kathmandu located junction arniko highway ring road bustling commercial residential area shopping center school hospital historically koteshwor mahadev temple landmark today area gateway bhaktapur lalitpur religious pilgrimage,1,1,-1
651,chyamrang besi,kathmandu,Oct–Dec,Rural,Village & Rural Tourism,Hiking,Moderate,Road,27.6400° N,85.3600° E,3,"Chyamrang Besi in Lamjung District is a hillside settlement surrounded by terraced fields and rivers. It is part of the mid-hill trekking routes and reflects Gurung culture. The area is scenic, with views of Annapurna ranges and traditional homestays.","['From Kathmandu, drive north via Helambu and Melamchi Valley to Chyamrang Besi.']","[{'event_name': 'Chyamrang Besi Highland Trek & Cultural Day', 'venue': 'Trek / Village', 'month___season': 'Summer', 'type': 'Adventure / Cultural', 'description___source': 'Trekking and folk performances.'}]",650,['Riverside village with calm environment and farming communities.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,chyamrang besi chyamrang besi lamjung district hillside settlement surrounded terraced field river part mid hill trekking route reflects gurung culture area scenic view annapurna range traditional homestays rural hiking event name chyamrang besi highland trek cultural day venue trek village month season summer type adventure cultural description source trekking folk performance riverside village calm environment farming community,3,3,-1
652,tin tale waterfall,kathmandu,Oct–Dec,Nature,Natural Attractions,Trekking,Moderate,Trail,27.6300° N,85.3700° E,3,"Tin Tale Jharana (Three-Tiered Waterfall) is located in Sindhupalchok District. It is a natural attraction with three cascading levels, surrounded by lush forests. The waterfall is popular among domestic tourists and is tied to local myths about purity and renewal.","['From Kathmandu, drive north via Helambu trail to reach Tin Tale Waterfall.']","[{'event_name': 'Tin Tale Eco & Cultural Day', 'venue': 'Waterfall / Hill', 'month___season': 'Summer', 'type': 'Eco / Cultural', 'description___source': 'Folk performances and environmental awareness.'}]",900,['Picturesque waterfall ideal for nature photography.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,tin tale waterfall tin tale jharana three tiered waterfall located sindhupalchok district natural attraction three cascading level surrounded lush forest waterfall popular among domestic tourist tied local myth purity renewal nature trekking event name tin tale eco cultural day venue waterfall hill month season summer type eco cultural description source folk performance environmental awareness picturesque waterfall ideal nature photography,2,2,2
